k_heads_ablated,accuracy,last_head_removed
0,0.7075099349021912,
1,0.7075099349021912,"(38, 12)"
2,0.7154150605201721,"(24, 4)"
3,0.7193676233291626,"(42, 24)"
4,0.7154150605201721,"(30, 8)"
5,0.6719368100166321,"(26, 8)"
6,0.6719368100166321,"(35, 19)"
7,0.679841935634613,"(27, 5)"
8,0.679841935634613,"(43, 15)"
9,0.679841935634613,"(36, 17)"
10,0.679841935634613,"(39, 4)"
11,0.679841935634613,"(29, 9)"
12,0.679841935634613,"(28, 15)"
13,0.6837944984436035,"(31, 8)"
14,0.679841935634613,"(34, 17)"
15,0.679841935634613,"(37, 7)"
16,0.679841935634613,"(40, 18)"
17,0.679841935634613,"(33, 2)"
18,0.6837944984436035,"(21, 10)"
19,0.6837944984436035,"(35, 17)"
20,0.6837944984436035,"(34, 0)"
21,0.6837944984436035,"(30, 13)"
22,0.6837944984436035,"(25, 16)"
23,0.6837944984436035,"(41, 9)"
24,0.687747061252594,"(33, 0)"
25,0.6916996240615845,"(34, 20)"
26,0.6916996240615845,"(41, 5)"
27,0.6916996240615845,"(33, 7)"
28,0.687747061252594,"(37, 8)"
29,0.687747061252594,"(36, 9)"
30,0.6916996240615845,"(36, 2)"
31,0.687747061252594,"(46, 14)"
32,0.687747061252594,"(31, 17)"
33,0.687747061252594,"(29, 5)"
34,0.695652186870575,"(22, 20)"
35,0.695652186870575,"(39, 0)"
36,0.7035573124885559,"(34, 21)"
37,0.7075099349021912,"(31, 0)"
38,0.7193676233291626,"(23, 0)"
39,0.7193676233291626,"(2, 22)"
40,0.7193676233291626,"(32, 19)"
41,0.7193676233291626,"(27, 23)"
42,0.739130437374115,"(4, 19)"
43,0.7351778745651245,"(42, 9)"
44,0.7351778745651245,"(41, 1)"
45,0.7351778745651245,"(33, 13)"
46,0.7075099349021912,"(29, 24)"
47,0.7075099349021912,"(36, 13)"
48,0.7035573124885559,"(1, 11)"
49,0.7035573124885559,"(35, 21)"
50,0.6996047496795654,"(31, 4)"
51,0.695652186870575,"(29, 14)"
52,0.6640316247940063,"(26, 20)"
53,0.6758893728256226,"(25, 4)"
54,0.687747061252594,"(23, 14)"
55,0.6837944984436035,"(8, 16)"
56,0.679841935634613,"(31, 3)"
57,0.6758893728256226,"(23, 20)"
58,0.679841935634613,"(21, 20)"
59,0.6758893728256226,"(15, 11)"
60,0.6719368100166321,"(5, 1)"
61,0.6640316247940063,"(26, 13)"
62,0.6916996240615845,"(25, 19)"
63,0.6758893728256226,"(25, 17)"
64,0.6837944984436035,"(23, 19)"
65,0.687747061252594,"(3, 6)"
66,0.687747061252594,"(2, 12)"
67,0.6916996240615845,"(39, 10)"
68,0.6837944984436035,"(35, 7)"
69,0.6837944984436035,"(6, 20)"
70,0.6837944984436035,"(45, 24)"
