k_heads_ablated,accuracy,last_head_removed
0,0.8837209343910217,
0,0.8837209343910217,
0,0.8837209343910217,
0,0.8837209343910217,
0,0.8837209343910217,
1,0.8837209343910217,"(5, 3)"
1,0.8837209343910217,"(12, 22)"
1,0.8837209343910217,"(5, 16)"
1,0.8837209343910217,"(46, 24)"
1,0.8837209343910217,"(14, 6)"
2,0.8604651093482971,"(20, 13)"
2,0.8837209343910217,"(40, 16)"
2,0.8837209343910217,"(27, 8)"
2,0.8837209343910217,"(0, 0)"
2,0.8837209343910217,"(46, 4)"
3,0.8604651093482971,"(29, 12)"
3,0.8837209343910217,"(23, 2)"
3,0.8837209343910217,"(42, 22)"
3,0.8837209343910217,"(28, 20)"
3,0.8837209343910217,"(17, 1)"
4,0.8604651093482971,"(45, 8)"
4,0.8837209343910217,"(20, 20)"
4,0.8837209343910217,"(27, 2)"
4,0.8837209343910217,"(23, 22)"
4,0.8604651093482971,"(2, 9)"
5,0.8604651093482971,"(34, 4)"
5,0.8837209343910217,"(22, 21)"
5,0.8837209343910217,"(32, 13)"
5,0.8837209343910217,"(27, 19)"
5,0.8604651093482971,"(40, 17)"
6,0.8604651093482971,"(16, 6)"
6,0.8837209343910217,"(16, 5)"
6,0.8837209343910217,"(3, 11)"
6,0.8837209343910217,"(41, 0)"
6,0.8604651093482971,"(17, 11)"
7,0.8139534592628479,"(12, 18)"
7,0.8837209343910217,"(40, 4)"
7,0.8837209343910217,"(1, 23)"
7,0.8837209343910217,"(3, 10)"
7,0.8372092843055725,"(42, 10)"
8,0.8139534592628479,"(27, 19)"
8,0.8837209343910217,"(15, 15)"
8,0.8837209343910217,"(23, 21)"
8,0.8837209343910217,"(21, 1)"
8,0.8837209343910217,"(5, 16)"
9,0.8139534592628479,"(41, 11)"
9,0.8837209343910217,"(21, 14)"
9,0.8837209343910217,"(7, 13)"
9,0.8372092843055725,"(20, 18)"
9,0.8837209343910217,"(41, 17)"
10,0.7906976938247681,"(18, 20)"
10,0.8837209343910217,"(16, 17)"
10,0.8837209343910217,"(32, 21)"
10,0.8372092843055725,"(41, 21)"
10,0.8837209343910217,"(46, 3)"
11,0.7906976938247681,"(34, 18)"
11,0.8837209343910217,"(19, 22)"
