k_heads_ablated,accuracy,last_head_removed
0,0.8837209343910217,
1,0.8837209343910217,"(38, 12)"
2,0.8837209343910217,"(24, 4)"
3,0.8837209343910217,"(42, 24)"
4,0.8604651093482971,"(30, 8)"
5,0.8372092843055725,"(26, 8)"
6,0.8372092843055725,"(35, 19)"
7,0.8372092843055725,"(27, 5)"
8,0.8372092843055725,"(43, 15)"
9,0.8372092843055725,"(36, 17)"
10,0.8372092843055725,"(39, 4)"
11,0.8139534592628479,"(29, 9)"
12,0.7906976938247681,"(28, 15)"
13,0.8139534592628479,"(31, 8)"
14,0.7674418687820435,"(34, 17)"
15,0.7209302186965942,"(37, 7)"
16,0.6976743936538696,"(40, 18)"
17,0.6744186282157898,"(33, 2)"
18,0.6511628031730652,"(21, 10)"
19,0.5813953280448914,"(35, 17)"
20,0.5813953280448914,"(34, 0)"
21,0.5813953280448914,"(30, 13)"
22,0.5813953280448914,"(25, 16)"
23,0.5581395626068115,"(41, 9)"
24,0.5116279125213623,"(33, 0)"
25,0.4651162624359131,"(34, 20)"
26,0.44186046719551086,"(41, 5)"
27,0.302325576543808,"(33, 7)"
28,0.23255813121795654,"(37, 8)"
29,0.20930232107639313,"(36, 9)"
30,0.1627907007932663,"(36, 2)"
31,0.1627907007932663,"(46, 14)"
32,0.1627907007932663,"(31, 17)"
33,0.04651162773370743,"(29, 5)"
34,0.04651162773370743,"(22, 20)"
35,0.023255813866853714,"(39, 0)"
36,0.023255813866853714,"(34, 21)"
37,0.023255813866853714,"(31, 0)"
38,0.0,"(23, 0)"
39,0.0,"(2, 22)"
40,0.0,"(32, 19)"
41,0.0,"(27, 23)"
42,0.0,"(4, 19)"
43,0.0,"(42, 9)"
44,0.0,"(41, 1)"
45,0.0,"(33, 13)"
46,0.0,"(29, 24)"
47,0.0,"(36, 13)"
48,0.0,"(1, 11)"
49,0.0,"(35, 21)"
50,0.0,"(31, 4)"
51,0.0,"(29, 14)"
52,0.0,"(26, 20)"
53,0.0,"(25, 4)"
54,0.0,"(23, 14)"
55,0.0,"(8, 16)"
56,0.0,"(31, 3)"
57,0.0,"(23, 20)"
58,0.0,"(21, 20)"
59,0.0,"(15, 11)"
60,0.0,"(5, 1)"
61,0.0,"(26, 13)"
62,0.0,"(25, 19)"
63,0.0,"(25, 17)"
64,0.0,"(23, 19)"
65,0.0,"(3, 6)"
66,0.0,"(2, 12)"
67,0.0,"(39, 10)"
68,0.0,"(35, 7)"
69,0.0,"(6, 20)"
70,0.0,"(45, 24)"
71,0.0,"(35, 15)"
72,0.0,"(29, 19)"
73,0.0,"(23, 18)"
74,0.0,"(19, 18)"
75,0.0,"(18, 0)"
76,0.0,"(0, 17)"
77,0.0,"(43, 12)"
78,0.0,"(40, 24)"
79,0.0,"(40, 20)"
80,0.0,"(40, 13)"
81,0.0,"(39, 2)"
82,0.0,"(38, 5)"
83,0.0,"(33, 1)"
84,0.0,"(31, 18)"
85,0.0,"(24, 16)"
86,0.0,"(23, 8)"
87,0.0,"(22, 22)"
88,0.0,"(22, 17)"
89,0.0,"(22, 9)"
90,0.0,"(21, 3)"
91,0.0,"(20, 0)"
92,0.0,"(19, 15)"
93,0.0,"(0, 21)"
94,0.0,"(44, 11)"
95,0.0,"(43, 3)"
96,0.0,"(37, 0)"
97,0.0,"(33, 18)"
98,0.0,"(33, 12)"
99,0.0,"(32, 18)"
100,0.0,"(32, 15)"
101,0.0,"(32, 9)"
102,0.0,"(30, 0)"
103,0.0,"(29, 0)"
104,0.0,"(28, 18)"
105,0.0,"(28, 3)"
106,0.0,"(27, 3)"
107,0.0,"(24, 12)"
108,0.0,"(20, 19)"
109,0.0,"(20, 5)"
110,0.0,"(11, 17)"
111,0.0,"(8, 10)"
112,0.0,"(5, 22)"
113,0.0,"(5, 7)"
114,0.0,"(5, 6)"
115,0.0,"(1, 17)"
116,0.0,"(1, 7)"
117,0.0,"(0, 22)"
118,0.0,"(0, 10)"
119,0.0,"(45, 19)"
120,0.0,"(44, 7)"
121,0.0,"(42, 7)"
122,0.0,"(41, 16)"
123,0.0,"(40, 22)"
124,0.0,"(39, 21)"
125,0.0,"(39, 15)"
126,0.0,"(39, 6)"
127,0.0,"(39, 5)"
128,0.0,"(38, 22)"
129,0.0,"(38, 2)"
130,0.0,"(37, 21)"
131,0.0,"(36, 6)"
132,0.0,"(35, 2)"
133,0.0,"(34, 5)"
134,0.0,"(32, 20)"
135,0.0,"(32, 12)"
136,0.0,"(32, 7)"
137,0.0,"(32, 1)"
138,0.0,"(30, 23)"
139,0.0,"(28, 11)"
140,0.0,"(26, 22)"
141,0.0,"(25, 23)"
142,0.0,"(24, 8)"
143,0.0,"(24, 5)"
144,0.0,"(22, 15)"
145,0.0,"(22, 8)"
146,0.0,"(16, 2)"
147,0.0,"(15, 18)"
148,0.0,"(14, 5)"
149,0.0,"(13, 22)"
150,0.0,"(13, 20)"
