k_heads_ablated,accuracy,last_head_removed
0,0.7076923251152039,
0,0.7575757503509521,
0,0.5263158082962036,
0,0.8837209343910217,
1,0.7076923251152039,"(26, 15)"
1,0.7651515603065491,"(26, 15)"
1,0.5263158082962036,"(26, 15)"
1,0.8837209343910217,"(26, 15)"
2,0.7076923251152039,"(23, 10)"
2,0.7651515603065491,"(23, 10)"
2,0.5263158082962036,"(23, 10)"
2,0.8837209343910217,"(23, 10)"
3,0.7076923251152039,"(30, 19)"
3,0.7651515603065491,"(30, 19)"
3,0.5263158082962036,"(30, 19)"
3,0.8837209343910217,"(30, 19)"
4,0.7076923251152039,"(29, 24)"
4,0.75,"(29, 24)"
4,0.5263158082962036,"(29, 24)"
4,0.8837209343910217,"(29, 24)"
5,0.7076923251152039,"(36, 16)"
5,0.75,"(36, 16)"
5,0.5263158082962036,"(36, 16)"
5,0.8837209343910217,"(36, 16)"
6,0.7076923251152039,"(24, 7)"
6,0.7575757503509521,"(24, 7)"
6,0.5263158082962036,"(24, 7)"
6,0.8837209343910217,"(24, 7)"
7,0.7076923251152039,"(16, 18)"
7,0.7424242496490479,"(16, 18)"
7,0.5263158082962036,"(16, 18)"
7,0.8837209343910217,"(16, 18)"
8,0.7076923251152039,"(17, 17)"
8,0.7348484992980957,"(17, 17)"
8,0.5263158082962036,"(17, 17)"
8,0.9069767594337463,"(17, 17)"
9,0.7076923251152039,"(9, 1)"
9,0.7348484992980957,"(9, 1)"
9,0.5263158082962036,"(9, 1)"
9,0.9069767594337463,"(9, 1)"
10,0.7076923251152039,"(36, 15)"
10,0.7348484992980957,"(36, 15)"
10,0.5263158082962036,"(36, 15)"
10,0.9069767594337463,"(36, 15)"
11,0.7076923251152039,"(29, 3)"
11,0.75,"(29, 3)"
11,0.5263158082962036,"(29, 3)"
11,0.9069767594337463,"(29, 3)"
12,0.7076923251152039,"(15, 3)"
12,0.7424242496490479,"(15, 3)"
12,0.5112782120704651,"(15, 3)"
12,0.9069767594337463,"(15, 3)"
13,0.7076923251152039,"(27, 14)"
13,0.7348484992980957,"(27, 14)"
13,0.5037593841552734,"(27, 14)"
13,0.9069767594337463,"(27, 14)"
14,0.7076923251152039,"(34, 13)"
14,0.7348484992980957,"(34, 13)"
14,0.5112782120704651,"(34, 13)"
14,0.9069767594337463,"(34, 13)"
15,0.7076923251152039,"(25, 2)"
15,0.7196969985961914,"(25, 2)"
15,0.5037593841552734,"(25, 2)"
15,0.9069767594337463,"(25, 2)"
16,0.7076923251152039,"(30, 9)"
16,0.7196969985961914,"(30, 9)"
16,0.5037593841552734,"(30, 9)"
16,0.9069767594337463,"(30, 9)"
17,0.7076923251152039,"(25, 8)"
17,0.7196969985961914,"(25, 8)"
17,0.5037593841552734,"(25, 8)"
17,0.9069767594337463,"(25, 8)"
18,0.7076923251152039,"(31, 19)"
18,0.7196969985961914,"(31, 19)"
18,0.49624061584472656,"(31, 19)"
18,0.9069767594337463,"(31, 19)"
19,0.7076923251152039,"(25, 22)"
19,0.7272727489471436,"(25, 22)"
19,0.451127827167511,"(25, 22)"
19,0.9069767594337463,"(25, 22)"
20,0.7076923251152039,"(18, 2)"
20,0.7196969985961914,"(18, 2)"
20,0.451127827167511,"(18, 2)"
20,0.9069767594337463,"(18, 2)"
21,0.7076923251152039,"(37, 4)"
21,0.7196969985961914,"(37, 4)"
21,0.451127827167511,"(37, 4)"
21,0.9069767594337463,"(37, 4)"
22,0.7076923251152039,"(14, 18)"
22,0.7045454978942871,"(14, 18)"
22,0.451127827167511,"(14, 18)"
22,0.8604651093482971,"(14, 18)"
23,0.7076923251152039,"(47, 0)"
23,0.7045454978942871,"(47, 0)"
23,0.45864662528038025,"(47, 0)"
23,0.8604651093482971,"(47, 0)"
24,0.7076923251152039,"(46, 19)"
24,0.7196969985961914,"(46, 19)"
24,0.45864662528038025,"(46, 19)"
24,0.8604651093482971,"(46, 19)"
25,0.7076923251152039,"(26, 11)"
25,0.7424242496490479,"(26, 11)"
25,0.451127827167511,"(26, 11)"
25,0.8604651093482971,"(26, 11)"
26,0.7076923251152039,"(15, 11)"
26,0.75,"(15, 11)"
26,0.4436090290546417,"(15, 11)"
26,0.8837209343910217,"(15, 11)"
27,0.7076923251152039,"(13, 7)"
27,0.75,"(13, 7)"
27,0.43609023094177246,"(13, 7)"
27,0.8837209343910217,"(13, 7)"
