k_heads_ablated,accuracy,last_head_removed
0,0.7075099349021912,
0,0.7075099349021912,
0,0.7075099349021912,
0,0.7075099349021912,
0,0.7075099349021912,
1,0.7114624977111816,"(29, 9)"
1,0.7154150605201721,"(4, 5)"
1,0.7114624977111816,"(36, 10)"
1,0.7114624977111816,"(35, 4)"
1,0.7035573124885559,"(2, 10)"
2,0.7035573124885559,"(15, 22)"
2,0.7114624977111816,"(33, 20)"
2,0.731225311756134,"(14, 8)"
2,0.6996047496795654,"(28, 17)"
2,0.695652186870575,"(41, 6)"
3,0.7114624977111816,"(4, 13)"
3,0.7075099349021912,"(31, 1)"
3,0.7233201861381531,"(5, 3)"
3,0.6837944984436035,"(16, 2)"
3,0.6996047496795654,"(35, 13)"
4,0.7114624977111816,"(10, 23)"
4,0.7114624977111816,"(43, 22)"
4,0.7193676233291626,"(42, 5)"
4,0.6719368100166321,"(8, 7)"
4,0.6996047496795654,"(4, 0)"
5,0.7272727489471436,"(11, 12)"
5,0.7154150605201721,"(15, 16)"
5,0.7351778745651245,"(6, 15)"
5,0.679841935634613,"(33, 24)"
5,0.6837944984436035,"(15, 19)"
6,0.7351778745651245,"(22, 7)"
6,0.6521739363670349,"(31, 6)"
6,0.731225311756134,"(26, 18)"
6,0.6996047496795654,"(1, 10)"
6,0.6837944984436035,"(45, 15)"
7,0.7351778745651245,"(31, 18)"
7,0.6640316247940063,"(23, 20)"
7,0.7272727489471436,"(19, 6)"
7,0.695652186870575,"(32, 16)"
7,0.679841935634613,"(27, 15)"
8,0.7351778745651245,"(45, 22)"
8,0.6719368100166321,"(5, 8)"
8,0.7272727489471436,"(27, 0)"
8,0.695652186870575,"(8, 4)"
8,0.679841935634613,"(1, 22)"
9,0.7272727489471436,"(38, 6)"
9,0.6719368100166321,"(8, 8)"
9,0.7272727489471436,"(39, 23)"
9,0.695652186870575,"(46, 16)"
9,0.679841935634613,"(13, 16)"
10,0.7233201861381531,"(11, 2)"
10,0.6640316247940063,"(42, 15)"
10,0.7193676233291626,"(15, 15)"
10,0.7114624977111816,"(26, 16)"
10,0.679841935634613,"(42, 12)"
11,0.7233201861381531,"(30, 7)"
11,0.6758893728256226,"(4, 13)"
11,0.7193676233291626,"(23, 7)"
11,0.7154150605201721,"(40, 4)"
11,0.6719368100166321,"(32, 24)"
12,0.7233201861381531,"(42, 18)"
12,0.6719368100166321,"(26, 22)"
12,0.7193676233291626,"(2, 24)"
12,0.7154150605201721,"(39, 10)"
12,0.6719368100166321,"(20, 15)"
13,0.7272727489471436,"(30, 0)"
13,0.6758893728256226,"(3, 15)"
13,0.7193676233291626,"(37, 3)"
13,0.7193676233291626,"(32, 9)"
13,0.6679841876029968,"(3, 0)"
14,0.7233201861381531,"(15, 15)"
14,0.6640316247940063,"(24, 22)"
14,0.7193676233291626,"(37, 8)"
14,0.7193676233291626,"(31, 21)"
14,0.6679841876029968,"(28, 19)"
15,0.7233201861381531,"(45, 9)"
15,0.6640316247940063,"(26, 17)"
15,0.7154150605201721,"(14, 7)"
15,0.7154150605201721,"(16, 24)"
15,0.6679841876029968,"(33, 21)"
16,0.7154150605201721,"(2, 8)"
16,0.6600790619850159,"(13, 23)"
16,0.7154150605201721,"(47, 8)"
16,0.7193676233291626,"(9, 16)"
16,0.6679841876029968,"(45, 6)"
17,0.7114624977111816,"(9, 23)"
17,0.6600790619850159,"(4, 21)"
17,0.7154150605201721,"(3, 0)"
17,0.7193676233291626,"(20, 9)"
17,0.6640316247940063,"(20, 13)"
18,0.7114624977111816,"(45, 18)"
18,0.6719368100166321,"(22, 17)"
18,0.6996047496795654,"(24, 11)"
18,0.7154150605201721,"(29, 15)"
18,0.6600790619850159,"(3, 12)"
19,0.7114624977111816,"(47, 3)"
19,0.6679841876029968,"(15, 18)"
19,0.6996047496795654,"(37, 15)"
19,0.7154150605201721,"(35, 11)"
19,0.6600790619850159,"(32, 4)"
20,0.7114624977111816,"(37, 6)"
20,0.6679841876029968,"(41, 4)"
20,0.6996047496795654,"(13, 18)"
20,0.7114624977111816,"(29, 20)"
20,0.6640316247940063,"(25, 23)"
21,0.7114624977111816,"(0, 11)"
21,0.6561264991760254,"(15, 2)"
21,0.7035573124885559,"(3, 21)"
21,0.7114624977111816,"(14, 15)"
21,0.6640316247940063,"(7, 19)"
22,0.7114624977111816,"(36, 3)"
22,0.6561264991760254,"(16, 12)"
22,0.6996047496795654,"(16, 10)"
22,0.7114624977111816,"(30, 11)"
22,0.6600790619850159,"(27, 9)"
23,0.7114624977111816,"(5, 4)"
23,0.6561264991760254,"(14, 7)"
23,0.6996047496795654,"(34, 19)"
23,0.7114624977111816,"(35, 21)"
23,0.6640316247940063,"(33, 13)"
24,0.7114624977111816,"(35, 12)"
24,0.6521739363670349,"(42, 7)"
24,0.695652186870575,"(21, 5)"
24,0.7114624977111816,"(45, 1)"
24,0.6640316247940063,"(44, 19)"
25,0.6916996240615845,"(14, 22)"
25,0.6521739363670349,"(42, 11)"
25,0.695652186870575,"(45, 22)"
25,0.7114624977111816,"(44, 19)"
25,0.6600790619850159,"(15, 23)"
26,0.6996047496795654,"(26, 16)"
26,0.6521739363670349,"(21, 23)"
26,0.6916996240615845,"(13, 12)"
26,0.7114624977111816,"(14, 24)"
26,0.6600790619850159,"(39, 11)"
27,0.7114624977111816,"(27, 2)"
27,0.636363685131073,"(25, 19)"
27,0.687747061252594,"(41, 24)"
27,0.7075099349021912,"(16, 1)"
27,0.6640316247940063,"(47, 12)"
