k_heads_ablated,accuracy,last_head_removed
0,0.7075099349021912,
1,0.6916996240615845,"(26, 15)"
2,0.5810276865959167,"(23, 10)"
3,0.5494071245193481,"(30, 19)"
4,0.5415019989013672,"(29, 24)"
5,0.5138339996337891,"(36, 16)"
6,0.5138339996337891,"(24, 7)"
7,0.5138339996337891,"(16, 18)"
8,0.5059288740158081,"(17, 17)"
9,0.5138339996337891,"(9, 1)"
10,0.5494071245193481,"(36, 15)"
11,0.5494071245193481,"(29, 3)"
12,0.5454545617103577,"(15, 3)"
13,0.5533596873283386,"(27, 14)"
14,0.5494071245193481,"(34, 13)"
15,0.5494071245193481,"(25, 2)"
16,0.5533596873283386,"(30, 9)"
17,0.5533596873283386,"(25, 8)"
18,0.5375494360923767,"(31, 19)"
19,0.46640318632125854,"(25, 22)"
20,0.4861660301685333,"(18, 2)"
21,0.5138339996337891,"(37, 4)"
22,0.5138339996337891,"(14, 18)"
23,0.5177865624427795,"(47, 0)"
24,0.5177865624427795,"(46, 19)"
25,0.5296443104743958,"(26, 11)"
26,0.5256917476654053,"(15, 11)"
27,0.5256917476654053,"(13, 7)"
