k_heads_ablated,accuracy,last_head_removed
0,0.9908256530761719,
0,0.9908256530761719,
0,0.9908256530761719,
0,0.9908256530761719,
0,0.9908256530761719,
1,0.9908256530761719,"(27, 0)"
1,0.9908256530761719,"(23, 13)"
1,0.9885320663452148,"(8, 6)"
1,0.9908256530761719,"(18, 9)"
1,0.9908256530761719,"(9, 4)"
2,0.9908256530761719,"(46, 4)"
2,0.9885320663452148,"(17, 15)"
2,0.9885320663452148,"(46, 3)"
2,0.9885320663452148,"(13, 13)"
2,0.9885320663452148,"(2, 21)"
3,0.9908256530761719,"(47, 13)"
3,0.9885320663452148,"(16, 16)"
3,0.9885320663452148,"(6, 21)"
3,0.9885320663452148,"(9, 17)"
3,0.9931192398071289,"(32, 13)"
4,0.9908256530761719,"(38, 19)"
4,0.9885320663452148,"(41, 20)"
4,0.9885320663452148,"(3, 10)"
4,0.9885320663452148,"(39, 7)"
4,0.9931192398071289,"(27, 19)"
5,0.9908256530761719,"(14, 7)"
5,0.9885320663452148,"(32, 10)"
5,0.9908256530761719,"(25, 6)"
5,0.9885320663452148,"(44, 4)"
5,0.9931192398071289,"(23, 6)"
6,0.9908256530761719,"(47, 9)"
6,0.9885320663452148,"(30, 8)"
6,0.9908256530761719,"(29, 15)"
6,0.9885320663452148,"(31, 5)"
6,0.9931192398071289,"(21, 11)"
7,0.9908256530761719,"(23, 3)"
7,0.9885320663452148,"(38, 1)"
7,0.9908256530761719,"(21, 14)"
7,0.9885320663452148,"(30, 12)"
7,0.9931192398071289,"(17, 2)"
8,0.9954128265380859,"(20, 19)"
8,0.9885320663452148,"(21, 5)"
8,0.9908256530761719,"(8, 7)"
8,0.9885320663452148,"(44, 18)"
8,0.9931192398071289,"(15, 19)"
9,0.9954128265380859,"(37, 7)"
9,0.9885320663452148,"(5, 9)"
9,0.9908256530761719,"(40, 3)"
9,0.9885320663452148,"(13, 23)"
9,0.9931192398071289,"(47, 23)"
10,0.9954128265380859,"(16, 13)"
10,0.9885320663452148,"(38, 8)"
10,0.9931192398071289,"(42, 23)"
10,0.9885320663452148,"(30, 18)"
10,0.9931192398071289,"(25, 14)"
11,0.9954128265380859,"(41, 24)"
11,0.9885320663452148,"(1, 2)"
11,0.9931192398071289,"(35, 7)"
11,0.9885320663452148,"(33, 23)"
11,0.9931192398071289,"(46, 18)"
12,0.9954128265380859,"(16, 18)"
12,0.9885320663452148,"(45, 24)"
12,0.9931192398071289,"(39, 15)"
12,0.9885320663452148,"(7, 16)"
12,0.9931192398071289,"(17, 13)"
13,0.9954128265380859,"(14, 0)"
13,0.9885320663452148,"(41, 16)"
13,0.9931192398071289,"(43, 21)"
13,0.9885320663452148,"(5, 17)"
13,0.9931192398071289,"(14, 22)"
14,0.9954128265380859,"(24, 9)"
14,0.9885320663452148,"(6, 9)"
14,0.9931192398071289,"(29, 24)"
14,0.9885320663452148,"(32, 20)"
14,0.9931192398071289,"(35, 3)"
15,0.9954128265380859,"(6, 6)"
15,0.9885320663452148,"(41, 15)"
15,0.9931192398071289,"(31, 15)"
15,0.9885320663452148,"(5, 23)"
15,0.9931192398071289,"(28, 17)"
16,0.9954128265380859,"(41, 3)"
16,0.9885320663452148,"(7, 6)"
16,0.9931192398071289,"(19, 18)"
16,0.9885320663452148,"(46, 23)"
16,0.9931192398071289,"(7, 10)"
17,0.9954128265380859,"(25, 14)"
17,0.9885320663452148,"(15, 15)"
17,0.9931192398071289,"(47, 6)"
17,0.9885320663452148,"(38, 1)"
17,0.9931192398071289,"(20, 19)"
18,0.9954128265380859,"(40, 4)"
18,0.9885320663452148,"(43, 11)"
18,0.9931192398071289,"(13, 24)"
18,0.9885320663452148,"(1, 21)"
18,0.9931192398071289,"(43, 18)"
19,0.9954128265380859,"(23, 0)"
19,0.9885320663452148,"(29, 17)"
19,0.9931192398071289,"(39, 22)"
19,0.9885320663452148,"(9, 2)"
19,0.9931192398071289,"(17, 11)"
20,0.9954128265380859,"(19, 8)"
20,0.9885320663452148,"(11, 6)"
20,0.9931192398071289,"(27, 2)"
20,0.9908256530761719,"(16, 3)"
20,0.9931192398071289,"(21, 8)"
21,0.9954128265380859,"(7, 19)"
21,0.9908256530761719,"(17, 16)"
21,0.9931192398071289,"(30, 9)"
21,0.9908256530761719,"(18, 12)"
21,0.9931192398071289,"(43, 5)"
22,0.9954128265380859,"(19, 4)"
22,0.9908256530761719,"(24, 15)"
22,0.9931192398071289,"(47, 14)"
22,0.9908256530761719,"(34, 0)"
22,0.9931192398071289,"(32, 6)"
23,0.9954128265380859,"(40, 19)"
23,0.9908256530761719,"(24, 14)"
23,0.9931192398071289,"(25, 0)"
23,0.9908256530761719,"(28, 5)"
23,0.9931192398071289,"(1, 18)"
24,0.9954128265380859,"(7, 1)"
24,0.9885320663452148,"(34, 6)"
24,0.9931192398071289,"(12, 17)"
24,0.9885320663452148,"(24, 16)"
24,0.9931192398071289,"(44, 14)"
25,0.9954128265380859,"(24, 4)"
25,0.9885320663452148,"(36, 19)"
25,0.9931192398071289,"(38, 4)"
25,0.9885320663452148,"(21, 14)"
25,0.9931192398071289,"(36, 4)"
26,0.9954128265380859,"(19, 19)"
26,0.9885320663452148,"(3, 23)"
26,0.9931192398071289,"(39, 9)"
26,0.9885320663452148,"(40, 14)"
26,0.9931192398071289,"(42, 13)"
27,0.9954128265380859,"(24, 20)"
27,0.9885320663452148,"(22, 0)"
27,0.9931192398071289,"(20, 9)"
27,0.9885320663452148,"(15, 0)"
27,0.9931192398071289,"(43, 16)"
28,0.9954128265380859,"(11, 8)"
28,0.9885320663452148,"(34, 16)"
28,0.9931192398071289,"(11, 22)"
28,0.9885320663452148,"(38, 14)"
28,0.9931192398071289,"(46, 8)"
29,0.9954128265380859,"(8, 0)"
29,0.9885320663452148,"(2, 20)"
29,0.9931192398071289,"(17, 22)"
29,0.9885320663452148,"(5, 8)"
29,0.9931192398071289,"(30, 24)"
30,0.9954128265380859,"(47, 12)"
30,0.9885320663452148,"(3, 24)"
30,0.9931192398071289,"(28, 9)"
30,0.9885320663452148,"(29, 1)"
30,0.9931192398071289,"(19, 9)"
31,0.9954128265380859,"(46, 6)"
31,0.9885320663452148,"(12, 14)"
31,0.9908256530761719,"(10, 23)"
31,0.9885320663452148,"(32, 11)"
31,0.9931192398071289,"(5, 23)"
32,0.9954128265380859,"(33, 4)"
32,0.9885320663452148,"(27, 7)"
32,0.9908256530761719,"(36, 23)"
32,0.9885320663452148,"(3, 3)"
32,0.9931192398071289,"(38, 13)"
33,0.9954128265380859,"(9, 3)"
33,0.9885320663452148,"(26, 11)"
33,0.9908256530761719,"(43, 13)"
33,0.9885320663452148,"(25, 14)"
33,0.9931192398071289,"(3, 3)"
34,0.9954128265380859,"(11, 11)"
34,0.9885320663452148,"(31, 24)"
34,0.9931192398071289,"(43, 17)"
34,0.9885320663452148,"(10, 4)"
34,0.9931192398071289,"(2, 20)"
35,0.9954128265380859,"(12, 10)"
35,0.9885320663452148,"(21, 7)"
35,0.9885320663452148,"(24, 6)"
35,0.9885320663452148,"(44, 14)"
35,0.9931192398071289,"(45, 15)"
36,0.9954128265380859,"(10, 23)"
36,0.9885320663452148,"(1, 19)"
36,0.9885320663452148,"(18, 24)"
36,0.9885320663452148,"(34, 12)"
36,0.9931192398071289,"(19, 0)"
37,0.9954128265380859,"(17, 8)"
37,0.9908256530761719,"(42, 22)"
37,0.9885320663452148,"(41, 20)"
37,0.9885320663452148,"(30, 8)"
37,0.9931192398071289,"(7, 18)"
38,0.9954128265380859,"(11, 2)"
38,0.9885320663452148,"(34, 22)"
38,0.9885320663452148,"(8, 10)"
38,0.9885320663452148,"(41, 3)"
38,0.9954128265380859,"(5, 20)"
39,0.9954128265380859,"(29, 12)"
39,0.9885320663452148,"(20, 17)"
39,0.9862384796142578,"(24, 5)"
39,0.9885320663452148,"(8, 1)"
39,0.9954128265380859,"(32, 4)"
40,0.9954128265380859,"(10, 21)"
40,0.9885320663452148,"(47, 16)"
40,0.9862384796142578,"(4, 15)"
40,0.9885320663452148,"(7, 18)"
40,0.9954128265380859,"(28, 16)"
41,0.9954128265380859,"(1, 18)"
41,0.9885320663452148,"(7, 10)"
41,0.9862384796142578,"(38, 14)"
41,0.9885320663452148,"(43, 23)"
41,0.9954128265380859,"(11, 24)"
42,0.9954128265380859,"(36, 23)"
42,0.9885320663452148,"(35, 22)"
42,0.9839448928833008,"(28, 22)"
42,0.9885320663452148,"(2, 16)"
42,0.9954128265380859,"(26, 15)"
43,0.9954128265380859,"(2, 17)"
43,0.9885320663452148,"(20, 21)"
43,0.9839448928833008,"(14, 0)"
43,0.9885320663452148,"(39, 22)"
43,0.9954128265380859,"(39, 13)"
44,0.9954128265380859,"(44, 6)"
44,0.9885320663452148,"(7, 12)"
44,0.9839448928833008,"(14, 21)"
44,0.9885320663452148,"(35, 24)"
44,0.9954128265380859,"(20, 6)"
45,0.9954128265380859,"(38, 14)"
45,0.9908256530761719,"(20, 19)"
45,0.9839448928833008,"(17, 0)"
45,0.9885320663452148,"(32, 2)"
