k_heads_ablated,accuracy,last_head_removed
0,0.9908256530761719,
1,0.9908256530761719,"(25, 19)"
2,0.9931192398071289,"(24, 1)"
3,0.9931192398071289,"(29, 20)"
4,0.9931192398071289,"(21, 12)"
5,0.9931192398071289,"(22, 22)"
6,0.9931192398071289,"(27, 23)"
7,0.9931192398071289,"(33, 9)"
8,0.9839448928833008,"(29, 14)"
9,0.9839448928833008,"(31, 16)"
10,0.9839448928833008,"(35, 21)"
11,0.9839448928833008,"(6, 16)"
12,0.9862384796142578,"(18, 3)"
13,0.9862384796142578,"(2, 12)"
14,0.9862384796142578,"(29, 11)"
15,0.9839448928833008,"(33, 2)"
16,0.9839448928833008,"(23, 11)"
17,0.9839448928833008,"(0, 10)"
18,0.9839448928833008,"(27, 1)"
19,0.9839448928833008,"(23, 20)"
20,0.9839448928833008,"(32, 15)"
21,0.9839448928833008,"(28, 15)"
22,0.9839448928833008,"(3, 6)"
23,0.9839448928833008,"(28, 21)"
24,0.9839448928833008,"(28, 3)"
25,0.9839448928833008,"(6, 20)"
26,0.9862384796142578,"(10, 0)"
27,0.9862384796142578,"(25, 4)"
28,0.9862384796142578,"(24, 8)"
29,0.9862384796142578,"(5, 4)"
30,0.9862384796142578,"(0, 24)"
31,0.9862384796142578,"(14, 15)"
32,0.9862384796142578,"(4, 7)"
33,0.9862384796142578,"(27, 5)"
34,0.9862384796142578,"(41, 12)"
35,0.9862384796142578,"(12, 18)"
36,0.9862384796142578,"(0, 13)"
37,0.9862384796142578,"(23, 19)"
38,0.9839448928833008,"(22, 21)"
39,0.9862384796142578,"(21, 1)"
40,0.9862384796142578,"(7, 21)"
41,0.9862384796142578,"(21, 20)"
42,0.9862384796142578,"(8, 16)"
43,0.9862384796142578,"(1, 7)"
44,0.9862384796142578,"(19, 16)"
45,0.9862384796142578,"(14, 23)"
46,0.9862384796142578,"(1, 17)"
47,0.9862384796142578,"(20, 7)"
48,0.9885320663452148,"(11, 1)"
49,0.9885320663452148,"(26, 17)"
50,0.9885320663452148,"(24, 10)"
51,0.9885320663452148,"(40, 22)"
52,0.9839448928833008,"(37, 16)"
53,0.9816513061523438,"(30, 1)"
54,0.9793577790260315,"(26, 8)"
55,0.9816513061523438,"(14, 5)"
56,0.9816513061523438,"(31, 1)"
57,0.9793577790260315,"(29, 19)"
58,0.9793577790260315,"(28, 6)"
59,0.9793577790260315,"(42, 21)"
60,0.9770641922950745,"(32, 3)"
61,0.9770641922950745,"(22, 20)"
62,0.9770641922950745,"(0, 17)"
63,0.9747706055641174,"(36, 6)"
64,0.9747706055641174,"(23, 8)"
65,0.9747706055641174,"(20, 0)"
66,0.9724770188331604,"(20, 5)"
67,0.9724770188331604,"(28, 19)"
68,0.9724770188331604,"(30, 17)"
69,0.9724770188331604,"(4, 19)"
70,0.9701834321022034,"(41, 8)"
71,0.9678898453712463,"(26, 22)"
72,0.9655963182449341,"(25, 16)"
73,0.963302731513977,"(35, 19)"
74,0.958715558052063,"(31, 17)"
75,0.958715558052063,"(18, 0)"
76,0.958715558052063,"(42, 0)"
77,0.958715558052063,"(27, 13)"
78,0.958715558052063,"(12, 3)"
79,0.963302731513977,"(35, 9)"
80,0.96100914478302,"(25, 17)"
81,0.96100914478302,"(0, 22)"
82,0.9541283845901489,"(39, 24)"
83,0.956421971321106,"(19, 15)"
84,0.956421971321106,"(9, 13)"
85,0.956421971321106,"(33, 13)"
86,0.963302731513977,"(23, 14)"
87,0.96100914478302,"(39, 3)"
88,0.96100914478302,"(25, 10)"
89,0.96100914478302,"(13, 12)"
90,0.956421971321106,"(42, 17)"
91,0.9541283845901489,"(35, 12)"
92,0.956421971321106,"(34, 17)"
93,0.956421971321106,"(23, 18)"
94,0.956421971321106,"(15, 8)"
95,0.956421971321106,"(37, 0)"
96,0.9541283845901489,"(26, 13)"
97,0.9541283845901489,"(30, 23)"
98,0.956421971321106,"(30, 15)"
99,0.9426605105400085,"(26, 20)"
100,0.9426605105400085,"(17, 18)"
101,0.9426605105400085,"(4, 10)"
102,0.9426605105400085,"(0, 20)"
103,0.9426605105400085,"(0, 19)"
104,0.9403669238090515,"(43, 3)"
105,0.9311926364898682,"(40, 17)"
106,0.9288990497589111,"(38, 16)"
107,0.9174311757087708,"(31, 18)"
108,0.9151375889778137,"(38, 20)"
109,0.9082568287849426,"(38, 5)"
110,0.9059632420539856,"(38, 3)"
111,0.9059632420539856,"(34, 10)"
112,0.9059632420539856,"(31, 4)"
113,0.9059632420539856,"(25, 3)"
114,0.9013761281967163,"(44, 8)"
115,0.8715596199035645,"(43, 0)"
116,0.8669724464416504,"(39, 5)"
117,0.850917398929596,"(38, 22)"
118,0.8440366387367249,"(37, 23)"
119,0.8279815912246704,"(31, 12)"
120,0.8188073039054871,"(28, 4)"
121,0.8371559381484985,"(21, 4)"
122,0.8394495248794556,"(12, 5)"
123,0.8325687646865845,"(5, 22)"
124,0.8279815912246704,"(43, 24)"
125,0.8256880640983582,"(21, 3)"
126,0.8188073039054871,"(40, 8)"
127,0.8188073039054871,"(33, 6)"
128,0.8233944773674011,"(5, 7)"
129,0.8073394298553467,"(37, 21)"
130,0.8073394298553467,"(37, 12)"
131,0.8027522563934326,"(31, 11)"
132,0.8027522563934326,"(27, 14)"
133,0.8004586696624756,"(20, 22)"
134,0.8004586696624756,"(17, 6)"
135,0.8027522563934326,"(13, 22)"
136,0.7981650829315186,"(2, 8)"
137,0.8004586696624756,"(4, 21)"
138,0.8004586696624756,"(2, 2)"
139,0.8050458431243896,"(0, 21)"
140,0.7889907956123352,"(41, 19)"
141,0.7821100354194641,"(40, 15)"
142,0.7683485746383667,"(39, 14)"
143,0.7591742873191833,"(38, 12)"
144,0.7545871138572693,"(34, 4)"
145,0.7545871138572693,"(18, 6)"
146,0.7614678740501404,"(4, 20)"
147,0.7293577790260315,"(40, 5)"
148,0.7224770188331604,"(38, 17)"
149,0.7270641922950745,"(32, 9)"
150,0.6926605105400085,"(28, 11)"
