k_heads_ablated,accuracy,last_head_removed
0,0.7075099349021912,
1,0.7154150605201721,"(39, 4)"
2,0.7193676233291626,"(22, 20)"
3,0.7154150605201721,"(35, 17)"
4,0.7075099349021912,"(26, 13)"
5,0.7035573124885559,"(24, 16)"
6,0.7075099349021912,"(28, 15)"
7,0.6640316247940063,"(26, 20)"
8,0.6600790619850159,"(25, 19)"
9,0.6640316247940063,"(25, 16)"
10,0.6640316247940063,"(38, 12)"
11,0.679841935634613,"(34, 17)"
12,0.6719368100166321,"(29, 14)"
13,0.6719368100166321,"(36, 9)"
14,0.6403162479400635,"(26, 8)"
15,0.636363685131073,"(33, 2)"
16,0.6245059370994568,"(27, 23)"
17,0.6126482486724854,"(21, 3)"
18,0.5968379974365234,"(26, 22)"
19,0.5968379974365234,"(34, 0)"
20,0.6007905602455139,"(19, 18)"
21,0.6047431230545044,"(40, 18)"
22,0.5968379974365234,"(21, 20)"
23,0.5968379974365234,"(35, 19)"
24,0.5928853750228882,"(31, 17)"
25,0.5928853750228882,"(27, 5)"
26,0.5849802494049072,"(18, 0)"
27,0.6086956858634949,"(30, 8)"
28,0.5415019989013672,"(23, 8)"
29,0.5375494360923767,"(36, 17)"
30,0.4901185929775238,"(23, 18)"
31,0.5138339996337891,"(23, 19)"
32,0.470355749130249,"(29, 0)"
33,0.47826087474823,"(33, 13)"
34,0.47826087474823,"(36, 4)"
35,0.47826087474823,"(42, 18)"
36,0.47826087474823,"(29, 19)"
37,0.46640318632125854,"(27, 1)"
38,0.45059290528297424,"(20, 0)"
39,0.4545454680919647,"(22, 21)"
40,0.4426877498626709,"(39, 22)"
41,0.4584980309009552,"(0, 24)"
42,0.45059290528297424,"(17, 6)"
43,0.44664034247398376,"(43, 15)"
44,0.4584980309009552,"(35, 21)"
45,0.4545454680919647,"(31, 18)"
46,0.45059290528297424,"(31, 8)"
47,0.45059290528297424,"(37, 7)"
48,0.4545454680919647,"(41, 9)"
49,0.4387351870536804,"(0, 10)"
50,0.4426877498626709,"(32, 1)"
51,0.44664034247398376,"(31, 3)"
52,0.5098814368247986,"(28, 11)"
53,0.5019763112068176,"(32, 15)"
54,0.5019763112068176,"(39, 2)"
55,0.5019763112068176,"(35, 7)"
56,0.5059288740158081,"(34, 20)"
57,0.5098814368247986,"(41, 1)"
58,0.5098814368247986,"(32, 18)"
59,0.5059288740158081,"(37, 8)"
60,0.5098814368247986,"(42, 9)"
61,0.4940711557865143,"(0, 21)"
62,0.4071146547794342,"(20, 19)"
63,0.3952569365501404,"(31, 4)"
64,0.3952569365501404,"(30, 23)"
65,0.39920949935913086,"(2, 12)"
66,0.4071146547794342,"(4, 19)"
67,0.4071146547794342,"(0, 22)"
68,0.4110672175884247,"(22, 22)"
69,0.4071146547794342,"(8, 16)"
70,0.4071146547794342,"(38, 23)"
71,0.4071146547794342,"(27, 13)"
72,0.4110672175884247,"(40, 4)"
73,0.4229249060153961,"(35, 4)"
74,0.4229249060153961,"(37, 0)"
75,0.426877498626709,"(34, 21)"
76,0.4387351870536804,"(26, 4)"
77,0.41501978039741516,"(23, 20)"
78,0.41897234320640564,"(1, 7)"
79,0.41897234320640564,"(42, 13)"
80,0.4229249060153961,"(41, 7)"
81,0.4229249060153961,"(24, 4)"
82,0.4229249060153961,"(45, 24)"
83,0.4229249060153961,"(29, 9)"
84,0.41897234320640564,"(0, 17)"
85,0.41897234320640564,"(42, 24)"
86,0.41897234320640564,"(35, 15)"
87,0.4229249060153961,"(33, 19)"
88,0.426877498626709,"(23, 14)"
89,0.41897234320640564,"(6, 20)"
90,0.4229249060153961,"(0, 13)"
91,0.4229249060153961,"(42, 0)"
92,0.4229249060153961,"(39, 6)"
93,0.43083006143569946,"(32, 12)"
94,0.6086956858634949,"(25, 18)"
95,0.6126482486724854,"(24, 12)"
96,0.6047431230545044,"(24, 0)"
97,0.6047431230545044,"(36, 2)"
98,0.6047431230545044,"(42, 7)"
99,0.6047431230545044,"(38, 14)"
100,0.6126482486724854,"(28, 3)"
101,0.6007905602455139,"(25, 4)"
102,0.6007905602455139,"(18, 3)"
103,0.6007905602455139,"(43, 12)"
104,0.6007905602455139,"(40, 0)"
105,0.6007905602455139,"(38, 22)"
106,0.6007905602455139,"(33, 6)"
107,0.5928853750228882,"(32, 20)"
108,0.5968379974365234,"(47, 17)"
