k_heads_ablated,accuracy,last_head_removed
0,0.7575757503509521,
0,0.7575757503509521,
0,0.7575757503509521,
0,0.7575757503509521,
0,0.7575757503509521,
1,0.7575757503509521,"(34, 18)"
1,0.7651515603065491,"(14, 19)"
1,0.7651515603065491,"(26, 15)"
1,0.7727273106575012,"(37, 9)"
1,0.7575757503509521,"(14, 10)"
2,0.7575757503509521,"(11, 14)"
2,0.7727273106575012,"(47, 24)"
2,0.7651515603065491,"(37, 14)"
2,0.7727273106575012,"(41, 6)"
2,0.7575757503509521,"(3, 21)"
3,0.7651515603065491,"(40, 3)"
3,0.7727273106575012,"(46, 7)"
3,0.7272727489471436,"(23, 11)"
3,0.7878788113594055,"(21, 2)"
3,0.75,"(39, 5)"
4,0.7575757503509521,"(15, 16)"
4,0.7727273106575012,"(30, 24)"
4,0.7272727489471436,"(35, 6)"
4,0.7727273106575012,"(37, 13)"
4,0.7424242496490479,"(18, 5)"
5,0.7424242496490479,"(5, 3)"
5,0.75,"(3, 23)"
5,0.7196969985961914,"(18, 5)"
5,0.7727273106575012,"(34, 2)"
5,0.75,"(1, 8)"
6,0.7424242496490479,"(41, 14)"
6,0.75,"(40, 9)"
6,0.7045454978942871,"(17, 11)"
6,0.7727273106575012,"(47, 2)"
6,0.75,"(29, 4)"
7,0.7045454978942871,"(16, 13)"
7,0.7424242496490479,"(20, 13)"
7,0.7045454978942871,"(8, 9)"
7,0.7727273106575012,"(30, 16)"
7,0.75,"(15, 10)"
8,0.7045454978942871,"(9, 11)"
8,0.7424242496490479,"(38, 8)"
8,0.7045454978942871,"(33, 23)"
8,0.7727273106575012,"(28, 23)"
8,0.7424242496490479,"(12, 8)"
9,0.7045454978942871,"(0, 4)"
9,0.7424242496490479,"(6, 5)"
9,0.7045454978942871,"(13, 18)"
9,0.7651515603065491,"(22, 16)"
9,0.7424242496490479,"(14, 2)"
10,0.7045454978942871,"(33, 20)"
10,0.7424242496490479,"(23, 24)"
10,0.7045454978942871,"(44, 0)"
10,0.7651515603065491,"(29, 10)"
10,0.7727273106575012,"(3, 12)"
11,0.7575757503509521,"(37, 10)"
11,0.7424242496490479,"(20, 24)"
11,0.7045454978942871,"(23, 15)"
11,0.7651515603065491,"(11, 3)"
11,0.7727273106575012,"(16, 10)"
12,0.7575757503509521,"(36, 10)"
12,0.7424242496490479,"(40, 5)"
12,0.6515151858329773,"(0, 5)"
12,0.7651515603065491,"(6, 17)"
12,0.7651515603065491,"(1, 21)"
13,0.696969747543335,"(16, 19)"
13,0.7424242496490479,"(25, 24)"
13,0.6515151858329773,"(6, 2)"
13,0.7727273106575012,"(44, 18)"
13,0.7651515603065491,"(31, 0)"
14,0.696969747543335,"(30, 22)"
14,0.7651515603065491,"(6, 13)"
14,0.6515151858329773,"(44, 18)"
14,0.7727273106575012,"(5, 2)"
14,0.7575757503509521,"(45, 13)"
15,0.696969747543335,"(20, 14)"
15,0.7424242496490479,"(16, 13)"
15,0.6515151858329773,"(28, 12)"
15,0.7651515603065491,"(38, 4)"
15,0.7575757503509521,"(13, 19)"
16,0.689393937587738,"(26, 10)"
16,0.7348484992980957,"(46, 5)"
16,0.6439394354820251,"(20, 8)"
16,0.7575757503509521,"(42, 3)"
16,0.7575757503509521,"(40, 11)"
17,0.6742424368858337,"(11, 10)"
17,0.7348484992980957,"(4, 24)"
17,0.6439394354820251,"(26, 18)"
17,0.7651515603065491,"(0, 9)"
17,0.7575757503509521,"(24, 10)"
18,0.6818181872367859,"(4, 13)"
18,0.7121212482452393,"(18, 14)"
18,0.6439394354820251,"(8, 17)"
18,0.7651515603065491,"(32, 23)"
18,0.7045454978942871,"(0, 5)"
19,0.6742424368858337,"(3, 5)"
19,0.7121212482452393,"(4, 18)"
19,0.6439394354820251,"(33, 9)"
19,0.7727273106575012,"(32, 19)"
19,0.7045454978942871,"(15, 6)"
20,0.6742424368858337,"(2, 9)"
20,0.7121212482452393,"(28, 20)"
20,0.6439394354820251,"(25, 0)"
20,0.7803030610084534,"(14, 4)"
20,0.689393937587738,"(20, 1)"
21,0.6742424368858337,"(36, 5)"
21,0.6666666865348816,"(18, 18)"
21,0.6439394354820251,"(9, 21)"
21,0.7575757503509521,"(11, 7)"
21,0.689393937587738,"(10, 21)"
22,0.6742424368858337,"(38, 18)"
22,0.6666666865348816,"(14, 10)"
22,0.6439394354820251,"(6, 8)"
22,0.7651515603065491,"(46, 7)"
22,0.689393937587738,"(15, 0)"
23,0.6742424368858337,"(37, 16)"
23,0.6666666865348816,"(11, 6)"
23,0.6439394354820251,"(45, 16)"
23,0.7575757503509521,"(10, 22)"
23,0.6590909361839294,"(24, 6)"
24,0.6742424368858337,"(10, 19)"
24,0.6742424368858337,"(25, 10)"
24,0.6439394354820251,"(39, 17)"
24,0.7575757503509521,"(30, 7)"
24,0.6590909361839294,"(38, 8)"
25,0.6742424368858337,"(29, 18)"
25,0.6742424368858337,"(39, 19)"
25,0.6136363744735718,"(21, 19)"
25,0.8030303120613098,"(0, 7)"
25,0.6666666865348816,"(40, 10)"
26,0.6212121248245239,"(29, 6)"
26,0.6742424368858337,"(2, 22)"
26,0.6136363744735718,"(19, 8)"
26,0.8030303120613098,"(17, 24)"
26,0.6666666865348816,"(23, 13)"
27,0.6287878751754761,"(7, 12)"
27,0.6742424368858337,"(20, 11)"
27,0.6363636255264282,"(21, 8)"
27,0.8030303120613098,"(22, 5)"
27,0.6666666865348816,"(17, 12)"
28,0.6212121248245239,"(43, 8)"
28,0.6742424368858337,"(44, 15)"
28,0.6363636255264282,"(42, 5)"
28,0.8030303120613098,"(24, 17)"
28,0.6666666865348816,"(21, 24)"
29,0.6212121248245239,"(19, 23)"
29,0.6666666865348816,"(7, 17)"
29,0.6287878751754761,"(38, 17)"
29,0.8030303120613098,"(6, 19)"
29,0.6666666865348816,"(12, 2)"
30,0.6287878751754761,"(38, 15)"
30,0.6515151858329773,"(26, 18)"
30,0.6212121248245239,"(39, 10)"
30,0.7954545617103577,"(34, 24)"
30,0.6590909361839294,"(32, 13)"
31,0.6212121248245239,"(22, 17)"
31,0.6515151858329773,"(35, 13)"
31,0.6212121248245239,"(34, 13)"
31,0.7954545617103577,"(28, 8)"
31,0.6590909361839294,"(30, 1)"
32,0.6212121248245239,"(18, 4)"
32,0.6439394354820251,"(15, 0)"
32,0.6212121248245239,"(36, 23)"
32,0.7954545617103577,"(27, 22)"
32,0.6666666865348816,"(37, 2)"
33,0.6136363744735718,"(15, 2)"
33,0.6515151858329773,"(3, 16)"
33,0.6212121248245239,"(45, 4)"
33,0.7954545617103577,"(21, 5)"
33,0.6666666865348816,"(46, 1)"
34,0.6136363744735718,"(46, 22)"
34,0.6515151858329773,"(31, 6)"
34,0.6212121248245239,"(6, 9)"
34,0.8181818723678589,"(14, 0)"
34,0.6666666865348816,"(14, 15)"
35,0.6363636255264282,"(26, 11)"
35,0.6515151858329773,"(45, 14)"
35,0.6212121248245239,"(17, 24)"
35,0.7954545617103577,"(6, 3)"
35,0.6666666865348816,"(18, 13)"
36,0.6363636255264282,"(20, 6)"
36,0.6590909361839294,"(13, 5)"
36,0.6212121248245239,"(44, 9)"
36,0.7954545617103577,"(13, 10)"
36,0.6666666865348816,"(27, 8)"
37,0.6287878751754761,"(14, 22)"
37,0.6590909361839294,"(8, 11)"
37,0.6212121248245239,"(46, 10)"
37,0.7954545617103577,"(11, 4)"
37,0.6590909361839294,"(22, 24)"
38,0.6287878751754761,"(41, 13)"
38,0.6818181872367859,"(1, 12)"
38,0.6060606241226196,"(22, 24)"
38,0.7878788113594055,"(3, 10)"
38,0.6590909361839294,"(45, 2)"
39,0.6287878751754761,"(32, 17)"
39,0.6742424368858337,"(42, 14)"
39,0.5984848737716675,"(7, 14)"
39,0.7878788113594055,"(8, 9)"
39,0.6515151858329773,"(34, 9)"
40,0.6060606241226196,"(7, 9)"
40,0.6742424368858337,"(38, 9)"
40,0.5984848737716675,"(20, 17)"
40,0.7878788113594055,"(39, 24)"
40,0.689393937587738,"(25, 13)"
41,0.6060606241226196,"(31, 16)"
41,0.6742424368858337,"(18, 15)"
41,0.5984848737716675,"(5, 11)"
41,0.8030303120613098,"(7, 2)"
41,0.6818181872367859,"(46, 3)"
42,0.6060606241226196,"(24, 3)"
42,0.6742424368858337,"(18, 21)"
42,0.5984848737716675,"(34, 15)"
42,0.7954545617103577,"(3, 16)"
42,0.6590909361839294,"(20, 20)"
43,0.6060606241226196,"(16, 11)"
43,0.6666666865348816,"(2, 8)"
43,0.5984848737716675,"(16, 14)"
43,0.7954545617103577,"(16, 2)"
43,0.6515151858329773,"(5, 15)"
44,0.6060606241226196,"(47, 6)"
44,0.6818181872367859,"(46, 20)"
44,0.5984848737716675,"(43, 13)"
44,0.7954545617103577,"(25, 5)"
44,0.6515151858329773,"(23, 15)"
