k_heads_ablated,accuracy,last_head_removed
0,0.7575757503509521,
1,0.7651515603065491,"(39, 4)"
2,0.7727273106575012,"(22, 20)"
3,0.7651515603065491,"(35, 17)"
4,0.7727273106575012,"(26, 13)"
5,0.75,"(24, 16)"
6,0.7575757503509521,"(28, 15)"
7,0.7196969985961914,"(26, 20)"
8,0.7196969985961914,"(25, 19)"
9,0.7045454978942871,"(25, 16)"
10,0.696969747543335,"(38, 12)"
11,0.689393937587738,"(34, 17)"
12,0.6818181872367859,"(29, 14)"
13,0.6818181872367859,"(36, 9)"
14,0.6439394354820251,"(26, 8)"
15,0.6439394354820251,"(33, 2)"
16,0.6439394354820251,"(27, 23)"
17,0.6439394354820251,"(21, 3)"
18,0.560606062412262,"(26, 22)"
19,0.5681818127632141,"(34, 0)"
20,0.575757622718811,"(19, 18)"
21,0.5378788113594055,"(40, 18)"
22,0.5378788113594055,"(21, 20)"
23,0.5454545617103577,"(35, 19)"
24,0.5530303120613098,"(31, 17)"
25,0.5378788113594055,"(27, 5)"
26,0.5303030610084534,"(18, 0)"
27,0.5151515007019043,"(30, 8)"
28,0.5,"(23, 8)"
29,0.5,"(36, 17)"
30,0.4848484992980957,"(23, 18)"
31,0.4545454680919647,"(23, 19)"
32,0.4469697177410126,"(29, 0)"
33,0.43939393758773804,"(33, 13)"
34,0.4166666865348816,"(36, 4)"
35,0.40909093618392944,"(42, 18)"
36,0.3863636553287506,"(29, 19)"
37,0.3787878751754761,"(27, 1)"
38,0.3787878751754761,"(20, 0)"
39,0.3333333432674408,"(22, 21)"
40,0.2348484992980957,"(39, 22)"
41,0.29545456171035767,"(0, 24)"
42,0.29545456171035767,"(17, 6)"
43,0.24242424964904785,"(43, 15)"
44,0.2348484992980957,"(35, 21)"
45,0.21969696879386902,"(31, 18)"
46,0.21212121844291687,"(31, 8)"
47,0.19696970283985138,"(37, 7)"
48,0.19696970283985138,"(41, 9)"
49,0.20454546809196472,"(0, 10)"
50,0.19696970283985138,"(32, 1)"
51,0.18939393758773804,"(31, 3)"
52,0.1818181872367859,"(28, 11)"
53,0.18939393758773804,"(32, 15)"
54,0.1818181872367859,"(39, 2)"
55,0.15909090638160706,"(35, 7)"
56,0.14393940567970276,"(34, 20)"
57,0.13636364042758942,"(41, 1)"
58,0.12878787517547607,"(32, 18)"
59,0.13636364042758942,"(37, 8)"
60,0.12878787517547607,"(42, 9)"
61,0.12878787517547607,"(0, 21)"
62,0.12878787517547607,"(20, 19)"
63,0.1515151560306549,"(31, 4)"
64,0.15909090638160706,"(30, 23)"
65,0.1666666716337204,"(2, 12)"
66,0.21212121844291687,"(4, 19)"
67,0.18939393758773804,"(0, 22)"
68,0.18939393758773804,"(22, 22)"
69,0.21212121844291687,"(8, 16)"
70,0.20454546809196472,"(38, 23)"
71,0.19696970283985138,"(27, 13)"
72,0.14393940567970276,"(40, 4)"
73,0.15909090638160706,"(35, 4)"
74,0.14393940567970276,"(37, 0)"
