k_heads_ablated,accuracy,last_head_removed
0,0.7075099349021912,
1,0.7075099349021912,"(42, 0)"
2,0.7075099349021912,"(34, 10)"
3,0.7114624977111816,"(42, 21)"
4,0.7154150605201721,"(31, 8)"
5,0.7154150605201721,"(40, 21)"
6,0.7114624977111816,"(32, 15)"
7,0.7114624977111816,"(30, 23)"
8,0.7193676233291626,"(27, 5)"
9,0.7193676233291626,"(45, 18)"
10,0.7193676233291626,"(38, 22)"
11,0.679841935634613,"(26, 8)"
12,0.687747061252594,"(1, 7)"
13,0.687747061252594,"(43, 10)"
14,0.687747061252594,"(43, 24)"
15,0.6916996240615845,"(29, 20)"
16,0.687747061252594,"(29, 19)"
17,0.6758893728256226,"(25, 10)"
18,0.6679841876029968,"(6, 20)"
19,0.6679841876029968,"(43, 16)"
20,0.6679841876029968,"(39, 5)"
21,0.6679841876029968,"(33, 2)"
22,0.6600790619850159,"(8, 16)"
23,0.6640316247940063,"(3, 6)"
24,0.644268810749054,"(2, 8)"
25,0.6600790619850159,"(19, 15)"
26,0.6561264991760254,"(4, 19)"
27,0.6561264991760254,"(44, 8)"
28,0.6600790619850159,"(41, 1)"
29,0.6640316247940063,"(38, 17)"
30,0.6640316247940063,"(36, 9)"
31,0.6600790619850159,"(29, 23)"
32,0.6521739363670349,"(4, 4)"
33,0.6561264991760254,"(33, 9)"
34,0.6561264991760254,"(33, 6)"
35,0.6482213735580444,"(28, 9)"
36,0.6482213735580444,"(18, 3)"
37,0.6482213735580444,"(10, 0)"
38,0.636363685131073,"(3, 0)"
39,0.6561264991760254,"(2, 12)"
40,0.6561264991760254,"(35, 10)"
41,0.6561264991760254,"(24, 8)"
42,0.6482213735580444,"(24, 1)"
43,0.5889328122138977,"(23, 8)"
44,0.5849802494049072,"(18, 0)"
45,0.5810276865959167,"(3, 3)"
46,0.5849802494049072,"(38, 9)"
47,0.5810276865959167,"(35, 19)"
48,0.5770751237869263,"(34, 5)"
49,0.5810276865959167,"(33, 13)"
50,0.5770751237869263,"(31, 4)"
51,0.5770751237869263,"(29, 15)"
52,0.5731225609779358,"(28, 3)"
53,0.5731225609779358,"(27, 3)"
54,0.5731225609779358,"(25, 4)"
55,0.5770751237869263,"(22, 22)"
56,0.5849802494049072,"(20, 7)"
57,0.5810276865959167,"(20, 5)"
58,0.5810276865959167,"(15, 11)"
59,0.5810276865959167,"(14, 5)"
60,0.5810276865959167,"(12, 18)"
61,0.6007905602455139,"(1, 19)"
62,0.5889328122138977,"(1, 17)"
63,0.5849802494049072,"(40, 22)"
64,0.5849802494049072,"(39, 22)"
65,0.5849802494049072,"(38, 12)"
66,0.5810276865959167,"(37, 0)"
67,0.5770751237869263,"(36, 4)"
68,0.5770751237869263,"(35, 21)"
69,0.5770751237869263,"(35, 17)"
70,0.5770751237869263,"(35, 12)"
71,0.5810276865959167,"(34, 4)"
72,0.5810276865959167,"(34, 0)"
73,0.5810276865959167,"(31, 15)"
74,0.5810276865959167,"(28, 15)"
75,0.5968379974365234,"(28, 11)"
76,0.5810276865959167,"(26, 22)"
77,0.5770751237869263,"(26, 13)"
78,0.5494071245193481,"(25, 19)"
79,0.5415019989013672,"(24, 16)"
80,0.5415019989013672,"(24, 0)"
81,0.5019763112068176,"(23, 20)"
82,0.52173912525177,"(23, 19)"
83,0.46640318632125854,"(23, 18)"
84,0.4743083119392395,"(23, 14)"
85,0.4743083119392395,"(22, 20)"
86,0.4743083119392395,"(21, 20)"
87,0.44664034247398376,"(21, 3)"
88,0.44664034247398376,"(21, 1)"
89,0.4426877498626709,"(13, 22)"
90,0.45059290528297424,"(12, 3)"
91,0.44664034247398376,"(11, 5)"
92,0.44664034247398376,"(11, 1)"
93,0.43478262424468994,"(5, 22)"
94,0.41501978039741516,"(5, 1)"
95,0.41501978039741516,"(4, 21)"
96,0.4071146547794342,"(2, 19)"
97,0.4071146547794342,"(0, 19)"
98,0.4071146547794342,"(0, 13)"
99,0.4071146547794342,"(0, 10)"
