k_heads_ablated,accuracy,last_head_removed
0,0.7076923251152039,
1,0.7076923251152039,"(42, 0)"
2,0.7076923251152039,"(34, 10)"
3,0.7076923251152039,"(42, 21)"
4,0.6769230961799622,"(31, 8)"
5,0.6769230961799622,"(40, 21)"
6,0.692307710647583,"(32, 15)"
7,0.6769230961799622,"(30, 23)"
8,0.6307692527770996,"(27, 5)"
9,0.6307692527770996,"(45, 18)"
10,0.6153846383094788,"(38, 22)"
11,0.5692307949066162,"(26, 8)"
12,0.5692307949066162,"(1, 7)"
13,0.5384615659713745,"(43, 10)"
14,0.5538461804389954,"(43, 24)"
15,0.5384615659713745,"(29, 20)"
16,0.5538461804389954,"(29, 19)"
17,0.5538461804389954,"(25, 10)"
18,0.5538461804389954,"(6, 20)"
19,0.5538461804389954,"(43, 16)"
20,0.5384615659713745,"(39, 5)"
21,0.5384615659713745,"(33, 2)"
22,0.5384615659713745,"(8, 16)"
23,0.5384615659713745,"(3, 6)"
24,0.5384615659713745,"(2, 8)"
25,0.5384615659713745,"(19, 15)"
26,0.5384615659713745,"(4, 19)"
27,0.5384615659713745,"(44, 8)"
28,0.5230769515037537,"(41, 1)"
29,0.4923076927661896,"(38, 17)"
30,0.4923076927661896,"(36, 9)"
31,0.4769230782985687,"(29, 23)"
32,0.4923076927661896,"(4, 4)"
33,0.4923076927661896,"(33, 9)"
34,0.4923076927661896,"(33, 6)"
35,0.5076923370361328,"(28, 9)"
36,0.5076923370361328,"(18, 3)"
37,0.5076923370361328,"(10, 0)"
38,0.5076923370361328,"(3, 0)"
39,0.5076923370361328,"(2, 12)"
40,0.5076923370361328,"(35, 10)"
41,0.5076923370361328,"(24, 8)"
42,0.5076923370361328,"(24, 1)"
43,0.5076923370361328,"(23, 8)"
44,0.5076923370361328,"(18, 0)"
45,0.5076923370361328,"(3, 3)"
46,0.5076923370361328,"(38, 9)"
47,0.446153849363327,"(35, 19)"
48,0.4615384638309479,"(34, 5)"
49,0.4615384638309479,"(33, 13)"
50,0.446153849363327,"(31, 4)"
51,0.446153849363327,"(29, 15)"
52,0.446153849363327,"(28, 3)"
53,0.446153849363327,"(27, 3)"
54,0.4307692348957062,"(25, 4)"
55,0.4153846204280853,"(22, 22)"
56,0.4153846204280853,"(20, 7)"
57,0.4153846204280853,"(20, 5)"
58,0.4153846204280853,"(15, 11)"
59,0.4153846204280853,"(14, 5)"
60,0.4153846204280853,"(12, 18)"
61,0.4153846204280853,"(1, 19)"
62,0.4153846204280853,"(1, 17)"
63,0.38461539149284363,"(40, 22)"
64,0.3692307770252228,"(39, 22)"
65,0.3692307770252228,"(38, 12)"
66,0.3692307770252228,"(37, 0)"
67,0.3692307770252228,"(36, 4)"
68,0.3692307770252228,"(35, 21)"
69,0.3692307770252228,"(35, 17)"
70,0.35384616255760193,"(35, 12)"
71,0.35384616255760193,"(34, 4)"
72,0.35384616255760193,"(34, 0)"
73,0.35384616255760193,"(31, 15)"
74,0.35384616255760193,"(28, 15)"
75,0.35384616255760193,"(28, 11)"
76,0.35384616255760193,"(26, 22)"
77,0.35384616255760193,"(26, 13)"
78,0.35384616255760193,"(25, 19)"
79,0.35384616255760193,"(24, 16)"
80,0.35384616255760193,"(24, 0)"
81,0.3384615480899811,"(23, 20)"
82,0.3384615480899811,"(23, 19)"
83,0.3384615480899811,"(23, 18)"
84,0.32307693362236023,"(23, 14)"
85,0.32307693362236023,"(22, 20)"
86,0.32307693362236023,"(21, 20)"
87,0.32307693362236023,"(21, 3)"
88,0.3076923191547394,"(21, 1)"
89,0.32307693362236023,"(13, 22)"
90,0.29230770468711853,"(12, 3)"
91,0.29230770468711853,"(11, 5)"
92,0.29230770468711853,"(11, 1)"
93,0.32307693362236023,"(5, 22)"
94,0.32307693362236023,"(5, 1)"
95,0.3384615480899811,"(4, 21)"
96,0.32307693362236023,"(2, 19)"
97,0.32307693362236023,"(0, 19)"
98,0.32307693362236023,"(0, 13)"
99,0.32307693362236023,"(0, 10)"
