k_heads_ablated,accuracy,last_head_removed
0,0.4017857313156128,
1,0.4017857313156128,"(36, 17)"
2,0.4107142984867096,"(31, 4)"
3,0.4196428656578064,"(30, 23)"
4,0.4196428656578064,"(40, 0)"
5,0.4196428656578064,"(39, 6)"
6,0.4196428656578064,"(42, 0)"
7,0.4196428656578064,"(24, 12)"
8,0.4196428656578064,"(34, 21)"
9,0.3839285969734192,"(26, 8)"
10,0.3839285969734192,"(38, 12)"
11,0.3839285969734192,"(41, 1)"
12,0.3839285969734192,"(35, 19)"
13,0.3839285969734192,"(41, 6)"
14,0.3839285969734192,"(34, 5)"
15,0.3839285969734192,"(36, 2)"
16,0.3839285969734192,"(33, 21)"
17,0.4107142984867096,"(33, 18)"
18,0.4107142984867096,"(29, 8)"
19,0.4107142984867096,"(40, 22)"
20,0.4017857313156128,"(38, 5)"
21,0.4107142984867096,"(35, 0)"
22,0.4017857313156128,"(27, 5)"
23,0.4017857313156128,"(25, 4)"
24,0.4107142984867096,"(2, 12)"
25,0.4107142984867096,"(42, 24)"
26,0.4107142984867096,"(31, 3)"
27,0.4107142984867096,"(30, 8)"
28,0.4196428656578064,"(32, 15)"
29,0.4196428656578064,"(29, 9)"
30,0.4107142984867096,"(28, 3)"
31,0.4107142984867096,"(22, 20)"
32,0.392857164144516,"(21, 10)"
33,0.392857164144516,"(8, 16)"
34,0.392857164144516,"(39, 2)"
35,0.392857164144516,"(33, 2)"
36,0.392857164144516,"(32, 9)"
37,0.392857164144516,"(24, 4)"
38,0.4107142984867096,"(22, 22)"
39,0.4107142984867096,"(43, 3)"
40,0.4017857313156128,"(39, 4)"
41,0.4017857313156128,"(25, 10)"
42,0.4107142984867096,"(24, 5)"
43,0.392857164144516,"(19, 15)"
44,0.4196428656578064,"(3, 8)"
45,0.4107142984867096,"(1, 7)"
46,0.4107142984867096,"(46, 24)"
47,0.4017857313156128,"(42, 21)"
48,0.4017857313156128,"(42, 13)"
49,0.4107142984867096,"(41, 8)"
50,0.4107142984867096,"(41, 2)"
51,0.4107142984867096,"(40, 18)"
52,0.4107142984867096,"(37, 15)"
53,0.4107142984867096,"(36, 14)"
54,0.4107142984867096,"(35, 12)"
55,0.4017857313156128,"(34, 16)"
56,0.4017857313156128,"(33, 10)"
57,0.4017857313156128,"(32, 12)"
58,0.4017857313156128,"(26, 2)"
59,0.4196428656578064,"(24, 1)"
60,0.4017857313156128,"(23, 20)"
61,0.4196428656578064,"(20, 19)"
62,0.4196428656578064,"(19, 18)"
63,0.4107142984867096,"(9, 5)"
64,0.392857164144516,"(7, 21)"
65,0.392857164144516,"(7, 19)"
66,0.3839285969734192,"(6, 20)"
67,0.3839285969734192,"(4, 19)"
68,0.3660714328289032,"(4, 10)"
69,0.392857164144516,"(4, 7)"
70,0.392857164144516,"(3, 11)"
71,0.4107142984867096,"(2, 18)"
72,0.4285714626312256,"(2, 2)"
73,0.4107142984867096,"(1, 22)"
