k_heads_ablated,accuracy,last_head_removed
0,0.4000000059604645,
0,0.4000000059604645,
0,0.4000000059604645,
0,0.4000000059604645,
0,0.4000000059604645,
1,0.4000000059604645,"(4, 21)"
1,0.4000000059604645,"(31, 22)"
1,0.4000000059604645,"(6, 10)"
1,0.4000000059604645,"(45, 21)"
1,0.4000000059604645,"(8, 7)"
2,0.4000000059604645,"(19, 5)"
2,0.4000000059604645,"(34, 2)"
2,0.4000000059604645,"(15, 22)"
2,0.4000000059604645,"(43, 9)"
2,0.4000000059604645,"(11, 1)"
3,0.4000000059604645,"(25, 23)"
3,0.4000000059604645,"(40, 13)"
3,0.4000000059604645,"(42, 17)"
3,0.4000000059604645,"(29, 4)"
3,0.4000000059604645,"(30, 20)"
4,0.4000000059604645,"(47, 10)"
4,0.4000000059604645,"(9, 0)"
4,0.4000000059604645,"(13, 12)"
4,0.4000000059604645,"(41, 9)"
4,0.4000000059604645,"(7, 17)"
5,0.4000000059604645,"(30, 5)"
5,0.4000000059604645,"(21, 2)"
5,0.4000000059604645,"(4, 16)"
5,0.4000000059604645,"(36, 1)"
5,0.4000000059604645,"(25, 18)"
6,0.4000000059604645,"(7, 8)"
6,0.4000000059604645,"(31, 13)"
6,0.4000000059604645,"(9, 13)"
6,0.4000000059604645,"(35, 17)"
6,0.4000000059604645,"(31, 17)"
7,0.4000000059604645,"(43, 11)"
7,0.4000000059604645,"(47, 3)"
7,0.4000000059604645,"(24, 16)"
7,0.4000000059604645,"(38, 4)"
7,0.4000000059604645,"(32, 2)"
8,0.4000000059604645,"(29, 16)"
8,0.4000000059604645,"(40, 3)"
8,0.4000000059604645,"(45, 19)"
8,0.4000000059604645,"(44, 12)"
8,0.4000000059604645,"(22, 24)"
9,0.4000000059604645,"(33, 20)"
9,0.4000000059604645,"(15, 6)"
9,0.4000000059604645,"(37, 13)"
9,0.4000000059604645,"(20, 0)"
9,0.4000000059604645,"(3, 2)"
10,0.4000000059604645,"(0, 7)"
10,0.4000000059604645,"(5, 14)"
10,0.4000000059604645,"(3, 14)"
10,0.4000000059604645,"(33, 5)"
10,0.4000000059604645,"(30, 16)"
11,0.4000000059604645,"(36, 4)"
11,0.4000000059604645,"(12, 17)"
11,0.4000000059604645,"(38, 2)"
11,0.4000000059604645,"(10, 4)"
11,0.4000000059604645,"(5, 2)"
12,0.4000000059604645,"(25, 22)"
12,0.4000000059604645,"(15, 7)"
12,0.4000000059604645,"(45, 10)"
12,0.4000000059604645,"(11, 22)"
12,0.4000000059604645,"(35, 3)"
13,0.4000000059604645,"(13, 19)"
13,0.4000000059604645,"(1, 19)"
13,0.4000000059604645,"(38, 20)"
13,0.4000000059604645,"(31, 21)"
13,0.4000000059604645,"(15, 8)"
14,0.4000000059604645,"(35, 7)"
14,0.4000000059604645,"(33, 4)"
14,0.4000000059604645,"(35, 21)"
14,0.4000000059604645,"(41, 19)"
14,0.4000000059604645,"(47, 4)"
15,0.4000000059604645,"(11, 7)"
15,0.4000000059604645,"(36, 13)"
15,0.4000000059604645,"(21, 20)"
15,0.4000000059604645,"(1, 15)"
15,0.4000000059604645,"(3, 20)"
16,0.4000000059604645,"(10, 21)"
16,0.4000000059604645,"(44, 8)"
16,0.4000000059604645,"(22, 4)"
16,0.4000000059604645,"(11, 21)"
16,0.4000000059604645,"(13, 8)"
17,0.4000000059604645,"(33, 22)"
17,0.4000000059604645,"(8, 13)"
17,0.4000000059604645,"(30, 14)"
17,0.4000000059604645,"(16, 10)"
17,0.4000000059604645,"(32, 6)"
18,0.4000000059604645,"(8, 8)"
18,0.4000000059604645,"(3, 12)"
18,0.4000000059604645,"(25, 20)"
18,0.4000000059604645,"(27, 3)"
18,0.4000000059604645,"(25, 19)"
19,0.4000000059604645,"(20, 9)"
19,0.4000000059604645,"(37, 23)"
19,0.4000000059604645,"(13, 10)"
19,0.4000000059604645,"(17, 24)"
19,0.4000000059604645,"(33, 24)"
20,0.4000000059604645,"(0, 16)"
20,0.4000000059604645,"(42, 4)"
20,0.4000000059604645,"(14, 15)"
20,0.4000000059604645,"(46, 15)"
20,0.4000000059604645,"(37, 18)"
21,0.4000000059604645,"(35, 10)"
21,0.4000000059604645,"(33, 23)"
21,0.4000000059604645,"(0, 0)"
21,0.4000000059604645,"(30, 20)"
21,0.4000000059604645,"(18, 12)"
22,0.4000000059604645,"(29, 15)"
22,0.4000000059604645,"(19, 14)"
22,0.4000000059604645,"(26, 16)"
22,0.4000000059604645,"(16, 20)"
22,0.4000000059604645,"(12, 12)"
23,0.4000000059604645,"(14, 20)"
23,0.4000000059604645,"(13, 13)"
23,0.4000000059604645,"(44, 21)"
23,0.4000000059604645,"(1, 24)"
23,0.4000000059604645,"(31, 22)"
24,0.4000000059604645,"(14, 12)"
24,0.4000000059604645,"(2, 14)"
24,0.4000000059604645,"(31, 1)"
24,0.4000000059604645,"(15, 17)"
24,0.4000000059604645,"(12, 24)"
25,0.4000000059604645,"(36, 10)"
25,0.4000000059604645,"(36, 8)"
25,0.4000000059604645,"(13, 5)"
25,0.4000000059604645,"(17, 2)"
25,0.4000000059604645,"(42, 14)"
26,0.4000000059604645,"(38, 22)"
26,0.4000000059604645,"(15, 1)"
26,0.4000000059604645,"(23, 23)"
26,0.4000000059604645,"(22, 16)"
26,0.4000000059604645,"(36, 8)"
27,0.4000000059604645,"(12, 6)"
27,0.4000000059604645,"(27, 20)"
27,0.4000000059604645,"(12, 17)"
27,0.4000000059604645,"(2, 3)"
27,0.4000000059604645,"(45, 7)"
28,0.4000000059604645,"(15, 22)"
28,0.4000000059604645,"(16, 4)"
28,0.4000000059604645,"(29, 22)"
28,0.4000000059604645,"(16, 13)"
28,0.4000000059604645,"(6, 17)"
29,0.4000000059604645,"(37, 1)"
29,0.4000000059604645,"(40, 24)"
29,0.4000000059604645,"(11, 21)"
29,0.4000000059604645,"(8, 10)"
29,0.4000000059604645,"(35, 13)"
30,0.4000000059604645,"(29, 21)"
30,0.4000000059604645,"(9, 22)"
30,0.4000000059604645,"(13, 23)"
30,0.4000000059604645,"(47, 22)"
30,0.4000000059604645,"(41, 4)"
31,0.4000000059604645,"(21, 6)"
31,0.4000000059604645,"(29, 20)"
31,0.4000000059604645,"(0, 13)"
31,0.4000000059604645,"(29, 3)"
31,0.4000000059604645,"(30, 5)"
32,0.4000000059604645,"(47, 22)"
32,0.4000000059604645,"(14, 15)"
32,0.4000000059604645,"(14, 9)"
32,0.4000000059604645,"(21, 19)"
32,0.4000000059604645,"(46, 19)"
33,0.4000000059604645,"(12, 11)"
33,0.4000000059604645,"(45, 16)"
33,0.4000000059604645,"(21, 17)"
33,0.4000000059604645,"(41, 7)"
33,0.4000000059604645,"(41, 17)"
34,0.4000000059604645,"(24, 7)"
34,0.4000000059604645,"(27, 21)"
34,0.4000000059604645,"(18, 0)"
34,0.4000000059604645,"(2, 14)"
34,0.4000000059604645,"(34, 6)"
35,0.4000000059604645,"(25, 6)"
35,0.4000000059604645,"(5, 13)"
35,0.4000000059604645,"(44, 0)"
35,0.4000000059604645,"(16, 16)"
35,0.4000000059604645,"(32, 14)"
36,0.4000000059604645,"(37, 0)"
36,0.4000000059604645,"(16, 5)"
36,0.4000000059604645,"(8, 22)"
36,0.4000000059604645,"(8, 19)"
36,0.4000000059604645,"(27, 22)"
37,0.4000000059604645,"(15, 4)"
37,0.4000000059604645,"(25, 2)"
37,0.4000000059604645,"(7, 17)"
37,0.4000000059604645,"(17, 21)"
37,0.4000000059604645,"(25, 13)"
38,0.4000000059604645,"(12, 23)"
38,0.4000000059604645,"(14, 17)"
38,0.4000000059604645,"(43, 20)"
38,0.4000000059604645,"(45, 4)"
38,0.4000000059604645,"(4, 0)"
39,0.4000000059604645,"(35, 14)"
39,0.4000000059604645,"(18, 8)"
39,0.4000000059604645,"(46, 2)"
39,0.4000000059604645,"(18, 0)"
39,0.4000000059604645,"(8, 12)"
40,0.4000000059604645,"(30, 1)"
40,0.4000000059604645,"(9, 7)"
40,0.4000000059604645,"(17, 13)"
40,0.4000000059604645,"(36, 24)"
40,0.4000000059604645,"(34, 1)"
41,0.4000000059604645,"(20, 4)"
41,0.4000000059604645,"(27, 8)"
41,0.4000000059604645,"(15, 11)"
41,0.4000000059604645,"(3, 14)"
41,0.4000000059604645,"(38, 19)"
42,0.4000000059604645,"(8, 13)"
42,0.4000000059604645,"(43, 13)"
42,0.4000000059604645,"(15, 13)"
42,0.4000000059604645,"(28, 18)"
42,0.4000000059604645,"(11, 10)"
43,0.4000000059604645,"(36, 16)"
43,0.4000000059604645,"(12, 18)"
43,0.4000000059604645,"(23, 17)"
43,0.4000000059604645,"(24, 21)"
43,0.4000000059604645,"(18, 8)"
44,0.4000000059604645,"(16, 15)"
44,0.4000000059604645,"(20, 14)"
44,0.4000000059604645,"(32, 5)"
44,0.4000000059604645,"(5, 3)"
44,0.4000000059604645,"(43, 12)"
45,0.4000000059604645,"(35, 18)"
45,0.4000000059604645,"(45, 20)"
