k_heads_ablated,accuracy,last_head_removed
0,0.4000000059604645,
1,0.4000000059604645,"(36, 17)"
2,0.4000000059604645,"(31, 4)"
3,0.4000000059604645,"(30, 23)"
4,0.4000000059604645,"(40, 0)"
5,0.4000000059604645,"(39, 6)"
6,0.4000000059604645,"(42, 0)"
7,0.4000000059604645,"(24, 12)"
8,0.4000000059604645,"(34, 21)"
9,0.4000000059604645,"(26, 8)"
10,0.4000000059604645,"(38, 12)"
11,0.4000000059604645,"(41, 1)"
12,0.375,"(35, 19)"
13,0.375,"(41, 6)"
14,0.375,"(34, 5)"
15,0.3499999940395355,"(36, 2)"
16,0.3499999940395355,"(33, 21)"
17,0.32500001788139343,"(33, 18)"
18,0.32500001788139343,"(29, 8)"
19,0.32500001788139343,"(40, 22)"
20,0.32500001788139343,"(38, 5)"
21,0.30000001192092896,"(35, 0)"
22,0.30000001192092896,"(27, 5)"
23,0.2750000059604645,"(25, 4)"
24,0.2750000059604645,"(2, 12)"
25,0.2750000059604645,"(42, 24)"
26,0.2750000059604645,"(31, 3)"
27,0.25,"(30, 8)"
28,0.25,"(32, 15)"
29,0.25,"(29, 9)"
30,0.22500000894069672,"(28, 3)"
31,0.22500000894069672,"(22, 20)"
32,0.22500000894069672,"(21, 10)"
33,0.22500000894069672,"(8, 16)"
34,0.22500000894069672,"(39, 2)"
35,0.22500000894069672,"(33, 2)"
36,0.22500000894069672,"(32, 9)"
37,0.20000000298023224,"(24, 4)"
38,0.17499999701976776,"(22, 22)"
39,0.17499999701976776,"(43, 3)"
40,0.17499999701976776,"(39, 4)"
41,0.15000000596046448,"(25, 10)"
42,0.125,"(24, 5)"
43,0.125,"(19, 15)"
44,0.15000000596046448,"(3, 8)"
45,0.15000000596046448,"(1, 7)"
46,0.125,"(46, 24)"
47,0.15000000596046448,"(42, 21)"
48,0.15000000596046448,"(42, 13)"
49,0.15000000596046448,"(41, 8)"
50,0.15000000596046448,"(41, 2)"
51,0.125,"(40, 18)"
52,0.125,"(37, 15)"
53,0.125,"(36, 14)"
54,0.125,"(35, 12)"
55,0.125,"(34, 16)"
56,0.10000000149011612,"(33, 10)"
57,0.07500000298023224,"(32, 12)"
58,0.07500000298023224,"(26, 2)"
59,0.07500000298023224,"(24, 1)"
60,0.07500000298023224,"(23, 20)"
61,0.07500000298023224,"(20, 19)"
62,0.07500000298023224,"(19, 18)"
63,0.07500000298023224,"(9, 5)"
64,0.07500000298023224,"(7, 21)"
65,0.07500000298023224,"(7, 19)"
66,0.07500000298023224,"(6, 20)"
67,0.07500000298023224,"(4, 19)"
68,0.07500000298023224,"(4, 10)"
69,0.07500000298023224,"(4, 7)"
70,0.07500000298023224,"(3, 11)"
71,0.07500000298023224,"(2, 18)"
72,0.07500000298023224,"(2, 2)"
73,0.07500000298023224,"(1, 22)"
