k_heads_ablated,accuracy,last_head_removed
0,0.4017857313156128,
0,0.4017857313156128,
0,0.4017857313156128,
0,0.4017857313156128,
0,0.4017857313156128,
1,0.4017857313156128,"(18, 10)"
1,0.3839285969734192,"(2, 8)"
1,0.4375000298023224,"(22, 19)"
1,0.4017857313156128,"(0, 4)"
1,0.4017857313156128,"(11, 14)"
2,0.4017857313156128,"(20, 10)"
2,0.392857164144516,"(1, 23)"
2,0.4285714626312256,"(38, 23)"
2,0.4017857313156128,"(34, 23)"
2,0.4017857313156128,"(44, 15)"
3,0.4017857313156128,"(36, 9)"
3,0.3750000298023224,"(47, 6)"
3,0.4196428656578064,"(14, 20)"
3,0.4017857313156128,"(21, 9)"
3,0.4017857313156128,"(8, 0)"
4,0.392857164144516,"(19, 15)"
4,0.3750000298023224,"(23, 9)"
4,0.4196428656578064,"(34, 23)"
4,0.4017857313156128,"(26, 9)"
4,0.4017857313156128,"(46, 16)"
5,0.4017857313156128,"(21, 11)"
5,0.3750000298023224,"(45, 10)"
5,0.4196428656578064,"(12, 11)"
5,0.4017857313156128,"(23, 18)"
5,0.4017857313156128,"(28, 13)"
6,0.392857164144516,"(23, 7)"
6,0.3750000298023224,"(36, 18)"
6,0.4375000298023224,"(11, 21)"
6,0.4107142984867096,"(30, 18)"
6,0.4017857313156128,"(40, 13)"
7,0.4017857313156128,"(8, 9)"
7,0.3750000298023224,"(38, 15)"
7,0.4375000298023224,"(31, 21)"
7,0.4196428656578064,"(7, 4)"
7,0.4017857313156128,"(31, 5)"
8,0.4017857313156128,"(13, 1)"
8,0.3660714328289032,"(22, 14)"
8,0.4107142984867096,"(24, 6)"
8,0.4196428656578064,"(30, 23)"
8,0.4017857313156128,"(44, 23)"
9,0.4017857313156128,"(30, 11)"
9,0.3660714328289032,"(13, 2)"
9,0.4196428656578064,"(29, 6)"
9,0.4107142984867096,"(34, 16)"
9,0.4017857313156128,"(10, 2)"
10,0.4017857313156128,"(45, 11)"
10,0.3660714328289032,"(18, 15)"
10,0.4196428656578064,"(44, 5)"
10,0.4196428656578064,"(16, 23)"
10,0.4017857313156128,"(3, 7)"
11,0.4017857313156128,"(46, 17)"
11,0.3660714328289032,"(35, 13)"
11,0.4196428656578064,"(34, 7)"
11,0.455357164144516,"(17, 0)"
11,0.4017857313156128,"(25, 7)"
12,0.4017857313156128,"(13, 12)"
12,0.3750000298023224,"(36, 23)"
12,0.4196428656578064,"(12, 7)"
12,0.455357164144516,"(46, 6)"
12,0.4017857313156128,"(45, 22)"
13,0.4017857313156128,"(44, 12)"
13,0.3660714328289032,"(24, 6)"
13,0.4375000298023224,"(8, 3)"
13,0.455357164144516,"(47, 22)"
13,0.4017857313156128,"(12, 14)"
14,0.4196428656578064,"(8, 3)"
14,0.3660714328289032,"(46, 24)"
14,0.392857164144516,"(4, 13)"
14,0.4285714626312256,"(38, 24)"
14,0.392857164144516,"(5, 12)"
15,0.4196428656578064,"(3, 9)"
15,0.3839285969734192,"(40, 16)"
15,0.392857164144516,"(1, 14)"
15,0.4285714626312256,"(28, 18)"
15,0.392857164144516,"(31, 9)"
16,0.4196428656578064,"(19, 9)"
16,0.3660714328289032,"(19, 22)"
16,0.392857164144516,"(25, 7)"
16,0.4285714626312256,"(31, 24)"
16,0.392857164144516,"(33, 21)"
17,0.4196428656578064,"(12, 7)"
17,0.3750000298023224,"(22, 9)"
17,0.392857164144516,"(32, 4)"
17,0.455357164144516,"(3, 12)"
17,0.392857164144516,"(9, 23)"
18,0.4196428656578064,"(4, 4)"
18,0.3750000298023224,"(36, 12)"
18,0.4017857313156128,"(35, 11)"
18,0.455357164144516,"(41, 24)"
18,0.392857164144516,"(42, 3)"
19,0.4107142984867096,"(20, 3)"
19,0.3660714328289032,"(8, 7)"
19,0.4017857313156128,"(45, 3)"
19,0.4642857313156128,"(7, 20)"
19,0.4107142984867096,"(22, 3)"
20,0.4107142984867096,"(24, 21)"
20,0.3660714328289032,"(8, 6)"
20,0.4017857313156128,"(8, 18)"
20,0.4375000298023224,"(44, 13)"
20,0.4107142984867096,"(6, 12)"
21,0.392857164144516,"(22, 18)"
21,0.3660714328289032,"(16, 7)"
21,0.392857164144516,"(13, 23)"
21,0.4464285969734192,"(13, 7)"
21,0.4196428656578064,"(13, 19)"
22,0.4017857313156128,"(34, 1)"
22,0.3750000298023224,"(33, 22)"
22,0.392857164144516,"(37, 18)"
22,0.4464285969734192,"(4, 11)"
22,0.4196428656578064,"(18, 14)"
23,0.4196428656578064,"(6, 7)"
23,0.3839285969734192,"(31, 8)"
23,0.4017857313156128,"(40, 22)"
23,0.4464285969734192,"(36, 5)"
23,0.4196428656578064,"(35, 7)"
24,0.4196428656578064,"(6, 14)"
24,0.3660714328289032,"(4, 9)"
24,0.4017857313156128,"(47, 8)"
24,0.4464285969734192,"(43, 13)"
24,0.4196428656578064,"(4, 6)"
25,0.4107142984867096,"(9, 24)"
25,0.3750000298023224,"(4, 8)"
25,0.4017857313156128,"(8, 12)"
25,0.4285714626312256,"(31, 22)"
25,0.3839285969734192,"(25, 0)"
26,0.4107142984867096,"(36, 6)"
26,0.3750000298023224,"(7, 24)"
26,0.4017857313156128,"(34, 18)"
26,0.4107142984867096,"(0, 23)"
26,0.3839285969734192,"(45, 10)"
27,0.4107142984867096,"(25, 23)"
27,0.3750000298023224,"(16, 3)"
27,0.4017857313156128,"(31, 3)"
27,0.4196428656578064,"(35, 14)"
27,0.3839285969734192,"(11, 16)"
28,0.4107142984867096,"(41, 5)"
28,0.3750000298023224,"(7, 13)"
28,0.4017857313156128,"(9, 0)"
28,0.4196428656578064,"(36, 17)"
28,0.3839285969734192,"(36, 8)"
29,0.4196428656578064,"(9, 23)"
29,0.3750000298023224,"(6, 21)"
29,0.4196428656578064,"(23, 21)"
29,0.4196428656578064,"(32, 11)"
29,0.392857164144516,"(22, 6)"
30,0.4285714626312256,"(15, 24)"
30,0.3750000298023224,"(29, 7)"
30,0.4285714626312256,"(26, 15)"
30,0.4196428656578064,"(31, 5)"
30,0.196428582072258,"(34, 19)"
31,0.4285714626312256,"(23, 14)"
31,0.3750000298023224,"(15, 21)"
31,0.4642857313156128,"(32, 13)"
31,0.4285714626312256,"(10, 9)"
31,0.196428582072258,"(6, 23)"
32,0.4285714626312256,"(8, 2)"
32,0.3750000298023224,"(15, 7)"
32,0.4642857313156128,"(39, 21)"
32,0.4285714626312256,"(6, 2)"
32,0.1428571492433548,"(2, 5)"
33,0.455357164144516,"(3, 16)"
33,0.3750000298023224,"(37, 17)"
33,0.4642857313156128,"(13, 16)"
33,0.4375000298023224,"(3, 13)"
33,0.1428571492433548,"(47, 15)"
34,0.455357164144516,"(12, 13)"
34,0.3660714328289032,"(3, 20)"
34,0.4642857313156128,"(31, 2)"
34,0.4196428656578064,"(7, 14)"
34,0.133928582072258,"(1, 9)"
35,0.455357164144516,"(19, 6)"
35,0.3750000298023224,"(37, 5)"
35,0.4732142984867096,"(0, 12)"
35,0.4196428656578064,"(2, 16)"
35,0.133928582072258,"(36, 24)"
36,0.4642857313156128,"(19, 1)"
36,0.3750000298023224,"(44, 5)"
36,0.4642857313156128,"(17, 8)"
36,0.4107142984867096,"(39, 8)"
36,0.133928582072258,"(41, 15)"
37,0.4732142984867096,"(23, 5)"
37,0.3839285969734192,"(17, 2)"
37,0.4732142984867096,"(47, 21)"
37,0.3839285969734192,"(32, 10)"
37,0.133928582072258,"(15, 18)"
38,0.4642857313156128,"(0, 7)"
38,0.3839285969734192,"(31, 10)"
38,0.4732142984867096,"(5, 0)"
38,0.3839285969734192,"(18, 6)"
38,0.1428571492433548,"(16, 19)"
39,0.4642857313156128,"(35, 7)"
39,0.3839285969734192,"(34, 12)"
39,0.4642857313156128,"(19, 13)"
39,0.392857164144516,"(21, 5)"
39,0.1428571492433548,"(17, 16)"
40,0.4642857313156128,"(38, 7)"
40,0.392857164144516,"(9, 18)"
40,0.4642857313156128,"(9, 2)"
40,0.4017857313156128,"(32, 4)"
40,0.1428571492433548,"(33, 12)"
41,0.4642857313156128,"(15, 14)"
41,0.3839285969734192,"(26, 15)"
41,0.4642857313156128,"(45, 14)"
41,0.3839285969734192,"(7, 0)"
41,0.1428571492433548,"(15, 12)"
42,0.4642857313156128,"(28, 22)"
42,0.3839285969734192,"(3, 17)"
42,0.4732142984867096,"(11, 9)"
42,0.392857164144516,"(6, 10)"
