k_heads_ablated,accuracy,last_head_removed
0,0.0416666679084301,
1,0.0416666679084301,"(35, 1)"
2,0.0416666679084301,"(42, 15)"
3,0.0833333358168602,"(30, 21)"
4,0.0833333358168602,"(33, 18)"
5,0.0833333358168602,"(29, 13)"
6,0.0833333358168602,"(41, 7)"
7,0.0833333358168602,"(33, 10)"
8,0.0833333358168602,"(29, 18)"
9,0.0833333358168602,"(22, 15)"
10,0.0833333358168602,"(46, 15)"
11,0.125,"(25, 18)"
12,0.125,"(37, 13)"
13,0.125,"(40, 6)"
14,0.125,"(36, 14)"
15,0.125,"(35, 15)"
16,0.125,"(27, 12)"
17,0.125,"(35, 14)"
18,0.125,"(47, 16)"
19,0.125,"(47, 0)"
20,0.125,"(46, 3)"
21,0.125,"(28, 17)"
22,0.125,"(28, 11)"
23,0.125,"(20, 0)"
24,0.1458333432674408,"(45, 17)"
25,0.1458333432674408,"(44, 5)"
26,0.1458333432674408,"(44, 1)"
27,0.1458333432674408,"(41, 16)"
28,0.125,"(40, 24)"
29,0.125,"(39, 15)"
30,0.1458333432674408,"(37, 0)"
31,0.125,"(30, 17)"
32,0.125,"(18, 0)"
33,0.125,"(46, 22)"
34,0.125,"(46, 20)"
35,0.125,"(46, 18)"
36,0.125,"(46, 16)"
37,0.125,"(46, 4)"
38,0.125,"(45, 0)"
39,0.125,"(44, 9)"
40,0.125,"(44, 7)"
41,0.125,"(43, 14)"
42,0.125,"(43, 12)"
43,0.125,"(39, 21)"
44,0.125,"(39, 6)"
45,0.125,"(39, 3)"
46,0.125,"(38, 14)"
47,0.1458333432674408,"(37, 11)"
48,0.1458333432674408,"(37, 2)"
49,0.1458333432674408,"(36, 23)"
50,0.125,"(35, 22)"
51,0.1458333432674408,"(34, 9)"
52,0.125,"(32, 23)"
53,0.1458333432674408,"(32, 11)"
54,0.125,"(32, 0)"
55,0.125,"(31, 12)"
56,0.1458333432674408,"(31, 6)"
57,0.1458333432674408,"(30, 6)"
58,0.1458333432674408,"(29, 1)"
59,0.1458333432674408,"(23, 8)"
60,0.1458333432674408,"(13, 17)"
61,0.1458333432674408,"(9, 15)"
62,0.1458333432674408,"(2, 0)"
