k_heads_ablated,accuracy,last_head_removed
0,0.18487395346164703,
0,0.18487395346164703,
0,0.18487395346164703,
0,0.18487395346164703,
0,0.18487395346164703,
1,0.1764705926179886,"(13, 9)"
1,0.18487395346164703,"(30, 2)"
1,0.18907563388347626,"(6, 3)"
1,0.18487395346164703,"(0, 1)"
1,0.1806722730398178,"(39, 11)"
2,0.1806722730398178,"(30, 20)"
2,0.1806722730398178,"(32, 1)"
2,0.1974789947271347,"(22, 8)"
2,0.1806722730398178,"(36, 11)"
2,0.1806722730398178,"(37, 19)"
3,0.1806722730398178,"(15, 1)"
3,0.1806722730398178,"(0, 14)"
3,0.1974789947271347,"(26, 17)"
3,0.18487395346164703,"(13, 23)"
3,0.1806722730398178,"(9, 11)"
4,0.18487395346164703,"(40, 4)"
4,0.1806722730398178,"(0, 6)"
4,0.1974789947271347,"(44, 16)"
4,0.1806722730398178,"(47, 14)"
4,0.1806722730398178,"(30, 12)"
5,0.18487395346164703,"(42, 16)"
5,0.1764705926179886,"(31, 8)"
5,0.1974789947271347,"(12, 24)"
5,0.16806723177433014,"(14, 22)"
5,0.1806722730398178,"(27, 3)"
6,0.18487395346164703,"(39, 20)"
6,0.19327731430530548,"(32, 13)"
6,0.20588237047195435,"(15, 1)"
6,0.17226891219615936,"(11, 7)"
6,0.1806722730398178,"(27, 18)"
7,0.18487395346164703,"(8, 24)"
7,0.19327731430530548,"(5, 13)"
7,0.21008405089378357,"(6, 16)"
7,0.16806723177433014,"(25, 21)"
7,0.1764705926179886,"(23, 18)"
8,0.18487395346164703,"(46, 13)"
8,0.19327731430530548,"(32, 21)"
8,0.21008405089378357,"(47, 22)"
8,0.16806723177433014,"(34, 12)"
8,0.17226891219615936,"(25, 3)"
9,0.18487395346164703,"(45, 3)"
9,0.19327731430530548,"(45, 14)"
9,0.21848741173744202,"(18, 13)"
9,0.16806723177433014,"(12, 7)"
9,0.17226891219615936,"(31, 22)"
10,0.18907563388347626,"(16, 24)"
10,0.19327731430530548,"(17, 9)"
10,0.21848741173744202,"(0, 20)"
10,0.16806723177433014,"(18, 6)"
10,0.17226891219615936,"(24, 8)"
11,0.18487395346164703,"(18, 7)"
11,0.1974789947271347,"(6, 4)"
11,0.23949581384658813,"(22, 12)"
11,0.1596638709306717,"(28, 3)"
11,0.16806723177433014,"(20, 17)"
12,0.18907563388347626,"(37, 5)"
12,0.18907563388347626,"(18, 5)"
12,0.23949581384658813,"(17, 7)"
12,0.1596638709306717,"(30, 11)"
12,0.16806723177433014,"(44, 2)"
13,0.18907563388347626,"(47, 20)"
13,0.18487395346164703,"(40, 18)"
13,0.24369749426841736,"(43, 16)"
13,0.1596638709306717,"(28, 24)"
13,0.17226891219615936,"(29, 10)"
14,0.18487395346164703,"(17, 2)"
14,0.18487395346164703,"(30, 24)"
14,0.24789917469024658,"(38, 9)"
14,0.1596638709306717,"(35, 6)"
14,0.16806723177433014,"(28, 6)"
15,0.1806722730398178,"(7, 19)"
15,0.18487395346164703,"(41, 20)"
15,0.23949581384658813,"(32, 15)"
15,0.15546219050884247,"(20, 2)"
15,0.16386555135250092,"(3, 11)"
16,0.19327731430530548,"(28, 22)"
16,0.18487395346164703,"(29, 0)"
16,0.23949581384658813,"(37, 3)"
16,0.14705882966518402,"(21, 19)"
16,0.16806723177433014,"(23, 0)"
17,0.1974789947271347,"(43, 10)"
17,0.18907563388347626,"(11, 16)"
17,0.23949581384658813,"(3, 6)"
17,0.14705882966518402,"(41, 4)"
17,0.16386555135250092,"(18, 1)"
18,0.1974789947271347,"(29, 21)"
18,0.18907563388347626,"(5, 19)"
18,0.23949581384658813,"(15, 3)"
