k_heads_ablated,accuracy,last_head_removed
0,0.18487395346164703,
1,0.17226891219615936,"(35, 1)"
2,0.18487395346164703,"(42, 15)"
3,0.12184874713420868,"(30, 21)"
4,0.09243697673082352,"(33, 18)"
5,0.09243697673082352,"(29, 13)"
6,0.1428571492433548,"(41, 7)"
7,0.10924370586872101,"(33, 10)"
8,0.10924370586872101,"(29, 18)"
9,0.09663865715265274,"(22, 15)"
10,0.09663865715265274,"(46, 15)"
11,0.09663865715265274,"(25, 18)"
12,0.09663865715265274,"(37, 13)"
13,0.10084034502506256,"(40, 6)"
14,0.10084034502506256,"(36, 14)"
15,0.15126051008701324,"(35, 15)"
16,0.16386555135250092,"(27, 12)"
17,0.1596638709306717,"(35, 14)"
18,0.15546219050884247,"(47, 16)"
19,0.14705882966518402,"(47, 0)"
20,0.15546219050884247,"(46, 3)"
21,0.13025210797786713,"(28, 17)"
22,0.1260504275560379,"(28, 11)"
23,0.15546219050884247,"(20, 0)"
24,0.15546219050884247,"(45, 17)"
25,0.15546219050884247,"(44, 5)"
26,0.15126051008701324,"(44, 1)"
27,0.15546219050884247,"(41, 16)"
28,0.15546219050884247,"(40, 24)"
29,0.15546219050884247,"(39, 15)"
30,0.16386555135250092,"(37, 0)"
31,0.1596638709306717,"(30, 17)"
32,0.15546219050884247,"(18, 0)"
33,0.15126051008701324,"(46, 22)"
34,0.15126051008701324,"(46, 20)"
35,0.15126051008701324,"(46, 18)"
36,0.1428571492433548,"(46, 16)"
37,0.14705882966518402,"(46, 4)"
38,0.14705882966518402,"(45, 0)"
39,0.1428571492433548,"(44, 9)"
40,0.1596638709306717,"(44, 7)"
41,0.1596638709306717,"(43, 14)"
42,0.1764705926179886,"(43, 12)"
43,0.17226891219615936,"(39, 21)"
44,0.16806723177433014,"(39, 6)"
45,0.16806723177433014,"(39, 3)"
46,0.16806723177433014,"(38, 14)"
47,0.16386555135250092,"(37, 11)"
48,0.16386555135250092,"(37, 2)"
49,0.16386555135250092,"(36, 23)"
50,0.16386555135250092,"(35, 22)"
51,0.15126051008701324,"(34, 9)"
52,0.14705882966518402,"(32, 23)"
53,0.1428571492433548,"(32, 11)"
54,0.1428571492433548,"(32, 0)"
55,0.14705882966518402,"(31, 12)"
56,0.14705882966518402,"(31, 6)"
57,0.14705882966518402,"(30, 6)"
58,0.15126051008701324,"(29, 1)"
59,0.15546219050884247,"(23, 8)"
60,0.15546219050884247,"(13, 17)"
61,0.15126051008701324,"(9, 15)"
62,0.15546219050884247,"(2, 0)"
