k_heads_ablated,accuracy,last_head_removed
0,0.0416666679084301,
1,0.0416666679084301,"(42, 15)"
2,0.0416666679084301,"(41, 7)"
3,0.0416666679084301,"(40, 6)"
4,0.0416666679084301,"(36, 14)"
5,0.0416666679084301,"(27, 22)"
6,0.0625,"(33, 18)"
7,0.0625,"(29, 13)"
8,0.0625,"(47, 0)"
9,0.0625,"(44, 5)"
10,0.0625,"(40, 24)"
11,0.0625,"(35, 1)"
12,0.0625,"(47, 21)"
13,0.0625,"(46, 4)"
14,0.0625,"(39, 1)"
15,0.0625,"(35, 15)"
16,0.0625,"(22, 15)"
17,0.0833333358168602,"(6, 24)"
18,0.1041666716337204,"(6, 13)"
19,0.1041666716337204,"(47, 2)"
20,0.1041666716337204,"(46, 15)"
21,0.0833333358168602,"(46, 0)"
22,0.0833333358168602,"(45, 3)"
23,0.0833333358168602,"(44, 18)"
24,0.0833333358168602,"(44, 14)"
25,0.0833333358168602,"(44, 12)"
26,0.0833333358168602,"(44, 9)"
27,0.0833333358168602,"(44, 1)"
28,0.0833333358168602,"(43, 12)"
29,0.0833333358168602,"(43, 6)"
30,0.0833333358168602,"(41, 16)"
31,0.0833333358168602,"(41, 14)"
32,0.0833333358168602,"(39, 21)"
33,0.0833333358168602,"(39, 15)"
34,0.0833333358168602,"(35, 14)"
35,0.0833333358168602,"(31, 23)"
36,0.0833333358168602,"(31, 6)"
37,0.1041666716337204,"(30, 21)"
38,0.125,"(29, 18)"
39,0.125,"(29, 1)"
40,0.125,"(29, 0)"
41,0.125,"(28, 17)"
42,0.125,"(15, 12)"
43,0.125,"(13, 21)"
44,0.125,"(13, 17)"
45,0.125,"(13, 6)"
46,0.125,"(11, 17)"
