k_heads_ablated,accuracy,last_head_removed
0,0.03781512752175331,
0,0.03781512752175331,
0,0.03781512752175331,
0,0.03781512752175331,
0,0.03781512752175331,
1,0.03781512752175331,"(42, 4)"
1,0.03781512752175331,"(25, 8)"
1,0.03781512752175331,"(22, 3)"
1,0.03781512752175331,"(44, 22)"
1,0.042016807943582535,"(21, 8)"
2,0.03361344709992409,"(23, 19)"
2,0.03781512752175331,"(20, 8)"
2,0.03781512752175331,"(14, 16)"
2,0.03781512752175331,"(27, 10)"
2,0.042016807943582535,"(0, 12)"
3,0.029411766678094864,"(19, 13)"
3,0.03781512752175331,"(16, 19)"
3,0.03781512752175331,"(10, 8)"
3,0.03781512752175331,"(30, 15)"
3,0.04621848836541176,"(8, 11)"
4,0.03361344709992409,"(2, 22)"
4,0.03781512752175331,"(42, 3)"
4,0.03781512752175331,"(1, 17)"
4,0.042016807943582535,"(37, 15)"
4,0.04621848836541176,"(29, 16)"
5,0.03361344709992409,"(3, 24)"
5,0.03361344709992409,"(16, 2)"
5,0.042016807943582535,"(4, 15)"
5,0.03781512752175331,"(3, 15)"
5,0.04621848836541176,"(32, 8)"
6,0.029411766678094864,"(33, 6)"
6,0.03781512752175331,"(30, 1)"
6,0.03781512752175331,"(6, 14)"
6,0.03361344709992409,"(19, 9)"
6,0.04621848836541176,"(1, 0)"
7,0.03361344709992409,"(20, 7)"
7,0.03781512752175331,"(47, 17)"
7,0.03781512752175331,"(44, 6)"
7,0.029411766678094864,"(22, 16)"
7,0.042016807943582535,"(43, 22)"
8,0.03361344709992409,"(9, 7)"
8,0.04621848836541176,"(22, 17)"
8,0.042016807943582535,"(22, 17)"
8,0.029411766678094864,"(35, 10)"
8,0.03781512752175331,"(28, 8)"
9,0.03361344709992409,"(16, 1)"
9,0.042016807943582535,"(18, 20)"
9,0.042016807943582535,"(43, 24)"
9,0.029411766678094864,"(30, 8)"
9,0.042016807943582535,"(37, 13)"
10,0.03781512752175331,"(19, 12)"
10,0.042016807943582535,"(1, 3)"
10,0.042016807943582535,"(18, 0)"
10,0.03361344709992409,"(26, 6)"
10,0.042016807943582535,"(25, 10)"
11,0.03361344709992409,"(26, 19)"
11,0.042016807943582535,"(0, 24)"
11,0.042016807943582535,"(7, 3)"
11,0.03361344709992409,"(14, 4)"
11,0.042016807943582535,"(1, 1)"
12,0.03781512752175331,"(18, 0)"
12,0.042016807943582535,"(8, 11)"
12,0.042016807943582535,"(2, 4)"
12,0.03781512752175331,"(8, 21)"
12,0.042016807943582535,"(42, 7)"
13,0.03781512752175331,"(5, 13)"
13,0.03781512752175331,"(37, 20)"
13,0.03361344709992409,"(31, 24)"
13,0.03781512752175331,"(35, 2)"
13,0.042016807943582535,"(42, 5)"
14,0.03361344709992409,"(17, 6)"
14,0.03781512752175331,"(5, 13)"
14,0.03781512752175331,"(26, 21)"
14,0.03781512752175331,"(38, 16)"
14,0.042016807943582535,"(8, 9)"
15,0.03361344709992409,"(11, 8)"
15,0.042016807943582535,"(20, 11)"
15,0.03781512752175331,"(1, 11)"
15,0.042016807943582535,"(44, 19)"
15,0.042016807943582535,"(38, 8)"
16,0.03361344709992409,"(25, 10)"
16,0.042016807943582535,"(24, 18)"
16,0.029411766678094864,"(42, 10)"
16,0.03781512752175331,"(25, 6)"
16,0.04621848836541176,"(20, 19)"
17,0.03781512752175331,"(2, 10)"
17,0.05882353335618973,"(40, 16)"
17,0.03781512752175331,"(6, 23)"
17,0.03781512752175331,"(24, 12)"
17,0.04621848836541176,"(0, 22)"
18,0.03781512752175331,"(43, 13)"
18,0.054621852934360504,"(31, 14)"
18,0.03781512752175331,"(44, 8)"
18,0.042016807943582535,"(11, 16)"
18,0.04621848836541176,"(34, 1)"
19,0.042016807943582535,"(21, 13)"
19,0.05042017251253128,"(17, 20)"
19,0.03781512752175331,"(9, 19)"
19,0.03781512752175331,"(22, 10)"
19,0.04621848836541176,"(36, 16)"
20,0.042016807943582535,"(45, 5)"
20,0.05042017251253128,"(29, 7)"
20,0.03781512752175331,"(8, 16)"
20,0.03781512752175331,"(32, 4)"
