k_heads_ablated,accuracy,last_head_removed
0,0.03781512752175331,
1,0.03781512752175331,"(42, 15)"
2,0.03361344709992409,"(41, 7)"
3,0.029411766678094864,"(40, 6)"
4,0.029411766678094864,"(36, 14)"
5,0.029411766678094864,"(27, 22)"
6,0.029411766678094864,"(33, 18)"
7,0.03781512752175331,"(29, 13)"
8,0.042016807943582535,"(47, 0)"
9,0.042016807943582535,"(44, 5)"
10,0.042016807943582535,"(40, 24)"
11,0.042016807943582535,"(35, 1)"
12,0.042016807943582535,"(47, 21)"
13,0.042016807943582535,"(46, 4)"
14,0.04621848836541176,"(39, 1)"
15,0.04621848836541176,"(35, 15)"
16,0.042016807943582535,"(22, 15)"
17,0.03781512752175331,"(6, 24)"
18,0.04621848836541176,"(6, 13)"
19,0.04621848836541176,"(47, 2)"
20,0.042016807943582535,"(46, 15)"
21,0.042016807943582535,"(46, 0)"
22,0.042016807943582535,"(45, 3)"
23,0.042016807943582535,"(44, 18)"
24,0.03781512752175331,"(44, 14)"
25,0.03781512752175331,"(44, 12)"
26,0.03781512752175331,"(44, 9)"
27,0.042016807943582535,"(44, 1)"
28,0.04621848836541176,"(43, 12)"
29,0.04621848836541176,"(43, 6)"
30,0.04621848836541176,"(41, 16)"
31,0.042016807943582535,"(41, 14)"
32,0.03361344709992409,"(39, 21)"
33,0.03781512752175331,"(39, 15)"
34,0.03781512752175331,"(35, 14)"
35,0.04621848836541176,"(31, 23)"
36,0.042016807943582535,"(31, 6)"
37,0.04621848836541176,"(30, 21)"
38,0.05042017251253128,"(29, 18)"
39,0.05042017251253128,"(29, 1)"
40,0.016806723549962044,"(29, 0)"
41,0.03361344709992409,"(28, 17)"
42,0.03361344709992409,"(15, 12)"
43,0.03781512752175331,"(13, 21)"
44,0.03781512752175331,"(13, 17)"
45,0.03781512752175331,"(13, 6)"
46,0.03781512752175331,"(11, 17)"
