k_heads_ablated,accuracy,last_head_removed
0,0.7075099349021912,
1,0.7075099349021912,"(31, 2)"
2,0.7075099349021912,"(38, 19)"
3,0.7075099349021912,"(38, 5)"
4,0.7035573124885559,"(42, 1)"
5,0.6996047496795654,"(25, 16)"
6,0.7035573124885559,"(28, 15)"
7,0.7035573124885559,"(29, 10)"
8,0.7233201861381531,"(26, 23)"
9,0.739130437374115,"(27, 5)"
10,0.739130437374115,"(30, 8)"
11,0.7430830597877502,"(30, 18)"
12,0.7430830597877502,"(37, 23)"
13,0.6996047496795654,"(21, 3)"
14,0.695652186870575,"(33, 2)"
15,0.7035573124885559,"(33, 13)"
16,0.6837944984436035,"(26, 10)"
17,0.695652186870575,"(23, 19)"
18,0.7233201861381531,"(25, 19)"
19,0.7233201861381531,"(32, 20)"
20,0.6758893728256226,"(26, 8)"
21,0.679841935634613,"(22, 11)"
22,0.679841935634613,"(33, 19)"
23,0.6205533742904663,"(23, 8)"
24,0.6245059370994568,"(45, 19)"
25,0.6205533742904663,"(29, 15)"
26,0.6166008114814758,"(28, 1)"
27,0.6205533742904663,"(34, 17)"
28,0.5533596873283386,"(20, 19)"
29,0.5533596873283386,"(37, 7)"
30,0.5335968732833862,"(20, 0)"
31,0.5375494360923767,"(23, 14)"
32,0.5296443104743958,"(28, 19)"
33,0.5335968732833862,"(12, 18)"
34,0.5335968732833862,"(2, 20)"
35,0.5296443104743958,"(32, 9)"
36,0.5612648725509644,"(23, 16)"
37,0.5652174353599548,"(33, 12)"
38,0.5691699981689453,"(21, 20)"
39,0.5652174353599548,"(19, 18)"
40,0.5889328122138977,"(16, 21)"
41,0.5889328122138977,"(4, 19)"
42,0.5533596873283386,"(23, 20)"
43,0.5573122501373291,"(21, 1)"
44,0.5612648725509644,"(32, 11)"
45,0.5494071245193481,"(27, 23)"
46,0.5098814368247986,"(20, 5)"
47,0.5019763112068176,"(3, 18)"
48,0.5019763112068176,"(3, 6)"
49,0.5019763112068176,"(41, 12)"
50,0.5019763112068176,"(40, 18)"
51,0.45059290528297424,"(18, 18)"
52,0.46245062351226807,"(13, 0)"
53,0.4584980309009552,"(1, 7)"
54,0.45059290528297424,"(24, 16)"
55,0.44664034247398376,"(22, 8)"
56,0.43478262424468994,"(14, 5)"
57,0.43478262424468994,"(0, 14)"
58,0.43478262424468994,"(34, 19)"
59,0.426877498626709,"(19, 21)"
60,0.43083006143569946,"(10, 0)"
61,0.43478262424468994,"(6, 20)"
62,0.43478262424468994,"(35, 13)"
63,0.426877498626709,"(22, 20)"
64,0.426877498626709,"(4, 21)"
65,0.43478262424468994,"(2, 12)"
66,0.43478262424468994,"(27, 3)"
67,0.3636363744735718,"(22, 15)"
68,0.3754940927028656,"(21, 19)"
69,0.28458499908447266,"(17, 1)"
70,0.28853756189346313,"(35, 19)"
71,0.28853756189346313,"(25, 3)"
72,0.2766798436641693,"(24, 1)"
73,0.27272728085517883,"(18, 14)"
74,0.2648221552371979,"(1, 10)"
75,0.2648221552371979,"(41, 22)"
76,0.2648221552371979,"(23, 11)"
77,0.2648221552371979,"(20, 7)"
78,0.260869562625885,"(0, 10)"
79,0.25691699981689453,"(36, 17)"
80,0.25691699981689453,"(31, 13)"
81,0.24901187419891357,"(27, 1)"
82,0.25691699981689453,"(26, 16)"
83,0.2648221552371979,"(21, 12)"
84,0.25691699981689453,"(17, 6)"
85,0.260869562625885,"(7, 21)"
86,0.25691699981689453,"(5, 22)"
87,0.25691699981689453,"(41, 9)"
88,0.25691699981689453,"(38, 12)"
89,0.25691699981689453,"(31, 8)"
90,0.25296443700790405,"(22, 22)"
91,0.25691699981689453,"(18, 3)"
92,0.25691699981689453,"(0, 20)"
93,0.25691699981689453,"(25, 4)"
94,0.25296443700790405,"(19, 12)"
95,0.25691699981689453,"(35, 21)"
96,0.260869562625885,"(33, 1)"
97,0.2134387493133545,"(29, 0)"
98,0.2134387493133545,"(26, 0)"
99,0.21739131212234497,"(1, 17)"
100,0.22529645264148712,"(0, 22)"
101,0.22529645264148712,"(41, 15)"
102,0.22529645264148712,"(36, 12)"
103,0.22134387493133545,"(34, 20)"
104,0.22134387493133545,"(29, 14)"
105,0.2292490154504776,"(29, 11)"
106,0.23320159316062927,"(22, 14)"
107,0.2292490154504776,"(17, 18)"
108,0.23320159316062927,"(16, 6)"
109,0.21739131212234497,"(16, 3)"
110,0.22134387493133545,"(14, 23)"
111,0.22134387493133545,"(11, 1)"
112,0.22529645264148712,"(8, 16)"
113,0.22134387493133545,"(6, 4)"
114,0.20158103108406067,"(5, 7)"
115,0.20948617160320282,"(3, 5)"
116,0.20553360879421234,"(1, 9)"
117,0.20158103108406067,"(0, 24)"
118,0.1976284682750702,"(31, 0)"
119,0.20158103108406067,"(30, 23)"
120,0.20553360879421234,"(29, 2)"
121,0.20553360879421234,"(24, 4)"
122,0.1620553433895111,"(21, 13)"
123,0.16996048390865326,"(20, 22)"
124,0.17391304671764374,"(20, 4)"
125,0.21739131212234497,"(16, 15)"
126,0.20158103108406067,"(11, 11)"
127,0.20158103108406067,"(10, 15)"
128,0.20553360879421234,"(7, 11)"
129,0.20158103108406067,"(5, 15)"
130,0.20158103108406067,"(4, 10)"
131,0.19367589056491852,"(4, 4)"
132,0.20158103108406067,"(2, 19)"
133,0.20158103108406067,"(39, 4)"
134,0.1976284682750702,"(33, 9)"
135,0.20158103108406067,"(31, 17)"
136,0.20158103108406067,"(30, 4)"
137,0.2134387493133545,"(29, 20)"
138,0.16996048390865326,"(29, 12)"
139,0.16996048390865326,"(27, 13)"
140,0.1778656244277954,"(26, 4)"
141,0.1778656244277954,"(24, 5)"
142,0.16996048390865326,"(23, 18)"
143,0.17391304671764374,"(19, 11)"
144,0.13438735902309418,"(18, 0)"
145,0.1304347813129425,"(17, 16)"
146,0.1304347813129425,"(14, 11)"
147,0.13438735902309418,"(13, 22)"
148,0.13833992183208466,"(13, 12)"
149,0.13833992183208466,"(12, 5)"
150,0.13833992183208466,"(11, 14)"
