k_heads_ablated,accuracy,last_head_removed
0,0.5263158082962036,
0,0.5263158082962036,
0,0.5263158082962036,
0,0.5263158082962036,
0,0.5263158082962036,
1,0.5112782120704651,"(25, 6)"
1,0.5263158082962036,"(30, 16)"
1,0.5263158082962036,"(37, 17)"
1,0.5112782120704651,"(9, 3)"
1,0.5263158082962036,"(11, 13)"
2,0.5037593841552734,"(37, 21)"
2,0.518796980381012,"(11, 18)"
2,0.42105263471603394,"(25, 14)"
2,0.5112782120704651,"(14, 21)"
2,0.5263158082962036,"(19, 7)"
3,0.4887218177318573,"(2, 2)"
3,0.518796980381012,"(42, 16)"
3,0.451127827167511,"(24, 9)"
3,0.5112782120704651,"(29, 16)"
3,0.5263158082962036,"(33, 15)"
4,0.4887218177318573,"(2, 23)"
4,0.518796980381012,"(36, 6)"
4,0.4661654233932495,"(1, 15)"
4,0.5037593841552734,"(39, 9)"
4,0.518796980381012,"(29, 17)"
5,0.5037593841552734,"(16, 4)"
5,0.518796980381012,"(27, 11)"
5,0.451127827167511,"(4, 9)"
5,0.49624061584472656,"(22, 0)"
5,0.518796980381012,"(37, 22)"
6,0.5037593841552734,"(6, 14)"
6,0.518796980381012,"(6, 9)"
6,0.451127827167511,"(12, 12)"
6,0.49624061584472656,"(24, 3)"
6,0.5263158082962036,"(2, 23)"
7,0.5037593841552734,"(42, 20)"
7,0.518796980381012,"(38, 14)"
7,0.45864662528038025,"(25, 11)"
7,0.4887218177318573,"(16, 2)"
7,0.5112782120704651,"(18, 2)"
8,0.5112782120704651,"(40, 13)"
8,0.518796980381012,"(11, 16)"
8,0.45864662528038025,"(26, 12)"
8,0.5037593841552734,"(28, 17)"
8,0.518796980381012,"(31, 23)"
9,0.5037593841552734,"(15, 11)"
9,0.518796980381012,"(26, 3)"
9,0.5112782120704651,"(4, 2)"
9,0.49624061584472656,"(23, 22)"
9,0.5338345766067505,"(13, 23)"
10,0.5037593841552734,"(41, 2)"
10,0.5263158082962036,"(47, 5)"
10,0.518796980381012,"(18, 10)"
10,0.49624061584472656,"(44, 10)"
10,0.5263158082962036,"(1, 21)"
11,0.5037593841552734,"(23, 6)"
11,0.518796980381012,"(31, 11)"
11,0.518796980381012,"(34, 5)"
11,0.4887218177318573,"(44, 18)"
11,0.5263158082962036,"(41, 17)"
12,0.4887218177318573,"(32, 13)"
12,0.518796980381012,"(23, 12)"
12,0.518796980381012,"(46, 2)"
12,0.49624061584472656,"(5, 18)"
12,0.548872172832489,"(13, 24)"
13,0.49624061584472656,"(4, 8)"
13,0.5263158082962036,"(36, 9)"
13,0.518796980381012,"(30, 16)"
13,0.49624061584472656,"(1, 20)"
13,0.5413534045219421,"(19, 24)"
14,0.49624061584472656,"(3, 21)"
14,0.518796980381012,"(46, 19)"
14,0.518796980381012,"(39, 8)"
14,0.49624061584472656,"(14, 7)"
14,0.5413534045219421,"(9, 6)"
15,0.49624061584472656,"(43, 19)"
15,0.518796980381012,"(12, 4)"
15,0.518796980381012,"(44, 7)"
15,0.49624061584472656,"(26, 18)"
15,0.548872172832489,"(0, 21)"
16,0.5112782120704651,"(19, 22)"
16,0.5263158082962036,"(5, 21)"
16,0.48120301961898804,"(7, 20)"
16,0.49624061584472656,"(43, 12)"
16,0.548872172832489,"(29, 24)"
17,0.5112782120704651,"(38, 18)"
17,0.5263158082962036,"(8, 0)"
17,0.48120301961898804,"(10, 21)"
17,0.49624061584472656,"(37, 5)"
17,0.548872172832489,"(32, 23)"
18,0.5037593841552734,"(23, 3)"
18,0.5263158082962036,"(44, 19)"
18,0.4887218177318573,"(30, 20)"
18,0.49624061584472656,"(21, 9)"
18,0.5563910007476807,"(46, 2)"
19,0.4060150384902954,"(25, 22)"
19,0.5338345766067505,"(2, 23)"
19,0.4887218177318573,"(12, 8)"
19,0.49624061584472656,"(33, 14)"
19,0.5563910007476807,"(6, 24)"
20,0.36090224981307983,"(26, 11)"
20,0.5338345766067505,"(1, 2)"
20,0.48120301961898804,"(39, 19)"
20,0.49624061584472656,"(30, 2)"
20,0.5563910007476807,"(0, 2)"
21,0.35338348150253296,"(20, 2)"
21,0.5338345766067505,"(16, 17)"
21,0.45864662528038025,"(8, 5)"
21,0.4887218177318573,"(6, 23)"
21,0.5714285969734192,"(5, 8)"
22,0.35338348150253296,"(37, 17)"
22,0.5338345766067505,"(36, 24)"
22,0.5037593841552734,"(1, 22)"
22,0.49624061584472656,"(7, 13)"
22,0.5714285969734192,"(6, 0)"
23,0.35338348150253296,"(38, 2)"
23,0.5338345766067505,"(42, 21)"
23,0.48120301961898804,"(24, 20)"
23,0.49624061584472656,"(10, 9)"
23,0.5639097690582275,"(32, 14)"
24,0.35338348150253296,"(31, 15)"
24,0.5338345766067505,"(32, 7)"
24,0.48120301961898804,"(0, 15)"
24,0.48120301961898804,"(35, 3)"
24,0.5413534045219421,"(23, 15)"
25,0.35338348150253296,"(38, 3)"
25,0.5338345766067505,"(10, 18)"
25,0.48120301961898804,"(11, 10)"
25,0.5112782120704651,"(25, 24)"
25,0.5413534045219421,"(14, 20)"
26,0.35338348150253296,"(9, 24)"
26,0.5338345766067505,"(41, 11)"
26,0.49624061584472656,"(6, 22)"
26,0.518796980381012,"(35, 24)"
26,0.5338345766067505,"(12, 1)"
27,0.3684210479259491,"(26, 17)"
27,0.5338345766067505,"(7, 17)"
27,0.48120301961898804,"(16, 7)"
