k_heads_ablated,accuracy,last_head_removed
0,0.5263158082962036,
1,0.4661654233932495,"(31, 2)"
2,0.451127827167511,"(38, 19)"
3,0.43609023094177246,"(38, 5)"
4,0.43609023094177246,"(42, 1)"
5,0.3684210479259491,"(25, 16)"
6,0.36090224981307983,"(28, 15)"
7,0.35338348150253296,"(29, 10)"
8,0.33834588527679443,"(26, 23)"
9,0.24060150980949402,"(27, 5)"
10,0.18045112490653992,"(30, 8)"
11,0.2030075192451477,"(30, 18)"
12,0.21804511547088623,"(37, 23)"
13,0.2255639135837555,"(21, 3)"
14,0.2030075192451477,"(33, 2)"
15,0.2255639135837555,"(33, 13)"
16,0.12781955301761627,"(26, 10)"
17,0.09022556245326996,"(23, 19)"
18,0.08270677179098129,"(25, 19)"
19,0.08270677179098129,"(32, 20)"
20,0.060150377452373505,"(26, 8)"
21,0.060150377452373505,"(22, 11)"
22,0.06766917556524277,"(33, 19)"
23,0.06766917556524277,"(23, 8)"
24,0.06766917556524277,"(45, 19)"
25,0.037593986839056015,"(29, 15)"
26,0.02255639061331749,"(28, 1)"
27,0.015037594363093376,"(34, 17)"
28,0.015037594363093376,"(20, 19)"
29,0.015037594363093376,"(37, 7)"
30,0.015037594363093376,"(20, 0)"
31,0.015037594363093376,"(23, 14)"
32,0.015037594363093376,"(28, 19)"
33,0.015037594363093376,"(12, 18)"
34,0.015037594363093376,"(2, 20)"
35,0.015037594363093376,"(32, 9)"
36,0.015037594363093376,"(23, 16)"
37,0.015037594363093376,"(33, 12)"
38,0.015037594363093376,"(21, 20)"
39,0.015037594363093376,"(19, 18)"
40,0.015037594363093376,"(16, 21)"
41,0.015037594363093376,"(4, 19)"
42,0.015037594363093376,"(23, 20)"
43,0.015037594363093376,"(21, 1)"
44,0.007518797181546688,"(32, 11)"
45,0.015037594363093376,"(27, 23)"
46,0.007518797181546688,"(20, 5)"
47,0.007518797181546688,"(3, 18)"
48,0.007518797181546688,"(3, 6)"
49,0.007518797181546688,"(41, 12)"
50,0.007518797181546688,"(40, 18)"
51,0.007518797181546688,"(18, 18)"
52,0.007518797181546688,"(13, 0)"
53,0.007518797181546688,"(1, 7)"
54,0.0,"(24, 16)"
55,0.0,"(22, 8)"
56,0.0,"(14, 5)"
57,0.0,"(0, 14)"
58,0.0,"(34, 19)"
59,0.0,"(19, 21)"
60,0.0,"(10, 0)"
61,0.0,"(6, 20)"
62,0.0,"(35, 13)"
63,0.0,"(22, 20)"
64,0.0,"(4, 21)"
65,0.007518797181546688,"(2, 12)"
66,0.0,"(27, 3)"
67,0.0,"(22, 15)"
68,0.0,"(21, 19)"
69,0.0,"(17, 1)"
70,0.0,"(35, 19)"
71,0.0,"(25, 3)"
72,0.0,"(24, 1)"
73,0.0,"(18, 14)"
74,0.0,"(1, 10)"
75,0.0,"(41, 22)"
76,0.0,"(23, 11)"
77,0.0,"(20, 7)"
78,0.0,"(0, 10)"
79,0.0,"(36, 17)"
80,0.0,"(31, 13)"
81,0.0,"(27, 1)"
82,0.0,"(26, 16)"
83,0.0,"(21, 12)"
84,0.0,"(17, 6)"
85,0.0,"(7, 21)"
86,0.0,"(5, 22)"
87,0.0,"(41, 9)"
88,0.0,"(38, 12)"
89,0.0,"(31, 8)"
90,0.0,"(22, 22)"
91,0.0,"(18, 3)"
92,0.0,"(0, 20)"
93,0.0,"(25, 4)"
94,0.0,"(19, 12)"
95,0.0,"(35, 21)"
96,0.0,"(33, 1)"
97,0.0,"(29, 0)"
98,0.0,"(26, 0)"
99,0.0,"(1, 17)"
100,0.0,"(0, 22)"
101,0.0,"(41, 15)"
102,0.0,"(36, 12)"
103,0.0,"(34, 20)"
104,0.0,"(29, 14)"
105,0.0,"(29, 11)"
106,0.0,"(22, 14)"
107,0.0,"(17, 18)"
108,0.0,"(16, 6)"
109,0.0,"(16, 3)"
110,0.0,"(14, 23)"
111,0.0,"(11, 1)"
112,0.0,"(8, 16)"
113,0.0,"(6, 4)"
114,0.0,"(5, 7)"
115,0.0,"(3, 5)"
116,0.0,"(1, 9)"
117,0.0,"(0, 24)"
118,0.0,"(31, 0)"
119,0.0,"(30, 23)"
120,0.0,"(29, 2)"
121,0.0,"(24, 4)"
122,0.0,"(21, 13)"
123,0.0,"(20, 22)"
124,0.0,"(20, 4)"
125,0.0,"(16, 15)"
126,0.0,"(11, 11)"
127,0.0,"(10, 15)"
128,0.0,"(7, 11)"
129,0.0,"(5, 15)"
130,0.0,"(4, 10)"
131,0.0,"(4, 4)"
132,0.0,"(2, 19)"
133,0.0,"(39, 4)"
134,0.0,"(33, 9)"
135,0.0,"(31, 17)"
136,0.0,"(30, 4)"
137,0.0,"(29, 20)"
138,0.0,"(29, 12)"
139,0.0,"(27, 13)"
140,0.0,"(26, 4)"
141,0.0,"(24, 5)"
142,0.0,"(23, 18)"
143,0.0,"(19, 11)"
144,0.0,"(18, 0)"
145,0.0,"(17, 16)"
146,0.0,"(14, 11)"
147,0.0,"(13, 22)"
148,0.0,"(13, 12)"
149,0.0,"(12, 5)"
150,0.0,"(11, 14)"
