relation,corr_wo_context,corr_w_context,supp_corr_wo_context,supp_corr_w_context,pval_wo_context,pval_w_context,supp_pval_wo_context,supp_pval_w_context
country_to_capital_wikidata,0.9710624606095188,0.8560346902379222,0.9242061082585606,0.8160690690100397,0.0,0.0,0.0,1.5819912754375303e-287
country_to_official_language_wikidata,0.9132749090932768,0.7967782222592565,0.9178970867971579,0.728659037656078,0.0,2.3847546219424733e-264,0.0,3.6590979151335937e-199
entity_to_pronoun,0.9499353541533981,0.5623545105186301,0.9857967733050957,0.630984413516408,0.0,5.2258293530454564e-101,0.0,3.0149151509400213e-134
general_copying_english_500,0.879597841038543,0.6370127150733094,0.9388068498581525,0.7408078146832208,0.0,1.4127982753422432e-137,0.0,2.89657163963653e-209
name_copying,0.9348543469144774,0.5757597532024046,0.9722684125982209,0.5894753531979796,0.0,6.881346660287554e-107,0.0,3.409618889676049e-113
object_superclass,0.8919585884582244,0.8178769425497037,0.8755056621497361,0.8570156008118619,0.0,7.717434682790234e-290,0.0,0.0
word_first_letter,0.8922011164912713,0.7227225978071445,0.32130506011422866,-0.00068068487507321,0.0,2.004866594061941e-194,3.2104250309802825e-30,0.9812075314026509
word_last_letter,0.6126513914340541,0.29883248563544995,0.6217997687451904,0.20565399592534625,1.4610409405406644e-124,3.5412786561476895e-26,2.5828174494643727e-129,6.307444557295401e-13
word_to_synonym,0.8881155773091971,0.756591367470002,0.8272938579457002,0.4718737253239306,0.0,2.8609837856361403e-223,2.6024640737077435e-302,1.4518735988456164e-67
work_location,0.8024930587805127,0.7554891905503553,0.8573030966331927,0.6263807000273252,6.027016928190611e-271,2.9454971534578765e-222,0.0,9.386010759358824e-132
year_to_following,0.8194305864956967,0.6336240052908813,0.6555953478338736,0.4459566577648424,7.588563411172122e-292,1.0731061004072533e-135,2.5316700025575092e-148,1.065596896096422e-59
