k_heads_ablated,accuracy,last_head_removed
0,0.8888888955116272,
0,0.9844357967376709,
0,1.0,
0,0.9803922176361084,
1,0.8888888955116272,"(25, 18)"
1,0.9844357967376709,"(25, 18)"
1,1.0,"(25, 18)"
1,0.9803922176361084,"(25, 18)"
2,0.8888888955116272,"(23, 20)"
2,0.9844357967376709,"(23, 20)"
2,1.0,"(23, 20)"
2,0.9803922176361084,"(23, 20)"
3,0.8888888955116272,"(30, 29)"
3,0.9844357967376709,"(30, 29)"
3,1.0,"(30, 29)"
3,0.9803922176361084,"(30, 29)"
4,0.8888888955116272,"(21, 26)"
4,0.9844357967376709,"(21, 26)"
4,1.0,"(21, 26)"
4,0.9803922176361084,"(21, 26)"
5,0.8888888955116272,"(23, 22)"
5,0.9844357967376709,"(23, 22)"
5,1.0,"(23, 22)"
5,0.9803922176361084,"(23, 22)"
6,0.8888888955116272,"(15, 14)"
6,0.9844357967376709,"(15, 14)"
6,1.0,"(15, 14)"
6,0.9803922176361084,"(15, 14)"
7,0.8888888955116272,"(30, 30)"
7,0.9844357967376709,"(30, 30)"
7,1.0,"(30, 30)"
7,0.9803922176361084,"(30, 30)"
8,0.8888888955116272,"(24, 20)"
8,0.9844357967376709,"(24, 20)"
8,1.0,"(24, 20)"
8,0.9803922176361084,"(24, 20)"
9,0.8888888955116272,"(19, 9)"
9,0.9844357967376709,"(19, 9)"
9,1.0,"(19, 9)"
9,0.9803922176361084,"(19, 9)"
10,0.8888888955116272,"(24, 17)"
10,0.9844357967376709,"(24, 17)"
10,1.0,"(24, 17)"
10,0.9803922176361084,"(24, 17)"
11,0.8888888955116272,"(22, 1)"
11,0.9844357967376709,"(22, 1)"
11,1.0,"(22, 1)"
11,0.9803922176361084,"(22, 1)"
12,0.8888888955116272,"(16, 10)"
12,0.9844357967376709,"(16, 10)"
12,1.0,"(16, 10)"
12,0.9803922176361084,"(16, 10)"
13,0.9111111164093018,"(17, 26)"
13,0.9844357967376709,"(17, 26)"
13,1.0,"(17, 26)"
13,0.9803922176361084,"(17, 26)"
14,0.9111111164093018,"(15, 22)"
14,0.9883268475532532,"(15, 22)"
14,0.9957983493804932,"(15, 22)"
14,0.9803922176361084,"(15, 22)"
15,0.8888888955116272,"(15, 21)"
15,0.9883268475532532,"(15, 21)"
15,1.0,"(15, 21)"
15,0.9803922176361084,"(15, 21)"
16,0.9111111164093018,"(8, 15)"
16,0.9883268475532532,"(8, 15)"
16,1.0,"(8, 15)"
16,0.9803922176361084,"(8, 15)"
17,0.9111111164093018,"(27, 6)"
17,0.9883268475532532,"(27, 6)"
17,1.0,"(27, 6)"
17,0.9803922176361084,"(27, 6)"
18,0.9111111164093018,"(22, 10)"
18,0.9883268475532532,"(22, 10)"
18,1.0,"(22, 10)"
18,0.9803922176361084,"(22, 10)"
19,0.9111111164093018,"(3, 24)"
19,0.9883268475532532,"(3, 24)"
19,1.0,"(3, 24)"
19,0.9803922176361084,"(3, 24)"
20,0.9111111164093018,"(28, 27)"
20,0.9883268475532532,"(28, 27)"
20,1.0,"(28, 27)"
20,0.9803922176361084,"(28, 27)"
21,0.9111111164093018,"(28, 11)"
21,0.9883268475532532,"(28, 11)"
21,1.0,"(28, 11)"
21,0.9803922176361084,"(28, 11)"
22,0.9111111164093018,"(25, 17)"
22,0.9883268475532532,"(25, 17)"
22,1.0,"(25, 17)"
22,0.9803922176361084,"(25, 17)"
23,0.9111111164093018,"(25, 6)"
23,0.9883268475532532,"(25, 6)"
23,1.0,"(25, 6)"
23,0.9803922176361084,"(25, 6)"
24,0.9111111164093018,"(25, 5)"
24,0.9883268475532532,"(25, 5)"
24,1.0,"(25, 5)"
