k_heads_ablated,accuracy,last_head_removed
0,0.9787233471870422,
0,0.9787233471870422,
0,0.9787233471870422,
0,0.9787233471870422,
0,0.9787233471870422,
1,0.9787233471870422,"(1, 6)"
1,0.9787233471870422,"(23, 21)"
1,0.9787233471870422,"(24, 31)"
1,0.9787233471870422,"(30, 8)"
1,0.9787233471870422,"(1, 24)"
2,0.9787233471870422,"(0, 22)"
2,0.9787233471870422,"(31, 11)"
2,0.9787233471870422,"(30, 9)"
2,0.9787233471870422,"(7, 15)"
2,0.9787233471870422,"(15, 6)"
3,0.9787233471870422,"(6, 12)"
3,0.9787233471870422,"(8, 31)"
3,0.9787233471870422,"(16, 28)"
3,0.9787233471870422,"(5, 7)"
3,0.9787233471870422,"(10, 21)"
4,0.9787233471870422,"(23, 13)"
4,0.9787233471870422,"(15, 10)"
4,0.9787233471870422,"(26, 27)"
4,0.9787233471870422,"(26, 18)"
4,0.9787233471870422,"(27, 9)"
5,0.9787233471870422,"(26, 17)"
5,0.9787233471870422,"(7, 13)"
5,0.9574467539787292,"(2, 3)"
5,0.9787233471870422,"(10, 13)"
5,0.9787233471870422,"(10, 15)"
6,0.9787233471870422,"(22, 15)"
6,0.9787233471870422,"(22, 20)"
6,0.9574467539787292,"(16, 6)"
6,0.9787233471870422,"(29, 14)"
6,0.9787233471870422,"(1, 9)"
7,0.9787233471870422,"(17, 28)"
7,0.9574467539787292,"(11, 8)"
7,0.9574467539787292,"(11, 30)"
7,0.9787233471870422,"(9, 22)"
7,0.9787233471870422,"(1, 19)"
8,0.9787233471870422,"(7, 23)"
8,0.9574467539787292,"(9, 6)"
8,0.9574467539787292,"(29, 15)"
8,0.9787233471870422,"(26, 27)"
8,0.9787233471870422,"(9, 21)"
9,0.9787233471870422,"(12, 20)"
9,0.9787233471870422,"(7, 1)"
9,0.9574467539787292,"(9, 24)"
9,0.9787233471870422,"(29, 8)"
9,0.9787233471870422,"(0, 30)"
10,0.9787233471870422,"(30, 11)"
10,0.9787233471870422,"(9, 2)"
10,0.9574467539787292,"(18, 2)"
10,0.9787233471870422,"(16, 9)"
10,0.9787233471870422,"(5, 16)"
11,0.9787233471870422,"(18, 0)"
11,0.9787233471870422,"(13, 19)"
11,0.9574467539787292,"(6, 13)"
11,0.9787233471870422,"(29, 5)"
11,0.9787233471870422,"(5, 29)"
12,0.9787233471870422,"(0, 20)"
12,0.9787233471870422,"(0, 29)"
12,0.9574467539787292,"(1, 8)"
12,0.9787233471870422,"(28, 16)"
12,0.9787233471870422,"(3, 15)"
13,0.9787233471870422,"(17, 7)"
13,0.9787233471870422,"(3, 25)"
13,0.9574467539787292,"(21, 23)"
13,0.9787233471870422,"(7, 23)"
13,0.9787233471870422,"(4, 0)"
14,0.9787233471870422,"(5, 29)"
14,0.9787233471870422,"(2, 18)"
14,0.9574467539787292,"(10, 14)"
14,0.9787233471870422,"(23, 28)"
14,0.9787233471870422,"(5, 9)"
15,0.9787233471870422,"(10, 3)"
15,0.9787233471870422,"(24, 13)"
15,0.9574467539787292,"(27, 25)"
15,0.9787233471870422,"(18, 17)"
15,0.9787233471870422,"(5, 28)"
16,0.9787233471870422,"(16, 18)"
16,0.9787233471870422,"(12, 31)"
16,0.9574467539787292,"(0, 4)"
16,0.9787233471870422,"(16, 19)"
16,0.9787233471870422,"(12, 3)"
17,0.9787233471870422,"(10, 24)"
17,0.9787233471870422,"(27, 4)"
17,0.9574467539787292,"(4, 24)"
17,0.9787233471870422,"(16, 24)"
17,0.9787233471870422,"(15, 7)"
18,0.9787233471870422,"(4, 18)"
18,0.9787233471870422,"(31, 7)"
18,0.9574467539787292,"(14, 0)"
18,0.9787233471870422,"(4, 20)"
18,0.9787233471870422,"(21, 5)"
19,0.9787233471870422,"(24, 10)"
19,0.9787233471870422,"(11, 16)"
19,0.9574467539787292,"(22, 15)"
19,0.9787233471870422,"(10, 0)"
19,0.9787233471870422,"(28, 10)"
20,0.9787233471870422,"(0, 5)"
20,0.9787233471870422,"(13, 7)"
20,0.9574467539787292,"(8, 21)"
20,0.9787233471870422,"(5, 13)"
20,0.9787233471870422,"(26, 21)"
21,0.9787233471870422,"(29, 3)"
21,0.9787233471870422,"(18, 16)"
21,0.9574467539787292,"(23, 18)"
21,0.9787233471870422,"(17, 11)"
21,0.9787233471870422,"(1, 2)"
22,0.9787233471870422,"(25, 22)"
22,0.9787233471870422,"(13, 18)"
22,0.9574467539787292,"(12, 3)"
22,0.9787233471870422,"(26, 2)"
22,0.9787233471870422,"(4, 3)"
23,0.9787233471870422,"(10, 5)"
23,0.9787233471870422,"(11, 25)"
23,0.9574467539787292,"(7, 18)"
23,0.9787233471870422,"(18, 29)"
23,0.9787233471870422,"(11, 25)"
24,0.9787233471870422,"(22, 16)"
24,0.9787233471870422,"(26, 27)"
24,0.9574467539787292,"(19, 16)"
24,0.9787233471870422,"(5, 20)"
24,0.9787233471870422,"(16, 16)"
25,0.9787233471870422,"(21, 25)"
25,0.9787233471870422,"(4, 23)"
25,0.9574467539787292,"(7, 29)"
25,0.9787233471870422,"(5, 28)"
25,0.9787233471870422,"(10, 6)"
26,0.9787233471870422,"(19, 21)"
26,0.9787233471870422,"(3, 14)"
26,0.9574467539787292,"(29, 13)"
26,0.9787233471870422,"(18, 27)"
26,0.9787233471870422,"(21, 16)"
27,0.9787233471870422,"(9, 14)"
27,0.9787233471870422,"(12, 12)"
27,0.9574467539787292,"(13, 28)"
27,0.9787233471870422,"(27, 29)"
27,0.9787233471870422,"(1, 7)"
28,0.9787233471870422,"(18, 21)"
28,0.9787233471870422,"(8, 23)"
28,0.9574467539787292,"(12, 16)"
28,0.9787233471870422,"(19, 14)"
28,0.9787233471870422,"(28, 29)"
29,0.9787233471870422,"(15, 8)"
29,0.9787233471870422,"(24, 29)"
