k_heads_ablated,accuracy,last_head_removed
0,0.9787233471870422,
1,0.9787233471870422,"(25, 18)"
2,0.9787233471870422,"(23, 20)"
3,0.9787233471870422,"(30, 29)"
4,0.9787233471870422,"(21, 26)"
5,0.9787233471870422,"(23, 22)"
6,0.9787233471870422,"(15, 14)"
7,0.9787233471870422,"(30, 30)"
8,0.9787233471870422,"(24, 20)"
9,0.9787233471870422,"(19, 9)"
10,0.9787233471870422,"(24, 17)"
11,0.9787233471870422,"(22, 1)"
12,0.9787233471870422,"(16, 10)"
13,0.9574467539787292,"(17, 26)"
14,0.9574467539787292,"(15, 22)"
15,0.9574467539787292,"(15, 21)"
16,0.9574467539787292,"(8, 15)"
17,0.9574467539787292,"(27, 6)"
18,0.9574467539787292,"(22, 10)"
19,0.9574467539787292,"(3, 24)"
20,0.9574467539787292,"(28, 27)"
21,0.9574467539787292,"(28, 11)"
22,0.9574467539787292,"(25, 17)"
23,0.9574467539787292,"(25, 6)"
24,0.9574467539787292,"(25, 5)"
25,0.9574467539787292,"(24, 16)"
26,0.9574467539787292,"(23, 6)"
27,0.9574467539787292,"(21, 21)"
28,0.9574467539787292,"(19, 8)"
29,0.9574467539787292,"(17, 21)"
30,0.9574467539787292,"(15, 12)"
31,0.9574467539787292,"(13, 21)"
32,0.9574467539787292,"(6, 7)"
33,0.9574467539787292,"(27, 22)"
34,0.9574467539787292,"(25, 15)"
35,0.9574467539787292,"(25, 13)"
36,0.9574467539787292,"(24, 25)"
37,0.9574467539787292,"(22, 24)"
38,0.9574467539787292,"(21, 24)"
39,0.9574467539787292,"(18, 19)"
40,0.9574467539787292,"(18, 18)"
41,0.9361701607704163,"(17, 20)"
42,0.9361701607704163,"(14, 5)"
43,0.9574467539787292,"(13, 22)"
44,0.9361701607704163,"(31, 31)"
45,0.9361701607704163,"(31, 30)"
46,0.9361701607704163,"(31, 21)"
47,0.9148935675621033,"(30, 12)"
48,0.9148935675621033,"(28, 13)"
49,0.9148935675621033,"(26, 14)"
50,0.9148935675621033,"(26, 13)"
51,0.9148935675621033,"(25, 14)"
52,0.9148935675621033,"(25, 7)"
53,0.9148935675621033,"(24, 18)"
54,0.9148935675621033,"(23, 24)"
55,0.9148935675621033,"(23, 7)"
56,0.9148935675621033,"(22, 13)"
57,0.9148935675621033,"(22, 12)"
58,0.9148935675621033,"(22, 2)"
59,0.9148935675621033,"(22, 0)"
60,0.9148935675621033,"(21, 30)"
61,0.9148935675621033,"(21, 29)"
62,0.9148935675621033,"(21, 1)"
63,0.9148935675621033,"(20, 23)"
64,0.9148935675621033,"(20, 21)"
65,0.9148935675621033,"(20, 0)"
66,0.9148935675621033,"(18, 30)"
67,0.9148935675621033,"(15, 13)"
68,0.9148935675621033,"(14, 24)"
69,0.9148935675621033,"(12, 10)"
