k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,0.699999988079071,
0,0.9787233471870422,
0,0.9844357967376709,
0,0.9411764740943909,
1,1.0,"(24, 3)"
1,0.699999988079071,"(24, 3)"
1,0.9787233471870422,"(24, 3)"
1,0.9844357967376709,"(24, 3)"
1,0.9411764740943909,"(24, 3)"
2,1.0,"(27, 20)"
2,0.7090908885002136,"(27, 20)"
2,0.9787233471870422,"(27, 20)"
2,0.9844357967376709,"(27, 20)"
2,0.9411764740943909,"(27, 20)"
3,1.0,"(19, 25)"
3,0.7090908885002136,"(19, 25)"
3,0.9787233471870422,"(19, 25)"
3,0.9844357967376709,"(19, 25)"
3,0.9411764740943909,"(19, 25)"
4,1.0,"(16, 9)"
4,0.7090908885002136,"(16, 9)"
4,0.9787233471870422,"(16, 9)"
4,0.9844357967376709,"(16, 9)"
4,0.9411764740943909,"(16, 9)"
5,1.0,"(17, 23)"
5,0.7090908885002136,"(17, 23)"
5,0.9787233471870422,"(17, 23)"
5,0.9844357967376709,"(17, 23)"
5,0.9411764740943909,"(17, 23)"
6,1.0,"(16, 18)"
6,0.7090908885002136,"(16, 18)"
6,0.9787233471870422,"(16, 18)"
6,0.9844357967376709,"(16, 18)"
6,0.9411764740943909,"(16, 18)"
7,1.0,"(14, 24)"
7,0.6909090876579285,"(14, 24)"
7,0.9787233471870422,"(14, 24)"
7,0.9844357967376709,"(14, 24)"
7,0.9411764740943909,"(14, 24)"
8,1.0,"(16, 8)"
8,0.6909090876579285,"(16, 8)"
8,0.9787233471870422,"(16, 8)"
8,0.9844357967376709,"(16, 8)"
8,0.9411764740943909,"(16, 8)"
9,1.0,"(31, 20)"
9,0.6909090876579285,"(31, 20)"
9,0.9787233471870422,"(31, 20)"
9,0.9844357967376709,"(31, 20)"
9,0.9411764740943909,"(31, 20)"
10,1.0,"(25, 6)"
10,0.6909090876579285,"(25, 6)"
10,0.9787233471870422,"(25, 6)"
10,0.9844357967376709,"(25, 6)"
10,0.9411764740943909,"(25, 6)"
11,1.0,"(29, 20)"
11,0.663636326789856,"(29, 20)"
11,0.9787233471870422,"(29, 20)"
11,0.9844357967376709,"(29, 20)"
11,0.9411764740943909,"(29, 20)"
12,1.0,"(27, 23)"
12,0.6727272272109985,"(27, 23)"
12,0.9787233471870422,"(27, 23)"
12,0.9844357967376709,"(27, 23)"
12,0.9411764740943909,"(27, 23)"
13,1.0,"(26, 13)"
13,0.6818181872367859,"(26, 13)"
13,0.9787233471870422,"(26, 13)"
13,0.9844357967376709,"(26, 13)"
13,0.9411764740943909,"(26, 13)"
14,1.0,"(26, 12)"
14,0.6818181872367859,"(26, 12)"
14,0.9787233471870422,"(26, 12)"
14,0.9844357967376709,"(26, 12)"
14,0.9411764740943909,"(26, 12)"
15,1.0,"(25, 13)"
15,0.6818181872367859,"(25, 13)"
15,0.9787233471870422,"(25, 13)"
15,0.9844357967376709,"(25, 13)"
15,0.9411764740943909,"(25, 13)"
16,1.0,"(24, 22)"
16,0.6818181872367859,"(24, 22)"
16,0.9787233471870422,"(24, 22)"
16,0.9844357967376709,"(24, 22)"
16,0.9411764740943909,"(24, 22)"
17,1.0,"(23, 25)"
17,0.699999988079071,"(23, 25)"
17,0.9787233471870422,"(23, 25)"
17,0.9844357967376709,"(23, 25)"
17,0.9411764740943909,"(23, 25)"
18,0.9957983493804932,"(10, 10)"
18,0.699999988079071,"(10, 10)"
18,0.9787233471870422,"(10, 10)"
18,0.9844357967376709,"(10, 10)"
18,0.9411764740943909,"(10, 10)"
19,0.9957983493804932,"(9, 20)"
19,0.699999988079071,"(9, 20)"
19,0.9787233471870422,"(9, 20)"
19,0.9805447459220886,"(9, 20)"
19,0.9411764740943909,"(9, 20)"
