k_heads_ablated,accuracy,last_head_removed
0,0.8888888955116272,
0,0.8888888955116272,
0,0.8888888955116272,
0,0.8888888955116272,
0,0.8888888955116272,
1,0.8888888955116272,"(17, 18)"
1,0.8888888955116272,"(11, 5)"
1,0.8888888955116272,"(21, 2)"
1,0.8888888955116272,"(19, 11)"
1,0.8888888955116272,"(13, 0)"
2,0.8888888955116272,"(29, 24)"
2,0.9111111164093018,"(16, 17)"
2,0.8888888955116272,"(20, 20)"
2,0.8888888955116272,"(16, 17)"
2,0.8888888955116272,"(22, 27)"
3,0.8888888955116272,"(2, 0)"
3,0.9111111164093018,"(10, 25)"
3,0.7555555701255798,"(3, 7)"
3,0.8888888955116272,"(4, 28)"
3,0.8888888955116272,"(19, 4)"
4,0.8888888955116272,"(21, 6)"
4,0.9111111164093018,"(5, 0)"
4,0.7777777910232544,"(23, 13)"
4,0.8888888955116272,"(21, 1)"
4,0.8444444537162781,"(0, 2)"
5,0.8888888955116272,"(29, 3)"
5,0.9111111164093018,"(17, 13)"
5,0.7777777910232544,"(20, 9)"
5,0.9333333373069763,"(3, 5)"
5,0.8444444537162781,"(0, 27)"
6,0.8666666746139526,"(7, 22)"
6,0.9333333373069763,"(0, 17)"
6,0.7555555701255798,"(5, 8)"
6,0.9333333373069763,"(1, 6)"
6,0.8666666746139526,"(11, 1)"
7,0.8666666746139526,"(30, 24)"
7,0.9333333373069763,"(28, 21)"
7,0.8444444537162781,"(16, 29)"
7,0.9333333373069763,"(25, 9)"
7,0.8888888955116272,"(21, 19)"
8,0.8666666746139526,"(20, 19)"
8,0.9333333373069763,"(27, 30)"
8,0.8666666746139526,"(5, 19)"
8,0.9333333373069763,"(15, 17)"
8,0.8888888955116272,"(31, 10)"
9,0.8666666746139526,"(26, 20)"
9,0.9111111164093018,"(0, 31)"
9,0.8666666746139526,"(28, 28)"
9,0.9333333373069763,"(6, 17)"
9,0.9111111164093018,"(14, 13)"
10,0.8666666746139526,"(13, 27)"
10,0.9555555582046509,"(3, 13)"
10,0.8444444537162781,"(28, 20)"
10,0.9333333373069763,"(9, 2)"
10,0.9111111164093018,"(29, 27)"
11,0.8666666746139526,"(18, 2)"
11,0.9111111164093018,"(4, 6)"
11,0.8888888955116272,"(7, 11)"
11,0.9333333373069763,"(23, 19)"
11,0.9111111164093018,"(30, 1)"
12,0.8666666746139526,"(26, 24)"
12,0.9333333373069763,"(9, 7)"
12,0.8888888955116272,"(17, 2)"
12,0.9333333373069763,"(17, 0)"
12,0.9111111164093018,"(12, 27)"
13,0.8666666746139526,"(16, 11)"
13,0.9333333373069763,"(13, 1)"
13,0.8888888955116272,"(6, 17)"
13,0.9333333373069763,"(24, 14)"
13,0.9111111164093018,"(3, 13)"
14,0.8222222328186035,"(3, 29)"
14,0.9333333373069763,"(16, 2)"
14,0.8888888955116272,"(19, 13)"
14,0.9333333373069763,"(2, 30)"
14,0.8888888955116272,"(6, 18)"
15,0.8222222328186035,"(20, 17)"
15,0.9333333373069763,"(19, 29)"
15,0.9333333373069763,"(8, 17)"
15,0.9333333373069763,"(17, 30)"
15,0.9111111164093018,"(12, 0)"
16,0.8444444537162781,"(14, 28)"
16,0.9333333373069763,"(11, 31)"
16,0.9333333373069763,"(11, 30)"
16,0.9333333373069763,"(20, 31)"
16,0.9111111164093018,"(29, 9)"
17,0.8222222328186035,"(5, 22)"
17,0.9333333373069763,"(10, 31)"
17,0.9333333373069763,"(26, 17)"
17,0.9333333373069763,"(28, 29)"
17,0.9111111164093018,"(24, 21)"
18,0.8222222328186035,"(15, 2)"
18,0.9555555582046509,"(14, 9)"
18,0.9333333373069763,"(30, 10)"
18,0.9333333373069763,"(18, 30)"
18,0.9111111164093018,"(9, 7)"
19,0.8222222328186035,"(24, 17)"
19,0.9555555582046509,"(17, 1)"
19,0.9333333373069763,"(27, 28)"
19,0.9333333373069763,"(23, 17)"
19,0.9111111164093018,"(24, 31)"
