k_heads_ablated,accuracy,last_head_removed
0,0.8888888955116272,
1,0.7555555701255798,"(24, 3)"
2,0.7555555701255798,"(27, 20)"
3,0.7555555701255798,"(19, 25)"
4,0.6888889074325562,"(16, 9)"
5,0.42222222685813904,"(17, 23)"
6,0.35555556416511536,"(16, 18)"
7,0.2888889014720917,"(14, 24)"
8,0.2666666805744171,"(16, 8)"
9,0.24444444477558136,"(31, 20)"
10,0.24444444477558136,"(25, 6)"
11,0.24444444477558136,"(29, 20)"
12,0.24444444477558136,"(27, 23)"
13,0.24444444477558136,"(26, 13)"
14,0.24444444477558136,"(26, 12)"
15,0.24444444477558136,"(25, 13)"
16,0.24444444477558136,"(24, 22)"
17,0.24444444477558136,"(23, 25)"
18,0.2222222238779068,"(10, 10)"
19,0.2222222238779068,"(9, 20)"
