k_heads_ablated,accuracy,last_head_removed
0,0.9803922176361084,
0,0.9803922176361084,
0,0.9803922176361084,
0,0.9803922176361084,
0,0.9803922176361084,
1,0.9803922176361084,"(3, 21)"
1,0.9803922176361084,"(8, 17)"
1,0.9803922176361084,"(30, 8)"
1,0.9803922176361084,"(7, 18)"
1,0.9803922176361084,"(14, 0)"
2,0.9803922176361084,"(19, 10)"
2,0.9803922176361084,"(2, 11)"
2,0.9803922176361084,"(3, 2)"
2,0.9803922176361084,"(3, 1)"
2,0.9803922176361084,"(26, 4)"
3,0.9803922176361084,"(25, 21)"
3,0.9803922176361084,"(30, 11)"
3,0.9803922176361084,"(15, 6)"
3,0.9803922176361084,"(1, 1)"
3,0.9803922176361084,"(17, 9)"
4,0.9803922176361084,"(22, 4)"
4,0.9803922176361084,"(30, 12)"
4,0.9803922176361084,"(18, 18)"
4,0.9803922176361084,"(1, 14)"
4,0.9803922176361084,"(17, 4)"
5,0.9803922176361084,"(1, 23)"
5,0.9803922176361084,"(9, 13)"
5,0.9803922176361084,"(9, 15)"
5,0.9803922176361084,"(13, 0)"
5,0.9803922176361084,"(19, 29)"
6,0.9803922176361084,"(4, 13)"
6,0.9803922176361084,"(21, 27)"
6,0.9803922176361084,"(31, 23)"
6,0.9803922176361084,"(22, 15)"
6,0.9803922176361084,"(9, 14)"
7,0.9803922176361084,"(14, 30)"
7,0.9803922176361084,"(19, 8)"
7,0.9803922176361084,"(4, 28)"
7,0.9803922176361084,"(17, 25)"
7,0.9803922176361084,"(30, 23)"
8,0.9803922176361084,"(24, 11)"
8,0.9803922176361084,"(23, 0)"
8,0.9803922176361084,"(10, 15)"
8,0.9803922176361084,"(6, 22)"
8,1.0,"(30, 28)"
9,0.9803922176361084,"(12, 1)"
9,0.9803922176361084,"(15, 11)"
9,0.9803922176361084,"(22, 29)"
9,0.9803922176361084,"(2, 22)"
9,1.0,"(27, 24)"
10,0.9803922176361084,"(10, 11)"
10,0.9803922176361084,"(8, 12)"
10,0.9803922176361084,"(7, 6)"
10,0.9803922176361084,"(29, 24)"
10,1.0,"(4, 8)"
11,0.9803922176361084,"(25, 18)"
11,0.9803922176361084,"(4, 21)"
11,0.9803922176361084,"(20, 21)"
11,0.9803922176361084,"(11, 11)"
11,1.0,"(6, 0)"
12,0.9803922176361084,"(18, 5)"
12,0.9803922176361084,"(17, 7)"
12,0.9803922176361084,"(27, 26)"
12,0.9803922176361084,"(14, 8)"
12,1.0,"(27, 17)"
13,0.9803922176361084,"(18, 29)"
13,0.9803922176361084,"(14, 1)"
13,0.9803922176361084,"(19, 8)"
13,0.9803922176361084,"(14, 0)"
13,1.0,"(20, 28)"
14,0.9803922176361084,"(6, 8)"
14,0.9803922176361084,"(1, 29)"
14,0.9803922176361084,"(12, 5)"
14,0.9803922176361084,"(18, 28)"
14,1.0,"(7, 5)"
15,0.9803922176361084,"(29, 1)"
15,0.9803922176361084,"(10, 0)"
15,0.9803922176361084,"(31, 16)"
15,0.9803922176361084,"(10, 30)"
15,1.0,"(5, 10)"
16,0.9803922176361084,"(22, 2)"
16,0.9803922176361084,"(1, 8)"
16,0.9803922176361084,"(9, 27)"
16,0.9803922176361084,"(1, 21)"
16,1.0,"(15, 18)"
17,0.9803922176361084,"(18, 26)"
17,0.9803922176361084,"(6, 17)"
17,0.9803922176361084,"(26, 8)"
17,0.9803922176361084,"(31, 13)"
17,1.0,"(5, 13)"
18,0.9803922176361084,"(3, 11)"
18,0.9803922176361084,"(23, 2)"
18,0.9803922176361084,"(24, 26)"
18,0.9803922176361084,"(31, 30)"
18,1.0,"(4, 21)"
19,0.9803922176361084,"(21, 4)"
19,0.9803922176361084,"(10, 1)"
19,0.9803922176361084,"(1, 11)"
19,0.9803922176361084,"(4, 23)"
19,1.0,"(11, 27)"
20,0.9803922176361084,"(25, 22)"
20,0.9803922176361084,"(20, 28)"
20,0.9803922176361084,"(14, 11)"
20,0.9803922176361084,"(16, 25)"
20,1.0,"(28, 14)"
21,0.9803922176361084,"(0, 19)"
21,0.9803922176361084,"(9, 10)"
21,0.9803922176361084,"(30, 2)"
21,0.9803922176361084,"(16, 5)"
21,1.0,"(15, 28)"
22,0.9803922176361084,"(12, 15)"
22,0.9803922176361084,"(16, 12)"
22,0.9803922176361084,"(10, 6)"
22,0.9803922176361084,"(20, 6)"
22,1.0,"(19, 0)"
23,0.9803922176361084,"(11, 5)"
23,0.9803922176361084,"(26, 22)"
23,0.9803922176361084,"(0, 31)"
23,0.9803922176361084,"(2, 14)"
23,1.0,"(21, 11)"
24,0.9803922176361084,"(31, 9)"
24,0.9803922176361084,"(2, 12)"
24,0.9803922176361084,"(11, 26)"
24,0.9803922176361084,"(4, 19)"
24,1.0,"(8, 2)"
25,0.9803922176361084,"(27, 10)"
25,0.9803922176361084,"(10, 3)"
25,0.9803922176361084,"(1, 29)"
25,0.9803922176361084,"(28, 15)"
25,1.0,"(12, 3)"
26,0.9803922176361084,"(9, 10)"
