k_heads_ablated,accuracy,last_head_removed
0,0.9803922176361084,
1,0.9803922176361084,"(30, 29)"
2,0.9803922176361084,"(27, 20)"
3,0.960784375667572,"(24, 3)"
4,0.960784375667572,"(19, 25)"
5,0.960784375667572,"(19, 20)"
6,0.960784375667572,"(31, 20)"
7,0.960784375667572,"(17, 23)"
8,0.960784375667572,"(31, 7)"
9,0.960784375667572,"(23, 12)"
10,0.960784375667572,"(21, 1)"
11,0.960784375667572,"(14, 24)"
12,0.960784375667572,"(31, 6)"
13,0.960784375667572,"(27, 4)"
14,0.960784375667572,"(16, 9)"
15,0.960784375667572,"(16, 8)"
16,0.960784375667572,"(25, 14)"
17,0.9411765336990356,"(25, 13)"
18,0.9411765336990356,"(25, 7)"
19,0.9411765336990356,"(25, 6)"
20,0.9411765336990356,"(25, 5)"
21,0.9411765336990356,"(24, 27)"
22,0.9411765336990356,"(21, 6)"
23,0.9411765336990356,"(20, 0)"
24,0.8823529481887817,"(19, 27)"
25,0.8823529481887817,"(19, 13)"
26,0.8823529481887817,"(19, 1)"
27,0.8627451062202454,"(17, 15)"
28,0.5098039507865906,"(16, 18)"
29,0.5098039507865906,"(16, 1)"
30,0.4901961088180542,"(13, 1)"
