k_heads_ablated,accuracy,last_head_removed
0,0.9803922176361084,
0,0.9844357967376709,
0,0.8888888955116272,
1,0.9803922176361084,"(31, 21)"
1,0.9844357967376709,"(31, 21)"
1,0.8888888955116272,"(31, 21)"
2,0.9803922176361084,"(22, 11)"
2,0.9844357967376709,"(22, 11)"
2,0.8888888955116272,"(22, 11)"
3,0.9803922176361084,"(24, 18)"
3,0.9844357967376709,"(24, 18)"
3,0.8888888955116272,"(24, 18)"
4,0.9803922176361084,"(24, 22)"
4,0.9844357967376709,"(24, 22)"
4,0.8888888955116272,"(24, 22)"
5,0.9803922176361084,"(23, 22)"
5,0.9844357967376709,"(23, 22)"
5,0.8888888955116272,"(23, 22)"
6,0.9803922176361084,"(22, 29)"
6,0.9844357967376709,"(22, 29)"
6,0.8888888955116272,"(22, 29)"
7,0.9803922176361084,"(30, 30)"
7,0.9844357967376709,"(30, 30)"
7,0.8888888955116272,"(30, 30)"
8,0.9803922176361084,"(30, 12)"
8,0.9844357967376709,"(30, 12)"
8,0.8888888955116272,"(30, 12)"
9,0.9803922176361084,"(25, 7)"
9,0.9844357967376709,"(25, 7)"
9,0.8888888955116272,"(25, 7)"
10,0.9803922176361084,"(24, 20)"
10,0.9844357967376709,"(24, 20)"
10,0.8888888955116272,"(24, 20)"
11,0.9803922176361084,"(24, 16)"
11,0.9844357967376709,"(24, 16)"
11,0.8888888955116272,"(24, 16)"
12,0.9803922176361084,"(23, 27)"
12,0.9844357967376709,"(23, 27)"
12,0.8888888955116272,"(23, 27)"
13,0.9803922176361084,"(23, 25)"
13,0.9844357967376709,"(23, 25)"
13,0.8888888955116272,"(23, 25)"
14,0.9803922176361084,"(23, 20)"
14,0.9844357967376709,"(23, 20)"
14,0.8888888955116272,"(23, 20)"
15,0.9803922176361084,"(20, 1)"
15,0.9844357967376709,"(20, 1)"
15,0.8888888955116272,"(20, 1)"
16,0.9803922176361084,"(19, 21)"
16,0.9844357967376709,"(19, 21)"
16,0.8888888955116272,"(19, 21)"
17,0.9803922176361084,"(18, 19)"
17,0.9844357967376709,"(18, 19)"
17,0.8888888955116272,"(18, 19)"
18,0.9803922176361084,"(18, 18)"
18,0.9844357967376709,"(18, 18)"
18,0.8888888955116272,"(18, 18)"
19,0.9803922176361084,"(31, 13)"
19,0.9844357967376709,"(31, 13)"
19,0.9111111164093018,"(31, 13)"
20,0.9803922176361084,"(30, 24)"
20,0.9883268475532532,"(30, 24)"
20,0.8888888955116272,"(30, 24)"
21,0.9803922176361084,"(30, 15)"
21,0.9883268475532532,"(30, 15)"
21,0.8888888955116272,"(30, 15)"
22,0.9803922176361084,"(28, 13)"
22,0.9883268475532532,"(28, 13)"
22,0.8888888955116272,"(28, 13)"
23,0.9803922176361084,"(28, 0)"
23,0.9883268475532532,"(28, 0)"
23,0.8888888955116272,"(28, 0)"
24,0.9803922176361084,"(27, 22)"
24,0.9883268475532532,"(27, 22)"
24,0.8888888955116272,"(27, 22)"
25,0.9803922176361084,"(26, 29)"
25,0.9883268475532532,"(26, 29)"
25,0.8888888955116272,"(26, 29)"
26,0.9803922176361084,"(26, 27)"
26,0.9883268475532532,"(26, 27)"
26,0.8888888955116272,"(26, 27)"
27,0.9803922176361084,"(26, 24)"
27,0.9883268475532532,"(26, 24)"
27,0.8888888955116272,"(26, 24)"
28,0.9803922176361084,"(26, 14)"
28,0.9883268475532532,"(26, 14)"
28,0.8888888955116272,"(26, 14)"
29,0.9803922176361084,"(25, 15)"
29,0.9883268475532532,"(25, 15)"
29,0.8888888955116272,"(25, 15)"
30,0.9803922176361084,"(25, 13)"
30,0.9883268475532532,"(25, 13)"
30,0.8888888955116272,"(25, 13)"
31,0.9803922176361084,"(25, 4)"
31,0.9883268475532532,"(25, 4)"
31,0.8888888955116272,"(25, 4)"
32,0.9803922176361084,"(24, 25)"
32,0.9883268475532532,"(24, 25)"
32,0.8888888955116272,"(24, 25)"
33,0.9803922176361084,"(23, 23)"
33,0.9883268475532532,"(23, 23)"
33,0.9111111164093018,"(23, 23)"
34,0.9803922176361084,"(23, 13)"
34,0.9883268475532532,"(23, 13)"
34,0.9111111164093018,"(23, 13)"
35,0.9803922176361084,"(23, 6)"
35,0.9883268475532532,"(23, 6)"
35,0.9111111164093018,"(23, 6)"
36,0.9803922176361084,"(22, 27)"
36,0.9883268475532532,"(22, 27)"
36,0.9111111164093018,"(22, 27)"
37,0.9803922176361084,"(22, 12)"
37,0.9883268475532532,"(22, 12)"
37,0.9111111164093018,"(22, 12)"
38,0.9803922176361084,"(22, 1)"
38,0.9883268475532532,"(22, 1)"
38,0.9111111164093018,"(22, 1)"
39,0.9803922176361084,"(21, 30)"
39,0.9883268475532532,"(21, 30)"
39,0.9111111164093018,"(21, 30)"
40,0.9803922176361084,"(21, 24)"
40,0.9883268475532532,"(21, 24)"
40,0.9111111164093018,"(21, 24)"
41,0.9803922176361084,"(21, 15)"
41,0.9883268475532532,"(21, 15)"
41,0.9111111164093018,"(21, 15)"
42,0.9803922176361084,"(21, 14)"
42,0.9883268475532532,"(21, 14)"
42,0.9111111164093018,"(21, 14)"
43,0.9803922176361084,"(21, 1)"
43,0.9883268475532532,"(21, 1)"
43,0.9111111164093018,"(21, 1)"
44,0.9803922176361084,"(19, 22)"
44,0.9883268475532532,"(19, 22)"
44,0.9111111164093018,"(19, 22)"
45,0.9803922176361084,"(19, 20)"
45,0.9883268475532532,"(19, 20)"
45,0.9111111164093018,"(19, 20)"
46,0.9803922176361084,"(19, 13)"
46,0.9883268475532532,"(19, 13)"
46,0.9111111164093018,"(19, 13)"
47,0.9803922176361084,"(19, 10)"
47,0.9883268475532532,"(19, 10)"
47,0.9111111164093018,"(19, 10)"
48,0.9803922176361084,"(18, 16)"
48,0.9883268475532532,"(18, 16)"
48,0.9111111164093018,"(18, 16)"
49,0.9803922176361084,"(17, 31)"
49,0.9883268475532532,"(17, 31)"
49,0.9111111164093018,"(17, 31)"
50,0.9803922176361084,"(17, 29)"
50,0.9883268475532532,"(17, 29)"
50,0.9111111164093018,"(17, 29)"
51,0.9803922176361084,"(16, 20)"
51,0.9883268475532532,"(16, 20)"
51,0.9111111164093018,"(16, 20)"
52,0.9803922176361084,"(16, 1)"
52,0.9883268475532532,"(16, 1)"
52,0.9111111164093018,"(16, 1)"
53,0.9803922176361084,"(15, 26)"
53,0.9883268475532532,"(15, 26)"
