k_heads_ablated,accuracy,last_head_removed
0,0.9411764740943909,
0,0.9411764740943909,
0,0.9411764740943909,
0,0.9411764740943909,
0,0.9411764740943909,
1,0.9411764740943909,"(4, 0)"
1,0.9411764740943909,"(20, 17)"
1,0.9411764740943909,"(22, 21)"
1,0.9411764740943909,"(5, 27)"
1,0.9411764740943909,"(26, 2)"
2,0.9411764740943909,"(29, 3)"
2,0.9411764740943909,"(27, 23)"
2,0.9411764740943909,"(6, 9)"
2,0.9411764740943909,"(4, 20)"
2,0.9411764740943909,"(18, 17)"
3,0.9411764740943909,"(9, 26)"
3,0.9411764740943909,"(12, 4)"
3,0.9411764740943909,"(11, 4)"
3,0.9411764740943909,"(15, 3)"
3,0.9411764740943909,"(13, 23)"
4,0.9411764740943909,"(1, 1)"
4,0.9411764740943909,"(18, 11)"
4,0.9411764740943909,"(22, 16)"
4,0.9411764740943909,"(19, 27)"
4,0.9411764740943909,"(10, 30)"
5,0.9411764740943909,"(31, 26)"
5,0.9411764740943909,"(7, 18)"
5,0.9117646813392639,"(31, 0)"
5,0.9411764740943909,"(29, 30)"
5,0.9411764740943909,"(15, 3)"
6,0.9411764740943909,"(20, 7)"
6,0.9411764740943909,"(9, 30)"
6,0.9117646813392639,"(8, 16)"
6,0.9411764740943909,"(19, 31)"
6,0.9411764740943909,"(5, 22)"
7,0.9411764740943909,"(25, 31)"
7,0.9411764740943909,"(7, 8)"
7,0.9117646813392639,"(10, 27)"
7,0.9411764740943909,"(30, 13)"
7,0.9411764740943909,"(14, 15)"
8,0.9411764740943909,"(24, 14)"
8,0.9411764740943909,"(20, 23)"
8,0.9117646813392639,"(24, 8)"
8,0.9411764740943909,"(4, 25)"
8,0.9411764740943909,"(2, 7)"
9,0.9411764740943909,"(28, 3)"
9,0.9411764740943909,"(0, 20)"
9,0.9117646813392639,"(17, 20)"
9,0.9411764740943909,"(18, 7)"
9,0.9411764740943909,"(17, 3)"
10,0.9411764740943909,"(25, 10)"
10,0.9411764740943909,"(16, 6)"
10,0.9117646813392639,"(25, 17)"
10,0.9411764740943909,"(17, 28)"
10,0.9411764740943909,"(6, 18)"
11,0.9411764740943909,"(29, 14)"
11,0.9411764740943909,"(28, 7)"
11,0.9117646813392639,"(17, 1)"
11,0.9411764740943909,"(11, 29)"
11,0.9411764740943909,"(14, 3)"
12,0.9411764740943909,"(13, 11)"
12,0.9411764740943909,"(3, 1)"
12,0.9117646813392639,"(21, 2)"
12,0.9411764740943909,"(6, 11)"
