k_heads_ablated,accuracy,last_head_removed
0,0.9411764740943909,
1,0.9411764740943909,"(31, 21)"
2,0.9411764740943909,"(22, 11)"
3,0.9411764740943909,"(24, 18)"
4,0.9411764740943909,"(24, 22)"
5,0.9411764740943909,"(23, 22)"
6,0.9411764740943909,"(22, 29)"
7,0.9411764740943909,"(30, 30)"
8,0.9411764740943909,"(30, 12)"
9,0.9411764740943909,"(25, 7)"
10,0.9411764740943909,"(24, 20)"
11,0.9411764740943909,"(24, 16)"
12,0.9411764740943909,"(23, 27)"
13,0.9411764740943909,"(23, 25)"
14,0.9411764740943909,"(23, 20)"
15,0.9411764740943909,"(20, 1)"
16,0.9411764740943909,"(19, 21)"
17,0.9411764740943909,"(18, 19)"
18,0.9411764740943909,"(18, 18)"
19,0.9411764740943909,"(31, 13)"
20,0.9411764740943909,"(30, 24)"
21,0.9411764740943909,"(30, 15)"
22,0.9411764740943909,"(28, 13)"
23,0.9411764740943909,"(28, 0)"
24,0.9411764740943909,"(27, 22)"
25,0.9411764740943909,"(26, 29)"
26,0.9411764740943909,"(26, 27)"
27,0.9411764740943909,"(26, 24)"
28,0.9411764740943909,"(26, 14)"
29,0.9411764740943909,"(25, 15)"
30,0.9411764740943909,"(25, 13)"
31,0.9411764740943909,"(25, 4)"
32,0.9411764740943909,"(24, 25)"
33,0.9411764740943909,"(23, 23)"
34,0.9411764740943909,"(23, 13)"
35,0.9411764740943909,"(23, 6)"
36,0.9411764740943909,"(22, 27)"
37,0.9411764740943909,"(22, 12)"
38,0.9411764740943909,"(22, 1)"
39,0.9411764740943909,"(21, 30)"
40,0.9411764740943909,"(21, 24)"
41,0.9411764740943909,"(21, 15)"
42,0.9705882668495178,"(21, 14)"
43,0.9705882668495178,"(21, 1)"
44,0.9705882668495178,"(19, 22)"
45,0.9705882668495178,"(19, 20)"
46,0.9705882668495178,"(19, 13)"
47,0.9705882668495178,"(19, 10)"
48,0.9705882668495178,"(18, 16)"
49,0.9705882668495178,"(17, 31)"
50,0.9705882668495178,"(17, 29)"
51,0.9705882668495178,"(16, 20)"
52,0.9705882668495178,"(16, 1)"
53,0.9705882668495178,"(15, 26)"
54,0.9705882668495178,"(15, 22)"
