k_heads_ablated,accuracy,last_head_removed
0,0.9803922176361084,
0,0.9977778196334839,
0,1.0,
0,0.8888888955116272,
0,0.9787233471870422,
1,0.9803922176361084,"(21, 0)"
1,0.9977778196334839,"(21, 0)"
1,1.0,"(21, 0)"
1,0.8888888955116272,"(21, 0)"
1,0.9787233471870422,"(21, 0)"
2,0.9803922176361084,"(23, 17)"
2,0.9977778196334839,"(23, 17)"
2,1.0,"(23, 17)"
2,0.8888888955116272,"(23, 17)"
2,0.9787233471870422,"(23, 17)"
3,0.9803922176361084,"(18, 27)"
3,0.9977778196334839,"(18, 27)"
3,1.0,"(18, 27)"
3,0.8888888955116272,"(18, 27)"
3,0.9787233471870422,"(18, 27)"
4,0.9803922176361084,"(30, 19)"
4,0.9977778196334839,"(30, 19)"
4,1.0,"(30, 19)"
4,0.9111111164093018,"(30, 19)"
4,0.9787233471870422,"(30, 19)"
5,0.9803922176361084,"(20, 15)"
5,0.9977778196334839,"(20, 15)"
5,1.0,"(20, 15)"
5,0.8888888955116272,"(20, 15)"
5,0.9787233471870422,"(20, 15)"
6,0.9803922176361084,"(18, 11)"
6,0.9977778196334839,"(18, 11)"
6,1.0,"(18, 11)"
6,0.9111111164093018,"(18, 11)"
6,0.9787233471870422,"(18, 11)"
7,0.9803922176361084,"(16, 11)"
7,0.9977778196334839,"(16, 11)"
7,1.0,"(16, 11)"
7,0.9111111164093018,"(16, 11)"
7,0.9787233471870422,"(16, 11)"
8,0.9803922176361084,"(31, 30)"
8,0.9977778196334839,"(31, 30)"
8,1.0,"(31, 30)"
8,0.8888888955116272,"(31, 30)"
8,0.9787233471870422,"(31, 30)"
9,0.9803922176361084,"(18, 24)"
9,0.9977778196334839,"(18, 24)"
9,1.0,"(18, 24)"
9,0.8888888955116272,"(18, 24)"
9,0.9787233471870422,"(18, 24)"
10,0.9803922176361084,"(22, 18)"
10,0.9977778196334839,"(22, 18)"
10,1.0,"(22, 18)"
10,0.8888888955116272,"(22, 18)"
10,0.9787233471870422,"(22, 18)"
11,0.9803922176361084,"(22, 19)"
11,0.9977778196334839,"(22, 19)"
11,1.0,"(22, 19)"
11,0.8888888955116272,"(22, 19)"
11,0.9787233471870422,"(22, 19)"
12,0.9803922176361084,"(31, 25)"
12,0.9977778196334839,"(31, 25)"
12,1.0,"(31, 25)"
12,0.8666666746139526,"(31, 25)"
12,0.9787233471870422,"(31, 25)"
13,0.9803922176361084,"(22, 16)"
13,0.9977778196334839,"(22, 16)"
13,1.0,"(22, 16)"
13,0.8666666746139526,"(22, 16)"
13,0.9787233471870422,"(22, 16)"
14,0.9803922176361084,"(18, 7)"
14,0.9977778196334839,"(18, 7)"
14,1.0,"(18, 7)"
14,0.8666666746139526,"(18, 7)"
14,0.9787233471870422,"(18, 7)"
15,0.9803922176361084,"(31, 24)"
15,0.9977778196334839,"(31, 24)"
15,1.0,"(31, 24)"
15,0.8888888955116272,"(31, 24)"
15,0.9787233471870422,"(31, 24)"
16,0.9803922176361084,"(31, 28)"
16,0.9977778196334839,"(31, 28)"
16,1.0,"(31, 28)"
16,0.8888888955116272,"(31, 28)"
16,0.9787233471870422,"(31, 28)"
17,0.9803922176361084,"(24, 30)"
17,0.9977778196334839,"(24, 30)"
17,1.0,"(24, 30)"
17,0.8888888955116272,"(24, 30)"
17,0.9787233471870422,"(24, 30)"
18,0.9803922176361084,"(20, 22)"
18,0.9977778196334839,"(20, 22)"
18,1.0,"(20, 22)"
18,0.8888888955116272,"(20, 22)"
18,0.9787233471870422,"(20, 22)"
19,0.9803922176361084,"(31, 27)"
19,0.9977778196334839,"(31, 27)"
19,1.0,"(31, 27)"
19,0.8888888955116272,"(31, 27)"
19,0.9787233471870422,"(31, 27)"
20,0.9803922176361084,"(28, 11)"
20,0.9977778196334839,"(28, 11)"
20,1.0,"(28, 11)"
20,0.8888888955116272,"(28, 11)"
20,0.9787233471870422,"(28, 11)"
21,0.9803922176361084,"(28, 9)"
21,0.9977778196334839,"(28, 9)"
21,1.0,"(28, 9)"
21,0.8888888955116272,"(28, 9)"
21,0.9787233471870422,"(28, 9)"
22,0.9803922176361084,"(20, 23)"
22,0.9977778196334839,"(20, 23)"
22,1.0,"(20, 23)"
22,0.9111111164093018,"(20, 23)"
22,0.9787233471870422,"(20, 23)"
23,0.9803922176361084,"(31, 26)"
23,0.9977778196334839,"(31, 26)"
23,1.0,"(31, 26)"
23,0.9111111164093018,"(31, 26)"
23,0.9787233471870422,"(31, 26)"
24,0.9803922176361084,"(31, 17)"
24,0.9977778196334839,"(31, 17)"
24,1.0,"(31, 17)"
24,0.9111111164093018,"(31, 17)"
24,0.9787233471870422,"(31, 17)"
25,0.9803922176361084,"(30, 16)"
25,0.9977778196334839,"(30, 16)"
25,1.0,"(30, 16)"
25,0.9111111164093018,"(30, 16)"
25,0.9787233471870422,"(30, 16)"
26,0.9803922176361084,"(23, 18)"
26,0.9977778196334839,"(23, 18)"
26,1.0,"(23, 18)"
26,0.9111111164093018,"(23, 18)"
26,0.9787233471870422,"(23, 18)"
27,0.9803922176361084,"(21, 7)"
27,0.9977778196334839,"(21, 7)"
27,1.0,"(21, 7)"
27,0.9111111164093018,"(21, 7)"
27,0.9787233471870422,"(21, 7)"
28,0.9803922176361084,"(19, 0)"
28,0.9977778196334839,"(19, 0)"
28,1.0,"(19, 0)"
28,0.9111111164093018,"(19, 0)"
28,0.9787233471870422,"(19, 0)"
29,0.9803922176361084,"(18, 26)"
29,0.9977778196334839,"(18, 26)"
29,1.0,"(18, 26)"
29,0.9777777791023254,"(18, 26)"
29,0.9787233471870422,"(18, 26)"
30,0.9803922176361084,"(18, 10)"
30,0.9977778196334839,"(18, 10)"
30,1.0,"(18, 10)"
30,0.9777777791023254,"(18, 10)"
30,0.9787233471870422,"(18, 10)"
31,0.9803922176361084,"(15, 18)"
31,0.9977778196334839,"(15, 18)"
31,1.0,"(15, 18)"
31,0.9777777791023254,"(15, 18)"
31,0.9787233471870422,"(15, 18)"
32,0.9803922176361084,"(9, 6)"
32,0.9977778196334839,"(9, 6)"
32,1.0,"(9, 6)"
32,0.9777777791023254,"(9, 6)"
32,0.9787233471870422,"(9, 6)"
33,0.9803922176361084,"(8, 7)"
33,0.9977778196334839,"(8, 7)"
33,1.0,"(8, 7)"
33,0.9111111164093018,"(8, 7)"
33,0.9787233471870422,"(8, 7)"
34,0.9803922176361084,"(5, 8)"
34,0.9977778196334839,"(5, 8)"
34,1.0,"(5, 8)"
34,0.8888888955116272,"(5, 8)"
34,0.9787233471870422,"(5, 8)"
35,0.9803922176361084,"(0, 11)"
35,0.9977778196334839,"(0, 11)"
35,1.0,"(0, 11)"
35,0.9333333373069763,"(0, 11)"
35,0.9787233471870422,"(0, 11)"
