k_heads_ablated,accuracy,last_head_removed
0,0.9844357967376709,
0,0.9844357967376709,
0,0.9844357967376709,
0,0.9844357967376709,
0,0.9844357967376709,
1,0.9844357967376709,"(5, 14)"
1,0.9844357967376709,"(17, 12)"
1,0.9844357967376709,"(22, 25)"
1,0.9844357967376709,"(26, 25)"
1,0.9844357967376709,"(25, 8)"
2,0.9844357967376709,"(3, 8)"
2,0.9844357967376709,"(27, 20)"
2,0.9844357967376709,"(11, 20)"
2,0.9844357967376709,"(9, 16)"
2,0.9844357967376709,"(10, 13)"
3,0.9844357967376709,"(26, 16)"
3,0.9844357967376709,"(5, 17)"
3,0.9844357967376709,"(23, 29)"
3,0.9844357967376709,"(2, 30)"
3,0.9883268475532532,"(14, 3)"
4,0.9844357967376709,"(20, 11)"
4,0.9844357967376709,"(24, 5)"
4,0.9844357967376709,"(5, 26)"
4,0.9844357967376709,"(7, 10)"
4,0.9844357967376709,"(21, 27)"
5,0.9844357967376709,"(21, 19)"
5,0.9883268475532532,"(4, 16)"
5,0.9844357967376709,"(2, 3)"
5,0.9844357967376709,"(26, 17)"
5,0.9844357967376709,"(19, 16)"
6,0.9844357967376709,"(1, 13)"
6,0.9883268475532532,"(20, 5)"
6,0.9844357967376709,"(25, 15)"
6,0.9844357967376709,"(5, 14)"
6,0.9844357967376709,"(28, 31)"
7,0.9844357967376709,"(14, 20)"
7,0.9883268475532532,"(1, 14)"
7,0.9844357967376709,"(19, 9)"
7,0.9844357967376709,"(5, 12)"
7,0.9883268475532532,"(14, 7)"
8,0.9844357967376709,"(25, 20)"
8,0.9883268475532532,"(9, 5)"
8,0.9844357967376709,"(3, 0)"
8,0.9844357967376709,"(6, 9)"
8,0.9883268475532532,"(13, 19)"
9,0.9844357967376709,"(8, 2)"
9,0.9883268475532532,"(5, 6)"
9,0.9844357967376709,"(5, 0)"
9,0.9844357967376709,"(12, 1)"
9,0.9883268475532532,"(29, 12)"
10,0.9844357967376709,"(29, 17)"
10,0.9883268475532532,"(26, 12)"
10,0.9844357967376709,"(2, 25)"
10,0.9844357967376709,"(31, 6)"
10,0.9883268475532532,"(21, 18)"
11,0.9844357967376709,"(3, 25)"
11,0.9883268475532532,"(24, 27)"
11,0.9844357967376709,"(31, 11)"
11,0.9844357967376709,"(19, 23)"
11,0.9883268475532532,"(17, 16)"
12,0.9844357967376709,"(24, 9)"
12,0.9883268475532532,"(31, 16)"
12,0.9844357967376709,"(5, 9)"
12,0.9844357967376709,"(29, 29)"
12,0.9883268475532532,"(16, 25)"
13,0.9844357967376709,"(8, 0)"
13,0.9883268475532532,"(5, 1)"
13,0.9844357967376709,"(24, 21)"
13,0.9844357967376709,"(6, 21)"
13,0.9883268475532532,"(14, 27)"
14,0.9844357967376709,"(7, 20)"
14,0.9883268475532532,"(8, 29)"
14,0.9844357967376709,"(21, 12)"
14,0.9844357967376709,"(12, 27)"
14,0.9883268475532532,"(27, 17)"
15,0.9844357967376709,"(4, 15)"
15,0.9883268475532532,"(25, 28)"
15,0.9844357967376709,"(19, 24)"
15,0.9844357967376709,"(3, 10)"
15,0.9883268475532532,"(1, 13)"
16,0.9844357967376709,"(24, 26)"
16,0.9883268475532532,"(28, 2)"
16,0.9844357967376709,"(4, 24)"
16,0.9844357967376709,"(30, 26)"
16,0.9883268475532532,"(26, 0)"
17,0.9844357967376709,"(19, 16)"
17,0.9883268475532532,"(13, 1)"
17,0.9844357967376709,"(5, 15)"
17,0.9844357967376709,"(15, 14)"
17,0.9883268475532532,"(20, 3)"
18,0.9844357967376709,"(3, 20)"
18,0.9844357967376709,"(23, 25)"
18,0.9844357967376709,"(16, 14)"
18,0.9844357967376709,"(12, 22)"
18,0.9844357967376709,"(15, 20)"
19,0.9844357967376709,"(9, 31)"
19,0.9844357967376709,"(6, 4)"
19,0.9844357967376709,"(30, 5)"
19,0.9844357967376709,"(2, 20)"
19,0.9805447459220886,"(11, 26)"
20,0.9844357967376709,"(15, 27)"
20,0.9883268475532532,"(13, 16)"
20,0.9844357967376709,"(7, 14)"
20,0.9844357967376709,"(9, 11)"
20,0.9844357967376709,"(19, 25)"
21,0.9844357967376709,"(28, 16)"
21,0.9883268475532532,"(0, 5)"
21,0.9844357967376709,"(11, 4)"
21,0.9844357967376709,"(23, 21)"
21,0.9805447459220886,"(21, 23)"
22,0.9844357967376709,"(19, 30)"
22,0.9883268475532532,"(21, 17)"
22,0.9844357967376709,"(28, 29)"
22,0.9844357967376709,"(27, 25)"
22,0.9844357967376709,"(11, 22)"
23,0.9844357967376709,"(11, 6)"
23,0.9883268475532532,"(3, 9)"
23,0.9844357967376709,"(16, 9)"
