k_heads_ablated,accuracy,last_head_removed
0,0.9844357967376709,
1,0.9844357967376709,"(21, 0)"
2,0.9844357967376709,"(23, 17)"
3,0.9805447459220886,"(18, 27)"
4,0.9844357967376709,"(30, 19)"
5,0.9844357967376709,"(20, 15)"
6,0.9805447459220886,"(18, 11)"
7,0.9844357967376709,"(16, 11)"
8,0.9844357967376709,"(31, 30)"
9,0.9766536951065063,"(18, 24)"
10,0.9766536951065063,"(22, 18)"
11,0.9766536951065063,"(22, 19)"
12,0.9766536951065063,"(31, 25)"
13,0.9766536951065063,"(22, 16)"
14,0.9766536951065063,"(18, 7)"
15,0.9766536951065063,"(31, 24)"
16,0.9844357967376709,"(31, 28)"
17,0.9844357967376709,"(24, 30)"
18,0.9805447459220886,"(20, 22)"
19,0.9805447459220886,"(31, 27)"
20,0.9805447459220886,"(28, 11)"
21,0.9805447459220886,"(28, 9)"
22,0.9805447459220886,"(20, 23)"
23,0.9805447459220886,"(31, 26)"
24,0.9805447459220886,"(31, 17)"
25,0.9805447459220886,"(30, 16)"
26,0.9805447459220886,"(23, 18)"
27,0.9805447459220886,"(21, 7)"
28,0.9805447459220886,"(19, 0)"
29,0.9805447459220886,"(18, 26)"
30,0.9805447459220886,"(18, 10)"
31,0.9805447459220886,"(15, 18)"
32,0.9805447459220886,"(9, 6)"
33,0.9805447459220886,"(8, 7)"
34,0.9805447459220886,"(5, 8)"
35,0.9805447459220886,"(0, 11)"
