k_heads_ablated,accuracy,last_head_removed
0,0.8888888955116272,
0,0.9803922176361084,
0,0.9844357967376709,
1,0.8888888955116272,"(27, 7)"
1,0.9803922176361084,"(27, 7)"
1,0.9844357967376709,"(27, 7)"
2,0.8888888955116272,"(22, 29)"
2,0.9803922176361084,"(22, 29)"
2,0.9844357967376709,"(22, 29)"
3,0.8888888955116272,"(30, 12)"
3,0.9803922176361084,"(30, 12)"
3,0.9844357967376709,"(30, 12)"
4,0.8888888955116272,"(22, 28)"
4,0.9803922176361084,"(22, 28)"
4,0.9883268475532532,"(22, 28)"
5,0.8888888955116272,"(18, 19)"
5,0.9803922176361084,"(18, 19)"
5,0.9883268475532532,"(18, 19)"
6,0.8888888955116272,"(30, 29)"
6,0.9803922176361084,"(30, 29)"
6,0.9883268475532532,"(30, 29)"
7,0.8888888955116272,"(22, 0)"
7,0.9803922176361084,"(22, 0)"
7,0.9883268475532532,"(22, 0)"
8,0.8888888955116272,"(22, 11)"
8,0.9803922176361084,"(22, 11)"
8,0.9883268475532532,"(22, 11)"
9,0.8888888955116272,"(31, 21)"
9,0.9803922176361084,"(31, 21)"
9,0.9883268475532532,"(31, 21)"
10,0.8888888955116272,"(21, 29)"
10,0.9803922176361084,"(21, 29)"
10,0.9844357967376709,"(21, 29)"
11,0.8888888955116272,"(27, 6)"
11,0.9803922176361084,"(27, 6)"
11,0.9883268475532532,"(27, 6)"
12,0.8888888955116272,"(31, 30)"
12,0.9803922176361084,"(31, 30)"
12,0.9883268475532532,"(31, 30)"
13,0.8888888955116272,"(28, 13)"
13,0.9803922176361084,"(28, 13)"
13,0.9883268475532532,"(28, 13)"
14,0.8888888955116272,"(24, 16)"
14,0.9803922176361084,"(24, 16)"
14,0.9883268475532532,"(24, 16)"
15,0.8888888955116272,"(24, 17)"
15,0.9803922176361084,"(24, 17)"
15,0.9883268475532532,"(24, 17)"
16,0.8888888955116272,"(22, 2)"
16,0.9803922176361084,"(22, 2)"
16,0.9883268475532532,"(22, 2)"
17,0.8888888955116272,"(22, 1)"
17,0.9803922176361084,"(22, 1)"
17,0.9883268475532532,"(22, 1)"
18,0.8888888955116272,"(24, 18)"
18,0.9803922176361084,"(24, 18)"
18,0.9883268475532532,"(24, 18)"
19,0.8888888955116272,"(24, 26)"
19,0.9803922176361084,"(24, 26)"
19,0.9883268475532532,"(24, 26)"
20,0.8888888955116272,"(30, 30)"
20,0.9803922176361084,"(30, 30)"
20,0.9883268475532532,"(30, 30)"
21,0.8888888955116272,"(25, 13)"
21,0.9803922176361084,"(25, 13)"
21,0.9883268475532532,"(25, 13)"
22,0.8888888955116272,"(24, 22)"
22,0.9803922176361084,"(24, 22)"
22,0.9883268475532532,"(24, 22)"
23,0.8888888955116272,"(23, 20)"
23,0.9803922176361084,"(23, 20)"
23,0.9883268475532532,"(23, 20)"
24,0.8888888955116272,"(21, 31)"
24,0.9803922176361084,"(21, 31)"
24,0.9883268475532532,"(21, 31)"
25,0.8888888955116272,"(26, 13)"
25,0.9803922176361084,"(26, 13)"
25,0.9883268475532532,"(26, 13)"
26,0.8888888955116272,"(26, 12)"
26,0.9803922176361084,"(26, 12)"
26,0.9883268475532532,"(26, 12)"
27,0.8888888955116272,"(25, 7)"
27,0.9803922176361084,"(25, 7)"
27,0.9883268475532532,"(25, 7)"
28,0.8888888955116272,"(23, 6)"
28,0.9803922176361084,"(23, 6)"
28,0.9883268475532532,"(23, 6)"
29,0.8888888955116272,"(22, 31)"
29,0.9803922176361084,"(22, 31)"
29,0.9883268475532532,"(22, 31)"
30,0.8888888955116272,"(15, 14)"
30,0.9803922176361084,"(15, 14)"
30,0.9883268475532532,"(15, 14)"
31,0.8888888955116272,"(25, 12)"
31,0.9803922176361084,"(25, 12)"
31,0.9883268475532532,"(25, 12)"
32,0.8888888955116272,"(17, 31)"
32,0.9803922176361084,"(17, 31)"
32,0.9883268475532532,"(17, 31)"
33,0.8888888955116272,"(27, 22)"
33,0.9803922176361084,"(27, 22)"
33,0.9883268475532532,"(27, 22)"
34,0.8888888955116272,"(27, 21)"
34,0.9803922176361084,"(27, 21)"
34,0.9883268475532532,"(27, 21)"
35,0.8888888955116272,"(23, 22)"
35,0.9803922176361084,"(23, 22)"
35,0.9883268475532532,"(23, 22)"
36,0.8666666746139526,"(31, 20)"
36,0.9803922176361084,"(31, 20)"
36,0.9883268475532532,"(31, 20)"
37,0.8666666746139526,"(25, 14)"
37,0.9803922176361084,"(25, 14)"
37,0.9883268475532532,"(25, 14)"
38,0.8666666746139526,"(25, 6)"
38,0.9803922176361084,"(25, 6)"
38,0.9883268475532532,"(25, 6)"
39,0.8666666746139526,"(25, 5)"
39,0.9803922176361084,"(25, 5)"
39,0.9883268475532532,"(25, 5)"
40,0.8666666746139526,"(19, 8)"
40,0.9803922176361084,"(19, 8)"
40,0.9883268475532532,"(19, 8)"
41,0.8666666746139526,"(25, 15)"
41,0.9803922176361084,"(25, 15)"
41,0.9883268475532532,"(25, 15)"
42,0.8666666746139526,"(21, 28)"
42,0.9803922176361084,"(21, 28)"
42,0.9883268475532532,"(21, 28)"
43,0.8888888955116272,"(24, 20)"
43,0.9803922176361084,"(24, 20)"
43,0.9844357967376709,"(24, 20)"
44,0.8666666746139526,"(23, 27)"
