k_heads_ablated,accuracy,last_head_removed
0,0.9977778196334839,
0,0.9977778196334839,
0,0.9977778196334839,
0,0.9977778196334839,
0,0.9977778196334839,
1,0.9977778196334839,"(2, 9)"
1,0.9977778196334839,"(27, 12)"
1,0.9977778196334839,"(12, 16)"
1,0.9977778196334839,"(14, 22)"
1,0.9977778196334839,"(9, 4)"
2,0.9977778196334839,"(1, 4)"
2,0.9977778196334839,"(14, 19)"
2,0.9977778196334839,"(5, 11)"
2,0.9977778196334839,"(14, 5)"
2,0.9977778196334839,"(6, 8)"
3,0.9977778196334839,"(5, 28)"
3,0.9977778196334839,"(17, 9)"
3,0.9977778196334839,"(24, 24)"
3,0.9977778196334839,"(9, 20)"
3,0.9977778196334839,"(1, 22)"
4,0.9977778196334839,"(7, 8)"
4,0.9977778196334839,"(31, 8)"
4,0.9977778196334839,"(2, 30)"
4,0.9977778196334839,"(17, 1)"
4,0.9977778196334839,"(30, 4)"
5,0.9977778196334839,"(12, 6)"
5,0.9977778196334839,"(16, 22)"
5,0.9977778196334839,"(22, 21)"
5,0.9977778196334839,"(1, 12)"
5,0.9977778196334839,"(0, 3)"
6,0.9977778196334839,"(18, 30)"
6,0.9977778196334839,"(18, 29)"
6,1.0,"(9, 16)"
6,0.9977778196334839,"(0, 14)"
6,0.9977778196334839,"(20, 15)"
7,0.9977778196334839,"(4, 12)"
7,0.9977778196334839,"(2, 28)"
7,1.0,"(1, 25)"
7,0.9977778196334839,"(7, 18)"
7,0.9977778196334839,"(31, 2)"
8,0.9977778196334839,"(2, 17)"
8,0.9977778196334839,"(16, 2)"
8,1.0,"(5, 20)"
8,0.9977778196334839,"(27, 19)"
8,0.9977778196334839,"(4, 6)"
9,0.9977778196334839,"(7, 12)"
9,0.9977778196334839,"(4, 23)"
9,1.0,"(12, 24)"
9,0.9977778196334839,"(10, 1)"
9,0.9977778196334839,"(14, 6)"
10,0.9977778196334839,"(13, 20)"
10,0.9977778196334839,"(26, 3)"
10,1.0,"(31, 8)"
10,0.9977778196334839,"(20, 13)"
10,0.995555579662323,"(22, 16)"
11,0.9977778196334839,"(1, 0)"
11,0.9977778196334839,"(7, 12)"
11,1.0,"(1, 16)"
11,0.9977778196334839,"(11, 24)"
11,0.995555579662323,"(26, 25)"
12,0.9977778196334839,"(3, 8)"
12,0.9977778196334839,"(17, 14)"
12,0.9977778196334839,"(16, 28)"
12,0.9977778196334839,"(1, 16)"
12,0.9977778196334839,"(8, 17)"
13,0.9977778196334839,"(24, 27)"
13,0.9977778196334839,"(9, 30)"
13,0.9977778196334839,"(26, 0)"
13,0.9977778196334839,"(20, 14)"
13,0.9977778196334839,"(2, 14)"
14,0.9977778196334839,"(16, 12)"
14,0.9977778196334839,"(16, 5)"
14,0.9977778196334839,"(5, 4)"
14,0.9977778196334839,"(11, 17)"
14,0.9977778196334839,"(24, 12)"
15,0.9977778196334839,"(15, 27)"
15,0.9977778196334839,"(23, 10)"
15,0.9977778196334839,"(23, 14)"
15,0.9977778196334839,"(2, 10)"
15,0.9977778196334839,"(16, 8)"
16,0.9977778196334839,"(14, 30)"
16,0.9977778196334839,"(13, 27)"
16,0.9977778196334839,"(29, 27)"
16,0.9977778196334839,"(6, 7)"
16,0.9977778196334839,"(31, 9)"
17,0.9977778196334839,"(24, 11)"
17,0.9977778196334839,"(22, 22)"
17,0.9977778196334839,"(31, 12)"
17,0.9977778196334839,"(19, 29)"
17,0.9977778196334839,"(2, 21)"
18,1.0,"(9, 3)"
18,0.9977778196334839,"(0, 13)"
18,0.9977778196334839,"(20, 12)"
18,0.9977778196334839,"(7, 17)"
18,0.9977778196334839,"(7, 4)"
19,1.0,"(12, 31)"
19,0.9977778196334839,"(31, 23)"
19,0.9977778196334839,"(30, 25)"
19,0.9977778196334839,"(24, 21)"
19,0.9977778196334839,"(11, 1)"
20,1.0,"(28, 20)"
20,0.9977778196334839,"(8, 5)"
20,0.9977778196334839,"(14, 18)"
20,0.9977778196334839,"(19, 14)"
20,0.9977778196334839,"(23, 31)"
21,1.0,"(9, 1)"
21,0.9977778196334839,"(20, 2)"
21,0.9977778196334839,"(11, 27)"
21,0.9977778196334839,"(16, 14)"
21,0.9977778196334839,"(23, 0)"
22,1.0,"(11, 29)"
22,0.9977778196334839,"(11, 24)"
22,0.9977778196334839,"(25, 19)"
22,0.9977778196334839,"(27, 30)"
22,0.995555579662323,"(14, 16)"
23,1.0,"(0, 18)"
23,0.9977778196334839,"(15, 7)"
23,0.9977778196334839,"(2, 21)"
23,0.9977778196334839,"(2, 31)"
23,0.995555579662323,"(13, 13)"
24,1.0,"(5, 22)"
24,0.9977778196334839,"(31, 3)"
24,1.0,"(14, 21)"
24,0.9977778196334839,"(20, 11)"
24,0.995555579662323,"(5, 6)"
25,1.0,"(14, 4)"
25,0.9977778196334839,"(11, 17)"
25,1.0,"(17, 13)"
25,0.9977778196334839,"(9, 6)"
25,0.9977778196334839,"(4, 19)"
26,1.0,"(31, 22)"
26,0.9977778196334839,"(2, 16)"
26,1.0,"(19, 11)"
26,0.9977778196334839,"(7, 5)"
26,0.995555579662323,"(6, 12)"
27,1.0,"(9, 23)"
27,0.9977778196334839,"(17, 13)"
27,1.0,"(28, 25)"
27,0.9977778196334839,"(6, 15)"
27,0.9977778196334839,"(21, 16)"
28,1.0,"(18, 13)"
28,0.9977778196334839,"(19, 2)"
28,1.0,"(1, 0)"
28,0.9977778196334839,"(21, 0)"
28,0.995555579662323,"(5, 12)"
29,1.0,"(8, 7)"
29,0.9977778196334839,"(29, 23)"
29,1.0,"(9, 20)"
29,0.9977778196334839,"(2, 8)"
29,0.9933333396911621,"(1, 5)"
30,1.0,"(6, 19)"
30,0.9977778196334839,"(24, 4)"
30,1.0,"(30, 1)"
30,0.9977778196334839,"(1, 22)"
30,0.9933333396911621,"(16, 1)"
31,1.0,"(7, 22)"
31,0.9977778196334839,"(31, 11)"
31,1.0,"(18, 31)"
31,1.0,"(9, 16)"
31,0.9933333396911621,"(5, 22)"
32,1.0,"(19, 28)"
32,0.9977778196334839,"(26, 7)"
32,0.9977778196334839,"(7, 27)"
32,1.0,"(10, 5)"
32,0.9933333396911621,"(26, 10)"
33,1.0,"(11, 12)"
33,0.9977778196334839,"(0, 20)"
33,1.0,"(18, 22)"
33,1.0,"(7, 4)"
33,0.9933333396911621,"(28, 8)"
34,1.0,"(28, 31)"
34,0.9977778196334839,"(21, 10)"
34,1.0,"(8, 12)"
34,1.0,"(26, 20)"
34,0.9933333396911621,"(5, 21)"
35,1.0,"(7, 2)"
35,0.9977778196334839,"(24, 30)"
35,1.0,"(17, 30)"
35,1.0,"(17, 11)"
35,0.9933333396911621,"(9, 18)"
36,1.0,"(17, 0)"
36,0.9977778196334839,"(7, 22)"
36,0.9977778196334839,"(14, 24)"
36,1.0,"(14, 23)"
36,0.9933333396911621,"(0, 31)"
37,1.0,"(10, 10)"
37,0.9977778196334839,"(13, 8)"
37,0.9977778196334839,"(13, 18)"
37,1.0,"(21, 2)"
37,0.9933333396911621,"(30, 18)"
38,1.0,"(12, 12)"
38,0.9977778196334839,"(8, 23)"
38,0.9977778196334839,"(0, 31)"
38,1.0,"(30, 23)"
38,0.9933333396911621,"(7, 10)"
39,1.0,"(16, 29)"
39,0.9977778196334839,"(12, 3)"
39,0.9977778196334839,"(4, 7)"
39,1.0,"(8, 26)"
39,0.9933333396911621,"(29, 22)"
40,0.9977778196334839,"(6, 31)"
40,0.9977778196334839,"(12, 24)"
40,0.9977778196334839,"(1, 28)"
40,1.0,"(6, 16)"
40,0.9933333396911621,"(7, 20)"
41,0.9977778196334839,"(2, 24)"
41,0.9977778196334839,"(2, 1)"
41,1.0,"(28, 15)"
41,1.0,"(11, 18)"
41,0.9933333396911621,"(14, 10)"
42,0.9977778196334839,"(4, 10)"
42,0.9977778196334839,"(4, 5)"
42,1.0,"(0, 22)"
42,1.0,"(4, 17)"
42,0.9933333396911621,"(7, 24)"
43,0.9977778196334839,"(11, 20)"
43,0.9977778196334839,"(28, 16)"
43,1.0,"(10, 0)"
43,1.0,"(17, 15)"
43,0.9933333396911621,"(4, 26)"
44,0.9977778196334839,"(16, 9)"
44,1.0,"(13, 30)"
44,1.0,"(29, 5)"
44,1.0,"(10, 25)"
44,0.9933333396911621,"(17, 13)"
45,0.9977778196334839,"(31, 15)"
45,1.0,"(0, 4)"
45,1.0,"(13, 20)"
45,1.0,"(25, 30)"
45,0.9933333396911621,"(6, 26)"
46,0.9977778196334839,"(6, 27)"
46,1.0,"(19, 10)"
46,1.0,"(0, 15)"
46,1.0,"(2, 14)"
46,0.9933333396911621,"(20, 2)"
47,0.9977778196334839,"(30, 0)"
47,1.0,"(24, 21)"
47,1.0,"(2, 7)"
47,1.0,"(17, 22)"
47,0.9933333396911621,"(1, 18)"
48,1.0,"(9, 8)"
48,0.9977778196334839,"(20, 26)"
48,1.0,"(14, 7)"
48,1.0,"(30, 0)"
48,0.9933333396911621,"(13, 6)"
49,0.9977778196334839,"(13, 13)"
49,1.0,"(13, 26)"
49,1.0,"(30, 24)"
49,1.0,"(30, 17)"
49,0.9933333396911621,"(25, 21)"
50,0.9977778196334839,"(9, 21)"
50,1.0,"(30, 1)"
50,1.0,"(15, 31)"
50,1.0,"(9, 28)"
50,0.9933333396911621,"(12, 29)"
51,0.9977778196334839,"(14, 0)"
51,1.0,"(18, 9)"
51,1.0,"(14, 23)"
51,1.0,"(0, 31)"
51,0.9933333396911621,"(13, 23)"
52,0.9977778196334839,"(27, 8)"
52,1.0,"(11, 0)"
52,1.0,"(12, 25)"
52,1.0,"(7, 8)"
52,0.9933333396911621,"(25, 29)"
53,0.9977778196334839,"(20, 15)"
53,1.0,"(15, 10)"
53,1.0,"(18, 3)"
53,1.0,"(29, 8)"
53,0.9933333396911621,"(21, 8)"
54,0.9977778196334839,"(26, 25)"
54,1.0,"(30, 26)"
54,1.0,"(14, 25)"
54,1.0,"(7, 2)"
54,0.9933333396911621,"(1, 6)"
55,0.9977778196334839,"(14, 27)"
55,1.0,"(5, 30)"
55,1.0,"(12, 28)"
55,1.0,"(7, 3)"
55,0.9977778196334839,"(19, 3)"
56,0.9977778196334839,"(4, 9)"
56,1.0,"(23, 31)"
56,1.0,"(13, 4)"
56,1.0,"(10, 9)"
56,0.9977778196334839,"(8, 25)"
57,0.9977778196334839,"(31, 7)"
57,1.0,"(13, 19)"
57,1.0,"(2, 12)"
57,1.0,"(21, 9)"
57,0.9977778196334839,"(10, 30)"
58,1.0,"(6, 21)"
58,1.0,"(14, 31)"
58,1.0,"(13, 3)"
58,1.0,"(11, 8)"
58,0.9977778196334839,"(12, 8)"
59,1.0,"(9, 4)"
59,1.0,"(17, 17)"
59,1.0,"(10, 10)"
59,1.0,"(6, 6)"
59,0.9977778196334839,"(16, 30)"
60,1.0,"(0, 0)"
60,1.0,"(19, 23)"
60,1.0,"(15, 20)"
60,1.0,"(20, 18)"
60,0.9977778196334839,"(7, 14)"
61,1.0,"(10, 7)"
61,1.0,"(11, 26)"
61,1.0,"(5, 16)"
61,1.0,"(13, 13)"
61,0.9977778196334839,"(17, 9)"
62,1.0,"(2, 12)"
