k_heads_ablated,accuracy,last_head_removed
0,0.9977778196334839,
1,0.9977778196334839,"(27, 7)"
2,0.9977778196334839,"(22, 29)"
3,0.9977778196334839,"(30, 12)"
4,0.9866666793823242,"(22, 28)"
5,0.9866666793823242,"(18, 19)"
6,0.9866666793823242,"(30, 29)"
7,0.9866666793823242,"(22, 0)"
8,0.9844444394111633,"(22, 11)"
9,0.9844444394111633,"(31, 21)"
10,0.9822222590446472,"(21, 29)"
11,0.9666666984558105,"(27, 6)"
12,0.9644444584846497,"(31, 30)"
13,0.9622222185134888,"(28, 13)"
14,0.9555555582046509,"(24, 16)"
15,0.9555555582046509,"(24, 17)"
16,0.9555555582046509,"(22, 2)"
17,0.9511111378669739,"(22, 1)"
18,0.9355555772781372,"(24, 18)"
19,0.9333333373069763,"(24, 26)"
20,0.9311111569404602,"(30, 30)"
21,0.9333333373069763,"(25, 13)"
22,0.9266666769981384,"(24, 22)"
23,0.9288889169692993,"(23, 20)"
24,0.9111111164093018,"(21, 31)"
25,0.8866667151451111,"(26, 13)"
26,0.8844444751739502,"(26, 12)"
27,0.8844444751739502,"(25, 7)"
28,0.8822222352027893,"(23, 6)"
29,0.8777778148651123,"(22, 31)"
30,0.8799999952316284,"(15, 14)"
31,0.8755555748939514,"(25, 12)"
32,0.8733333349227905,"(17, 31)"
33,0.8711111545562744,"(27, 22)"
34,0.8688889145851135,"(27, 21)"
35,0.8666666746139526,"(23, 22)"
36,0.8600000143051147,"(31, 20)"
37,0.851111114025116,"(25, 14)"
38,0.8488889336585999,"(25, 6)"
39,0.8488889336585999,"(25, 5)"
40,0.8355555534362793,"(19, 8)"
41,0.8266667127609253,"(25, 15)"
42,0.8266667127609253,"(21, 28)"
43,0.8266667127609253,"(24, 20)"
44,0.8244444727897644,"(23, 27)"
45,0.8155555725097656,"(20, 9)"
46,0.8155555725097656,"(17, 28)"
47,0.8155555725097656,"(24, 25)"
48,0.8066666722297668,"(23, 12)"
49,0.8088889122009277,"(30, 15)"
50,0.8066666722297668,"(26, 14)"
51,0.8044444918632507,"(25, 4)"
52,0.800000011920929,"(23, 7)"
53,0.8066666722297668,"(19, 13)"
54,0.795555591583252,"(17, 29)"
55,0.7822222709655762,"(27, 20)"
56,0.695555567741394,"(27, 4)"
57,0.6711111068725586,"(23, 5)"
58,0.6666666865348816,"(22, 13)"
59,0.6333333253860474,"(22, 8)"
60,0.6377778053283691,"(18, 16)"
61,0.6288889050483704,"(17, 20)"
62,0.6222222447395325,"(29, 20)"
63,0.6244444847106934,"(19, 12)"
64,0.6088889241218567,"(20, 21)"
65,0.6177777647972107,"(20, 0)"
66,0.6088889241218567,"(17, 21)"
67,0.6022222638130188,"(28, 27)"
68,0.5911111235618591,"(26, 31)"
69,0.5866667032241821,"(23, 13)"
70,0.5822222232818604,"(21, 30)"
71,0.5822222232818604,"(18, 18)"
72,0.5866667032241821,"(31, 16)"
