k_heads_ablated,accuracy,last_head_removed
0,0.8888888955116272,
0,0.9844357967376709,
1,0.8888888955116272,"(27, 20)"
1,0.9844357967376709,"(27, 20)"
2,0.8888888955116272,"(31, 20)"
2,0.9844357967376709,"(31, 20)"
3,0.8888888955116272,"(26, 13)"
3,0.9844357967376709,"(26, 13)"
4,0.8888888955116272,"(27, 22)"
4,0.9844357967376709,"(27, 22)"
5,0.8888888955116272,"(27, 5)"
5,0.9844357967376709,"(27, 5)"
6,0.8888888955116272,"(18, 16)"
6,0.9844357967376709,"(18, 16)"
7,0.8888888955116272,"(27, 4)"
7,0.9844357967376709,"(27, 4)"
8,0.8888888955116272,"(26, 12)"
8,0.9844357967376709,"(26, 12)"
9,0.8888888955116272,"(31, 21)"
9,0.9844357967376709,"(31, 21)"
10,0.8888888955116272,"(24, 25)"
10,0.9844357967376709,"(24, 25)"
11,0.8888888955116272,"(20, 1)"
11,0.9844357967376709,"(20, 1)"
12,0.8888888955116272,"(28, 13)"
12,0.9844357967376709,"(28, 13)"
13,0.8888888955116272,"(23, 14)"
13,0.9844357967376709,"(23, 14)"
14,0.8888888955116272,"(26, 31)"
14,0.9844357967376709,"(26, 31)"
15,0.8888888955116272,"(25, 6)"
15,0.9844357967376709,"(25, 6)"
16,0.8888888955116272,"(25, 5)"
16,0.9844357967376709,"(25, 5)"
17,0.8888888955116272,"(16, 20)"
17,0.9844357967376709,"(16, 20)"
18,0.8888888955116272,"(27, 23)"
18,0.9844357967376709,"(27, 23)"
19,0.8888888955116272,"(26, 14)"
19,0.9844357967376709,"(26, 14)"
20,0.8888888955116272,"(25, 15)"
20,0.9844357967376709,"(25, 15)"
21,0.8888888955116272,"(25, 14)"
21,0.9844357967376709,"(25, 14)"
22,0.8888888955116272,"(25, 12)"
22,0.9844357967376709,"(25, 12)"
23,0.8888888955116272,"(23, 7)"
23,0.9883268475532532,"(23, 7)"
24,0.8888888955116272,"(23, 6)"
24,0.9883268475532532,"(23, 6)"
25,0.8888888955116272,"(30, 30)"
25,0.9883268475532532,"(30, 30)"
26,0.8888888955116272,"(30, 14)"
26,0.9883268475532532,"(30, 14)"
27,0.8888888955116272,"(30, 12)"
27,0.9883268475532532,"(30, 12)"
28,0.8888888955116272,"(25, 13)"
28,0.9883268475532532,"(25, 13)"
29,0.8888888955116272,"(25, 7)"
29,0.9883268475532532,"(25, 7)"
30,0.8888888955116272,"(25, 4)"
30,0.9883268475532532,"(25, 4)"
31,0.8888888955116272,"(24, 26)"
31,0.9883268475532532,"(24, 26)"
32,0.8888888955116272,"(24, 17)"
32,0.9883268475532532,"(24, 17)"
33,0.8888888955116272,"(28, 14)"
33,0.9844357967376709,"(28, 14)"
34,0.8888888955116272,"(24, 23)"
34,0.9844357967376709,"(24, 23)"
35,0.8888888955116272,"(24, 22)"
35,0.9844357967376709,"(24, 22)"
36,0.8888888955116272,"(19, 20)"
36,0.9844357967376709,"(19, 20)"
37,0.8888888955116272,"(18, 18)"
37,0.9883268475532532,"(18, 18)"
38,0.8888888955116272,"(30, 21)"
38,0.9883268475532532,"(30, 21)"
39,0.8888888955116272,"(26, 29)"
39,0.9883268475532532,"(26, 29)"
40,0.8888888955116272,"(23, 27)"
40,0.9883268475532532,"(23, 27)"
41,0.8888888955116272,"(23, 12)"
41,0.9883268475532532,"(23, 12)"
42,0.8888888955116272,"(23, 5)"
42,0.9883268475532532,"(23, 5)"
43,0.8888888955116272,"(22, 31)"
43,0.9883268475532532,"(22, 31)"
44,0.8888888955116272,"(22, 29)"
44,0.9883268475532532,"(22, 29)"
45,0.8888888955116272,"(18, 4)"
45,0.9883268475532532,"(18, 4)"
