k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,1.0,
0,1.0,
0,1.0,
0,1.0,
1,1.0,"(3, 31)"
1,1.0,"(27, 3)"
1,1.0,"(9, 16)"
1,1.0,"(4, 24)"
1,1.0,"(0, 24)"
2,1.0,"(18, 20)"
2,1.0,"(27, 17)"
2,1.0,"(31, 9)"
2,1.0,"(4, 18)"
2,1.0,"(24, 9)"
3,1.0,"(10, 6)"
3,1.0,"(22, 24)"
3,1.0,"(10, 13)"
3,1.0,"(19, 26)"
3,1.0,"(2, 26)"
4,1.0,"(20, 28)"
4,1.0,"(30, 6)"
4,1.0,"(5, 0)"
4,1.0,"(12, 24)"
4,1.0,"(12, 18)"
5,1.0,"(9, 28)"
5,1.0,"(15, 13)"
5,1.0,"(19, 25)"
5,1.0,"(7, 14)"
5,1.0,"(10, 6)"
6,1.0,"(30, 5)"
6,1.0,"(3, 3)"
6,1.0,"(15, 14)"
6,1.0,"(7, 10)"
6,1.0,"(21, 6)"
7,1.0,"(3, 11)"
7,1.0,"(4, 26)"
7,1.0,"(16, 23)"
7,1.0,"(2, 1)"
7,1.0,"(7, 16)"
8,1.0,"(29, 6)"
8,1.0,"(19, 9)"
8,1.0,"(27, 11)"
8,1.0,"(0, 7)"
8,1.0,"(24, 21)"
9,1.0,"(4, 15)"
9,1.0,"(7, 31)"
9,1.0,"(4, 25)"
9,1.0,"(20, 26)"
9,1.0,"(16, 17)"
10,1.0,"(25, 0)"
10,1.0,"(22, 14)"
10,1.0,"(17, 0)"
10,1.0,"(5, 19)"
10,1.0,"(29, 31)"
11,1.0,"(24, 4)"
11,1.0,"(16, 8)"
11,1.0,"(29, 14)"
11,1.0,"(4, 11)"
11,1.0,"(30, 24)"
12,1.0,"(23, 3)"
12,1.0,"(25, 27)"
12,1.0,"(13, 1)"
12,1.0,"(3, 26)"
12,1.0,"(31, 30)"
13,1.0,"(6, 28)"
13,1.0,"(12, 15)"
13,1.0,"(10, 24)"
13,1.0,"(6, 26)"
13,1.0,"(20, 14)"
14,1.0,"(12, 25)"
14,1.0,"(8, 2)"
14,1.0,"(31, 22)"
14,1.0,"(12, 3)"
14,1.0,"(17, 0)"
15,1.0,"(10, 13)"
15,1.0,"(17, 1)"
15,1.0,"(26, 4)"
15,1.0,"(11, 5)"
15,1.0,"(29, 27)"
16,1.0,"(27, 1)"
16,1.0,"(14, 17)"
16,1.0,"(8, 5)"
16,1.0,"(26, 16)"
16,1.0,"(8, 25)"
17,1.0,"(25, 8)"
17,1.0,"(8, 30)"
17,1.0,"(15, 4)"
17,1.0,"(8, 20)"
17,1.0,"(7, 7)"
18,1.0,"(10, 10)"
18,1.0,"(2, 3)"
18,1.0,"(3, 22)"
18,1.0,"(6, 10)"
18,1.0,"(12, 9)"
19,1.0,"(7, 2)"
19,1.0,"(22, 23)"
19,1.0,"(2, 7)"
19,1.0,"(2, 18)"
19,1.0,"(30, 7)"
20,1.0,"(12, 23)"
20,1.0,"(11, 7)"
