k_heads_ablated,accuracy,last_head_removed
0,1.0,
1,1.0,"(27, 20)"
2,1.0,"(31, 20)"
3,1.0,"(26, 13)"
4,1.0,"(27, 22)"
5,0.9925373196601868,"(27, 5)"
6,0.9925373196601868,"(18, 16)"
7,0.9925373196601868,"(27, 4)"
8,0.9850745797157288,"(26, 12)"
9,0.9925373196601868,"(31, 21)"
10,0.9925373196601868,"(24, 25)"
11,0.9850745797157288,"(20, 1)"
12,0.9850745797157288,"(28, 13)"
13,0.9701492190361023,"(23, 14)"
14,0.9626865386962891,"(26, 31)"
15,0.9626865386962891,"(25, 6)"
16,0.9626865386962891,"(25, 5)"
17,0.9626865386962891,"(16, 20)"
18,0.9253731369972229,"(27, 23)"
19,0.8805969953536987,"(26, 14)"
20,0.888059675693512,"(25, 15)"
21,0.8731343150138855,"(25, 14)"
22,0.8656716346740723,"(25, 12)"
23,0.8731343150138855,"(23, 7)"
24,0.8208954930305481,"(23, 6)"
25,0.888059675693512,"(30, 30)"
26,0.9029850363731384,"(30, 14)"
27,0.8955223560333252,"(30, 12)"
28,0.8805969953536987,"(25, 13)"
29,0.8731343150138855,"(25, 7)"
30,0.858208954334259,"(25, 4)"
31,0.858208954334259,"(24, 26)"
32,0.8507462739944458,"(24, 17)"
33,0.8507462739944458,"(28, 14)"
34,0.8358208537101746,"(24, 23)"
35,0.8731343150138855,"(24, 22)"
36,0.7910447716712952,"(19, 20)"
37,0.7835820913314819,"(18, 18)"
38,0.7238805890083313,"(30, 21)"
39,0.6791044473648071,"(26, 29)"
40,0.6791044473648071,"(23, 27)"
41,0.6716417670249939,"(23, 12)"
42,0.6343283653259277,"(23, 5)"
43,0.6268656849861145,"(22, 31)"
44,0.5820895433425903,"(22, 29)"
45,0.5820895433425903,"(18, 4)"
46,0.5298507213592529,"(27, 6)"
47,0.5373134016990662,"(24, 18)"
48,0.5149253606796265,"(24, 16)"
49,0.4701492488384247,"(23, 25)"
50,0.45522385835647583,"(23, 13)"
51,0.4179104268550873,"(22, 12)"
52,0.4179104268550873,"(31, 18)"
53,0.33582088351249695,"(31, 13)"
54,0.33582088351249695,"(30, 31)"
55,0.3283582031726837,"(30, 29)"
56,0.3283582031726837,"(30, 3)"
57,0.4179104268550873,"(29, 11)"
58,0.3955223858356476,"(29, 10)"
59,0.4029850661754608,"(29, 9)"
60,0.4029850661754608,"(28, 22)"
61,0.4029850661754608,"(24, 20)"
62,0.38059699535369873,"(23, 20)"
63,0.38059699535369873,"(22, 17)"
64,0.38805970549583435,"(22, 2)"
65,0.3955223858356476,"(19, 21)"
66,0.33582088351249695,"(18, 28)"
67,0.3208955228328705,"(18, 19)"
68,0.17910447716712952,"(16, 3)"
69,0.14179104566574097,"(16, 1)"
70,0.1268656700849533,"(15, 30)"
