k_heads_ablated,accuracy,last_head_removed
0,0.8888888955116272,
1,0.8888888955116272,"(21, 14)"
2,0.8888888955116272,"(21, 15)"
3,0.8888888955116272,"(31, 21)"
4,0.8888888955116272,"(28, 0)"
5,0.8888888955116272,"(22, 29)"
6,0.8888888955116272,"(30, 12)"
7,0.9111111164093018,"(29, 31)"
8,0.9111111164093018,"(27, 7)"
9,0.9111111164093018,"(27, 4)"
10,0.9111111164093018,"(26, 27)"
11,0.9111111164093018,"(23, 22)"
12,0.9111111164093018,"(21, 24)"
13,0.8888888955116272,"(16, 8)"
14,0.8888888955116272,"(31, 30)"
15,0.8888888955116272,"(27, 20)"
16,0.8888888955116272,"(27, 3)"
17,0.8888888955116272,"(25, 12)"
18,0.8888888955116272,"(25, 7)"
19,0.8888888955116272,"(25, 6)"
20,0.8888888955116272,"(24, 26)"
21,0.8888888955116272,"(24, 22)"
22,0.8888888955116272,"(24, 17)"
23,0.8888888955116272,"(23, 13)"
24,0.8888888955116272,"(22, 11)"
25,0.8888888955116272,"(21, 30)"
26,0.8888888955116272,"(19, 27)"
27,0.8888888955116272,"(19, 20)"
28,0.8888888955116272,"(18, 28)"
29,0.8888888955116272,"(18, 4)"
30,0.8888888955116272,"(17, 26)"
31,0.8888888955116272,"(16, 20)"
32,0.9111111164093018,"(15, 26)"
33,0.8444444537162781,"(10, 0)"
34,0.8444444537162781,"(4, 1)"
