k_heads_ablated,accuracy,last_head_removed
0,0.7419354915618896,
0,0.7419354915618896,
0,0.7419354915618896,
0,0.7419354915618896,
0,0.7419354915618896,
1,0.7419354915618896,"(18, 0)"
1,0.7580645084381104,"(30, 6)"
1,0.7580645084381104,"(12, 29)"
1,0.7419354915618896,"(28, 5)"
1,0.7419354915618896,"(25, 5)"
2,0.7419354915618896,"(6, 15)"
2,0.7580645084381104,"(11, 0)"
2,0.7580645084381104,"(5, 19)"
2,0.7419354915618896,"(24, 19)"
2,0.7419354915618896,"(19, 19)"
3,0.7419354915618896,"(5, 4)"
3,0.7580645084381104,"(10, 31)"
3,0.7580645084381104,"(2, 18)"
3,0.7419354915618896,"(6, 27)"
3,0.7419354915618896,"(23, 20)"
4,0.7419354915618896,"(19, 22)"
4,0.7580645084381104,"(12, 29)"
4,0.7419354915618896,"(22, 5)"
4,0.7419354915618896,"(0, 18)"
4,0.7419354915618896,"(11, 31)"
5,0.7580645084381104,"(11, 0)"
5,0.7580645084381104,"(3, 15)"
5,0.7580645084381104,"(1, 8)"
5,0.7419354915618896,"(19, 25)"
5,0.7419354915618896,"(3, 21)"
6,0.7580645084381104,"(15, 25)"
6,0.7580645084381104,"(18, 19)"
6,0.7419354915618896,"(15, 5)"
6,0.7419354915618896,"(9, 1)"
6,0.7419354915618896,"(21, 12)"
7,0.7580645084381104,"(0, 17)"
7,0.7580645084381104,"(3, 7)"
7,0.7419354915618896,"(2, 17)"
7,0.7419354915618896,"(23, 31)"
7,0.7419354915618896,"(1, 25)"
8,0.7580645084381104,"(0, 9)"
8,0.7580645084381104,"(5, 29)"
8,0.7419354915618896,"(23, 27)"
8,0.7419354915618896,"(23, 18)"
8,0.7419354915618896,"(20, 26)"
9,0.774193525314331,"(9, 20)"
9,0.7580645084381104,"(31, 12)"
9,0.7258064150810242,"(8, 7)"
9,0.7419354915618896,"(13, 26)"
9,0.7258064150810242,"(5, 30)"
10,0.7580645084381104,"(4, 6)"
10,0.7580645084381104,"(28, 8)"
10,0.7419354915618896,"(10, 21)"
10,0.7580645084381104,"(28, 18)"
10,0.7258064150810242,"(1, 11)"
11,0.774193525314331,"(7, 22)"
11,0.774193525314331,"(21, 1)"
11,0.7258064150810242,"(22, 16)"
11,0.7580645084381104,"(18, 9)"
11,0.7096773982048035,"(27, 26)"
12,0.774193525314331,"(2, 26)"
12,0.774193525314331,"(18, 8)"
12,0.7258064150810242,"(0, 16)"
12,0.7580645084381104,"(31, 4)"
12,0.7096773982048035,"(28, 8)"
13,0.774193525314331,"(2, 2)"
13,0.7580645084381104,"(12, 14)"
13,0.7419354915618896,"(19, 16)"
13,0.7580645084381104,"(17, 8)"
13,0.7096773982048035,"(17, 17)"
14,0.774193525314331,"(28, 28)"
14,0.7580645084381104,"(21, 9)"
14,0.7258064150810242,"(23, 7)"
14,0.7580645084381104,"(19, 3)"
14,0.6935483813285828,"(28, 23)"
15,0.774193525314331,"(13, 5)"
15,0.7580645084381104,"(7, 24)"
15,0.7419354915618896,"(22, 12)"
15,0.7580645084381104,"(0, 5)"
15,0.7096773982048035,"(28, 29)"
16,0.774193525314331,"(11, 24)"
16,0.7580645084381104,"(15, 24)"
16,0.7580645084381104,"(5, 25)"
16,0.7580645084381104,"(29, 8)"
16,0.7096773982048035,"(9, 23)"
17,0.774193525314331,"(16, 19)"
17,0.7580645084381104,"(1, 21)"
17,0.7258064150810242,"(11, 19)"
17,0.7580645084381104,"(15, 2)"
17,0.7096773982048035,"(16, 29)"
18,0.774193525314331,"(26, 23)"
18,0.7580645084381104,"(4, 27)"
18,0.7419354915618896,"(30, 17)"
18,0.7580645084381104,"(10, 1)"
18,0.7096773982048035,"(8, 6)"
19,0.774193525314331,"(2, 9)"
19,0.7580645084381104,"(1, 8)"
19,0.7580645084381104,"(24, 3)"
19,0.7580645084381104,"(26, 5)"
19,0.7096773982048035,"(27, 5)"
20,0.774193525314331,"(17, 20)"
20,0.7580645084381104,"(24, 18)"
20,0.7580645084381104,"(9, 7)"
20,0.7580645084381104,"(0, 17)"
20,0.7096773982048035,"(7, 12)"
21,0.774193525314331,"(7, 30)"
21,0.7580645084381104,"(5, 7)"
21,0.7258064150810242,"(8, 24)"
21,0.7580645084381104,"(22, 20)"
21,0.7096773982048035,"(18, 8)"
22,0.774193525314331,"(13, 25)"
22,0.7580645084381104,"(27, 12)"
22,0.774193525314331,"(19, 8)"
22,0.7580645084381104,"(23, 20)"
22,0.7096773982048035,"(26, 7)"
23,0.774193525314331,"(25, 15)"
23,0.7580645084381104,"(2, 16)"
23,0.774193525314331,"(6, 29)"
23,0.7580645084381104,"(8, 30)"
23,0.7096773982048035,"(6, 15)"
24,0.774193525314331,"(23, 30)"
24,0.7580645084381104,"(4, 15)"
24,0.774193525314331,"(9, 24)"
24,0.7580645084381104,"(4, 17)"
24,0.7096773982048035,"(14, 16)"
25,0.774193525314331,"(12, 19)"
25,0.7580645084381104,"(1, 0)"
25,0.774193525314331,"(15, 25)"
25,0.7580645084381104,"(31, 8)"
25,0.7096773982048035,"(4, 28)"
26,0.774193525314331,"(4, 30)"
26,0.7580645084381104,"(30, 19)"
26,0.7580645084381104,"(16, 7)"
26,0.7580645084381104,"(21, 25)"
26,0.7096773982048035,"(16, 15)"
27,0.774193525314331,"(26, 13)"
27,0.7580645084381104,"(8, 7)"
27,0.7580645084381104,"(5, 13)"
27,0.7580645084381104,"(31, 0)"
27,0.7096773982048035,"(3, 29)"
28,0.774193525314331,"(9, 27)"
28,0.7580645084381104,"(0, 25)"
28,0.774193525314331,"(13, 25)"
28,0.7580645084381104,"(19, 2)"
28,0.7096773982048035,"(6, 9)"
29,0.774193525314331,"(24, 1)"
29,0.7580645084381104,"(12, 13)"
29,0.774193525314331,"(7, 26)"
29,0.7419354915618896,"(8, 20)"
29,0.7096773982048035,"(7, 18)"
30,0.774193525314331,"(7, 12)"
30,0.7580645084381104,"(13, 3)"
30,0.774193525314331,"(14, 5)"
30,0.7419354915618896,"(10, 9)"
