k_heads_ablated,accuracy,last_head_removed
0,0.7419354915618896,
1,0.7419354915618896,"(21, 14)"
2,0.7419354915618896,"(21, 15)"
3,0.7419354915618896,"(31, 21)"
4,0.7258064150810242,"(28, 0)"
5,0.7258064150810242,"(22, 29)"
6,0.7258064150810242,"(30, 12)"
7,0.7096773982048035,"(29, 31)"
8,0.7096773982048035,"(27, 7)"
9,0.7096773982048035,"(27, 4)"
10,0.7096773982048035,"(26, 27)"
11,0.7096773982048035,"(23, 22)"
12,0.7096773982048035,"(21, 24)"
13,0.6935483813285828,"(16, 8)"
14,0.6935483813285828,"(31, 30)"
15,0.7096773982048035,"(27, 20)"
16,0.7096773982048035,"(27, 3)"
17,0.7096773982048035,"(25, 12)"
18,0.7096773982048035,"(25, 7)"
19,0.7096773982048035,"(25, 6)"
20,0.6935483813285828,"(24, 26)"
21,0.6935483813285828,"(24, 22)"
22,0.6935483813285828,"(24, 17)"
23,0.6935483813285828,"(23, 13)"
24,0.6935483813285828,"(22, 11)"
25,0.6935483813285828,"(21, 30)"
26,0.7096773982048035,"(19, 27)"
27,0.7096773982048035,"(19, 20)"
28,0.6935483813285828,"(18, 28)"
29,0.6935483813285828,"(18, 4)"
30,0.6774193048477173,"(17, 26)"
31,0.6774193048477173,"(16, 20)"
32,0.6774193048477173,"(15, 26)"
33,0.6612902879714966,"(10, 0)"
34,0.6612902879714966,"(4, 1)"
