k_heads_ablated,accuracy,last_head_removed
0,0.5384615659713745,
0,0.5384615659713745,
0,0.5384615659713745,
0,0.5384615659713745,
0,0.5384615659713745,
1,0.5384615659713745,"(26, 27)"
1,0.5384615659713745,"(26, 27)"
1,0.5384615659713745,"(6, 6)"
1,0.5384615659713745,"(19, 31)"
1,0.5384615659713745,"(11, 14)"
2,0.5384615659713745,"(31, 3)"
2,0.5384615659713745,"(15, 31)"
2,0.5384615659713745,"(12, 16)"
2,0.5384615659713745,"(25, 12)"
2,0.5384615659713745,"(6, 29)"
3,0.5384615659713745,"(17, 22)"
3,0.5384615659713745,"(31, 6)"
3,0.5384615659713745,"(21, 19)"
3,0.5384615659713745,"(6, 18)"
3,0.5384615659713745,"(24, 20)"
4,0.5641025900840759,"(3, 31)"
4,0.5384615659713745,"(4, 28)"
4,0.5384615659713745,"(6, 26)"
4,0.5384615659713745,"(26, 12)"
4,0.5384615659713745,"(17, 13)"
5,0.5641025900840759,"(16, 23)"
5,0.5384615659713745,"(22, 2)"
5,0.5384615659713745,"(20, 12)"
5,0.5641025900840759,"(20, 14)"
5,0.5384615659713745,"(0, 2)"
6,0.5641025900840759,"(31, 10)"
6,0.5384615659713745,"(1, 25)"
6,0.5384615659713745,"(18, 12)"
6,0.5641025900840759,"(29, 3)"
6,0.5384615659713745,"(28, 13)"
7,0.5641025900840759,"(28, 6)"
7,0.5384615659713745,"(24, 29)"
7,0.5384615659713745,"(13, 30)"
7,0.5641025900840759,"(3, 20)"
7,0.5384615659713745,"(22, 5)"
8,0.5384615659713745,"(21, 16)"
8,0.5384615659713745,"(10, 17)"
8,0.5384615659713745,"(1, 12)"
8,0.5641025900840759,"(21, 8)"
8,0.5384615659713745,"(21, 13)"
9,0.5641025900840759,"(22, 11)"
9,0.5384615659713745,"(14, 28)"
9,0.5384615659713745,"(17, 9)"
9,0.5641025900840759,"(26, 25)"
9,0.5384615659713745,"(22, 11)"
10,0.5384615659713745,"(11, 14)"
10,0.5384615659713745,"(0, 3)"
10,0.5384615659713745,"(24, 12)"
10,0.5384615659713745,"(16, 18)"
10,0.5384615659713745,"(18, 19)"
11,0.5384615659713745,"(1, 18)"
11,0.5384615659713745,"(29, 29)"
11,0.5384615659713745,"(7, 1)"
11,0.5384615659713745,"(5, 20)"
11,0.5384615659713745,"(5, 22)"
12,0.5384615659713745,"(21, 28)"
12,0.5384615659713745,"(17, 6)"
12,0.5384615659713745,"(4, 18)"
12,0.5384615659713745,"(2, 26)"
12,0.5384615659713745,"(17, 0)"
