k_heads_ablated,accuracy,last_head_removed
0,0.9787233471870422,
0,1.0,
0,0.9411764740943909,
0,0.9803922176361084,
0,0.9844357967376709,
1,0.9787233471870422,"(22, 15)"
1,1.0,"(22, 15)"
1,0.9411764740943909,"(22, 15)"
1,0.9803922176361084,"(22, 15)"
1,0.9844357967376709,"(22, 15)"
2,0.9787233471870422,"(30, 15)"
2,1.0,"(30, 15)"
2,0.9411764740943909,"(30, 15)"
2,0.9803922176361084,"(30, 15)"
2,0.9844357967376709,"(30, 15)"
3,0.9787233471870422,"(31, 13)"
3,1.0,"(31, 13)"
3,0.9411764740943909,"(31, 13)"
3,0.9803922176361084,"(31, 13)"
3,0.9844357967376709,"(31, 13)"
4,0.9787233471870422,"(24, 24)"
4,1.0,"(24, 24)"
4,0.9411764740943909,"(24, 24)"
4,0.9803922176361084,"(24, 24)"
4,0.9844357967376709,"(24, 24)"
5,0.9787233471870422,"(16, 3)"
5,1.0,"(16, 3)"
5,0.9411764740943909,"(16, 3)"
5,0.9803922176361084,"(16, 3)"
5,0.9844357967376709,"(16, 3)"
6,0.9787233471870422,"(18, 16)"
6,1.0,"(18, 16)"
6,0.9411764740943909,"(18, 16)"
6,0.9803922176361084,"(18, 16)"
6,0.9844357967376709,"(18, 16)"
7,0.9787233471870422,"(16, 1)"
7,1.0,"(16, 1)"
7,0.9411764740943909,"(16, 1)"
7,0.9803922176361084,"(16, 1)"
7,0.9844357967376709,"(16, 1)"
8,0.9787233471870422,"(16, 20)"
8,1.0,"(16, 20)"
8,0.9411764740943909,"(16, 20)"
8,0.9803922176361084,"(16, 20)"
8,0.9844357967376709,"(16, 20)"
9,0.9787233471870422,"(29, 20)"
9,1.0,"(29, 20)"
9,0.9411764740943909,"(29, 20)"
9,0.9803922176361084,"(29, 20)"
9,0.9883268475532532,"(29, 20)"
10,0.9787233471870422,"(24, 26)"
10,1.0,"(24, 26)"
10,0.9411764740943909,"(24, 26)"
10,0.9803922176361084,"(24, 26)"
10,0.9844357967376709,"(24, 26)"
11,0.9787233471870422,"(30, 11)"
11,1.0,"(30, 11)"
11,0.9411764740943909,"(30, 11)"
11,0.9803922176361084,"(30, 11)"
11,0.9844357967376709,"(30, 11)"
12,0.9787233471870422,"(18, 28)"
12,1.0,"(18, 28)"
12,0.9411764740943909,"(18, 28)"
12,0.9803922176361084,"(18, 28)"
12,0.9844357967376709,"(18, 28)"
13,0.9787233471870422,"(19, 20)"
13,0.7910447716712952,"(19, 20)"
13,0.9411764740943909,"(19, 20)"
13,0.9803922176361084,"(19, 20)"
13,0.9844357967376709,"(19, 20)"
14,0.9574467539787292,"(29, 26)"
14,0.7985074520111084,"(29, 26)"
14,0.9411764740943909,"(29, 26)"
14,0.9803922176361084,"(29, 26)"
14,0.9844357967376709,"(29, 26)"
15,0.9787233471870422,"(30, 24)"
15,0.7835820913314819,"(30, 24)"
15,0.9411764740943909,"(30, 24)"
15,0.9803922176361084,"(30, 24)"
15,0.9883268475532532,"(30, 24)"
16,0.9787233471870422,"(19, 13)"
16,0.7686566710472107,"(19, 13)"
16,0.9411764740943909,"(19, 13)"
16,0.9803922176361084,"(19, 13)"
16,0.9883268475532532,"(19, 13)"
17,0.9787233471870422,"(17, 25)"
17,0.9029850363731384,"(17, 25)"
17,0.9411764740943909,"(17, 25)"
17,0.9803922176361084,"(17, 25)"
17,0.9883268475532532,"(17, 25)"
18,0.9361701607704163,"(20, 12)"
18,0.7835820913314819,"(20, 12)"
18,0.9411764740943909,"(20, 12)"
18,0.9803922176361084,"(20, 12)"
18,0.9883268475532532,"(20, 12)"
19,0.9574467539787292,"(31, 2)"
19,0.7686566710472107,"(31, 2)"
19,0.9411764740943909,"(31, 2)"
19,0.9803922176361084,"(31, 2)"
19,0.9883268475532532,"(31, 2)"
20,0.9361701607704163,"(18, 19)"
20,0.7761194109916687,"(18, 19)"
20,0.9411764740943909,"(18, 19)"
20,0.9803922176361084,"(18, 19)"
20,0.9883268475532532,"(18, 19)"
21,0.8936169743537903,"(17, 24)"
21,0.10447760671377182,"(17, 24)"
21,0.9411764740943909,"(17, 24)"
21,0.9803922176361084,"(17, 24)"
21,0.9883268475532532,"(17, 24)"
22,0.8936169743537903,"(0, 2)"
22,0.10447760671377182,"(0, 2)"
22,0.9411764740943909,"(0, 2)"
22,0.9803922176361084,"(0, 2)"
22,0.9883268475532532,"(0, 2)"
23,0.8936169743537903,"(30, 26)"
23,0.10447760671377182,"(30, 26)"
23,0.9411764740943909,"(30, 26)"
23,0.9803922176361084,"(30, 26)"
23,0.9883268475532532,"(30, 26)"
24,0.8936169743537903,"(21, 6)"
24,0.10447760671377182,"(21, 6)"
24,0.9411764740943909,"(21, 6)"
24,0.9803922176361084,"(21, 6)"
24,0.9883268475532532,"(21, 6)"
25,0.8936169743537903,"(23, 14)"
25,0.08955223858356476,"(23, 14)"
25,0.9411764740943909,"(23, 14)"
25,0.9803922176361084,"(23, 14)"
25,0.9883268475532532,"(23, 14)"
26,0.8936169743537903,"(18, 4)"
26,0.08955223858356476,"(18, 4)"
26,0.9411764740943909,"(18, 4)"
26,0.9803922176361084,"(18, 4)"
26,0.9883268475532532,"(18, 4)"
27,0.8936169743537903,"(19, 22)"
27,0.08955223858356476,"(19, 22)"
27,0.9411764740943909,"(19, 22)"
27,0.9803922176361084,"(19, 22)"
27,0.9883268475532532,"(19, 22)"
28,0.8936169743537903,"(30, 8)"
28,0.08955223858356476,"(30, 8)"
28,0.9411764740943909,"(30, 8)"
28,0.960784375667572,"(30, 8)"
28,0.9883268475532532,"(30, 8)"
29,0.8723403811454773,"(19, 15)"
29,0.08955223858356476,"(19, 15)"
29,0.9411764740943909,"(19, 15)"
29,0.960784375667572,"(19, 15)"
