k_heads_ablated,accuracy,last_head_removed
0,1.0,
0,1.0,
0,1.0,
0,1.0,
0,1.0,
1,1.0,"(5, 27)"
1,1.0,"(7, 7)"
1,1.0,"(16, 5)"
1,1.0,"(31, 12)"
1,1.0,"(5, 11)"
2,1.0,"(17, 1)"
2,1.0,"(31, 17)"
2,1.0,"(1, 3)"
2,1.0,"(26, 24)"
2,1.0,"(8, 27)"
3,1.0,"(31, 26)"
3,1.0,"(31, 11)"
3,1.0,"(5, 8)"
3,1.0,"(23, 13)"
3,1.0,"(30, 5)"
4,1.0,"(5, 24)"
4,1.0,"(14, 12)"
4,1.0,"(27, 13)"
4,1.0,"(11, 13)"
4,1.0,"(11, 14)"
5,1.0,"(23, 11)"
5,1.0,"(17, 30)"
5,1.0,"(30, 10)"
5,1.0,"(5, 27)"
5,1.0,"(13, 13)"
6,1.0,"(21, 12)"
6,1.0,"(3, 25)"
6,1.0,"(1, 5)"
6,1.0,"(26, 1)"
6,1.0,"(12, 25)"
7,1.0,"(20, 25)"
7,1.0,"(31, 5)"
7,1.0,"(24, 20)"
7,1.0,"(2, 2)"
7,1.0,"(7, 22)"
8,1.0,"(24, 31)"
8,1.0,"(7, 12)"
8,1.0,"(13, 11)"
8,1.0,"(19, 16)"
8,1.0,"(14, 0)"
9,1.0,"(10, 15)"
9,1.0,"(21, 0)"
9,1.0,"(13, 9)"
9,1.0,"(14, 25)"
9,1.0,"(24, 13)"
10,1.0,"(10, 30)"
10,1.0,"(30, 17)"
10,1.0,"(27, 14)"
10,1.0,"(30, 3)"
10,1.0,"(2, 11)"
11,1.0,"(2, 22)"
11,1.0,"(11, 31)"
11,0.9957983493804932,"(7, 26)"
11,1.0,"(13, 8)"
11,1.0,"(4, 24)"
12,1.0,"(3, 29)"
12,1.0,"(24, 31)"
12,1.0,"(10, 17)"
12,1.0,"(20, 1)"
12,1.0,"(12, 3)"
13,1.0,"(8, 30)"
13,1.0,"(19, 5)"
13,1.0,"(17, 4)"
13,1.0,"(22, 25)"
13,0.9957983493804932,"(12, 2)"
14,1.0,"(25, 18)"
14,1.0,"(26, 10)"
14,1.0,"(16, 17)"
14,1.0,"(1, 20)"
14,0.9957983493804932,"(15, 17)"
15,0.9957983493804932,"(14, 5)"
15,1.0,"(18, 25)"
15,1.0,"(24, 22)"
15,0.9957983493804932,"(4, 10)"
15,0.9957983493804932,"(3, 30)"
16,0.9957983493804932,"(25, 20)"
16,1.0,"(11, 17)"
16,1.0,"(23, 10)"
16,0.9957983493804932,"(21, 15)"
16,0.9957983493804932,"(2, 19)"
17,0.9957983493804932,"(0, 4)"
17,1.0,"(28, 29)"
17,1.0,"(26, 14)"
17,0.9957983493804932,"(15, 31)"
17,0.9957983493804932,"(13, 12)"
18,1.0,"(12, 23)"
18,1.0,"(4, 10)"
18,1.0,"(28, 1)"
18,0.9957983493804932,"(14, 11)"
18,0.9957983493804932,"(8, 16)"
19,1.0,"(6, 25)"
19,1.0,"(5, 5)"
