k_heads_ablated,accuracy,last_head_removed
0,1.0,
1,1.0,"(22, 15)"
2,1.0,"(30, 15)"
3,1.0,"(31, 13)"
4,1.0,"(24, 24)"
5,1.0,"(16, 3)"
6,1.0,"(18, 16)"
7,1.0,"(16, 1)"
8,1.0,"(16, 20)"
9,1.0,"(29, 20)"
10,1.0,"(24, 26)"
11,0.9957983493804932,"(30, 11)"
12,0.9915966987609863,"(18, 28)"
13,0.9789916276931763,"(19, 20)"
14,0.9789916276931763,"(29, 26)"
15,0.9705882668495178,"(30, 24)"
16,0.9621849060058594,"(19, 13)"
17,0.9495798945426941,"(17, 25)"
18,0.9201681017875671,"(20, 12)"
19,0.9243698120117188,"(31, 2)"
20,0.9243698120117188,"(18, 19)"
21,0.5924370288848877,"(17, 24)"
22,0.6008403897285461,"(0, 2)"
23,0.5756303071975708,"(30, 26)"
24,0.5798319578170776,"(21, 6)"
25,0.5756303071975708,"(23, 14)"
26,0.44117650389671326,"(18, 4)"
27,0.4159664213657379,"(19, 22)"
28,0.44117650389671326,"(30, 8)"
29,0.42436978220939636,"(19, 15)"
30,0.25630253553390503,"(18, 23)"
31,0.26050421595573425,"(1, 9)"
32,0.2647058963775635,"(26, 7)"
33,0.24789917469024658,"(19, 2)"
34,0.18907563388347626,"(18, 20)"
35,0.15546219050884247,"(15, 30)"
36,0.15546219050884247,"(9, 22)"
37,0.15546219050884247,"(22, 22)"
38,0.16386555135250092,"(20, 27)"
39,0.16386555135250092,"(19, 12)"
40,0.12184874713420868,"(16, 22)"
41,0.1260504275560379,"(15, 0)"
42,0.11764706671237946,"(11, 11)"
43,0.11764706671237946,"(8, 4)"
44,0.11344538629055023,"(7, 25)"
45,0.11344538629055023,"(7, 4)"
46,0.11344538629055023,"(5, 31)"
47,0.11764706671237946,"(2, 24)"
48,0.1260504275560379,"(1, 31)"
49,0.06302521377801895,"(31, 14)"
50,0.06722689419984818,"(31, 9)"
51,0.07563025504350662,"(30, 25)"
52,0.07563025504350662,"(30, 19)"
53,0.07563025504350662,"(30, 16)"
54,0.07563025504350662,"(29, 4)"
55,0.07563025504350662,"(27, 27)"
56,0.07563025504350662,"(26, 11)"
57,0.0714285746216774,"(26, 2)"
58,0.0714285746216774,"(24, 1)"
