k_heads_ablated,accuracy,last_head_removed
0,0.016806723549962044,
0,0.016806723549962044,
0,0.016806723549962044,
0,0.016806723549962044,
0,0.016806723549962044,
1,0.016806723549962044,"(11, 8)"
1,0.016806723549962044,"(8, 25)"
1,0.016806723549962044,"(27, 16)"
1,0.016806723549962044,"(25, 22)"
1,0.016806723549962044,"(24, 17)"
2,0.016806723549962044,"(18, 26)"
2,0.016806723549962044,"(17, 10)"
2,0.016806723549962044,"(6, 24)"
2,0.016806723549962044,"(4, 29)"
2,0.016806723549962044,"(29, 27)"
3,0.016806723549962044,"(16, 14)"
3,0.016806723549962044,"(5, 20)"
3,0.016806723549962044,"(28, 15)"
3,0.016806723549962044,"(5, 23)"
3,0.016806723549962044,"(20, 9)"
4,0.016806723549962044,"(17, 25)"
4,0.016806723549962044,"(0, 23)"
4,0.016806723549962044,"(31, 4)"
4,0.016806723549962044,"(24, 22)"
4,0.016806723549962044,"(2, 11)"
5,0.016806723549962044,"(10, 26)"
5,0.016806723549962044,"(12, 14)"
5,0.016806723549962044,"(21, 4)"
5,0.016806723549962044,"(27, 21)"
5,0.016806723549962044,"(4, 5)"
6,0.016806723549962044,"(14, 6)"
6,0.016806723549962044,"(15, 0)"
6,0.016806723549962044,"(28, 27)"
6,0.016806723549962044,"(14, 21)"
6,0.016806723549962044,"(0, 26)"
7,0.016806723549962044,"(2, 14)"
7,0.016806723549962044,"(0, 20)"
7,0.021008403971791267,"(29, 23)"
7,0.016806723549962044,"(18, 13)"
7,0.016806723549962044,"(28, 24)"
8,0.021008403971791267,"(20, 9)"
8,0.016806723549962044,"(9, 29)"
8,0.021008403971791267,"(9, 21)"
8,0.016806723549962044,"(23, 14)"
8,0.016806723549962044,"(18, 1)"
9,0.02521008625626564,"(28, 0)"
9,0.016806723549962044,"(21, 19)"
9,0.016806723549962044,"(15, 28)"
9,0.016806723549962044,"(10, 11)"
9,0.016806723549962044,"(9, 8)"
10,0.021008403971791267,"(4, 28)"
10,0.016806723549962044,"(2, 9)"
10,0.021008403971791267,"(12, 14)"
10,0.016806723549962044,"(17, 25)"
10,0.016806723549962044,"(1, 17)"
11,0.02521008625626564,"(11, 7)"
11,0.016806723549962044,"(11, 15)"
11,0.016806723549962044,"(12, 19)"
11,0.016806723549962044,"(29, 5)"
11,0.016806723549962044,"(7, 29)"
12,0.021008403971791267,"(8, 27)"
12,0.016806723549962044,"(30, 7)"
12,0.016806723549962044,"(13, 29)"
12,0.016806723549962044,"(1, 8)"
12,0.016806723549962044,"(12, 17)"
13,0.021008403971791267,"(31, 6)"
13,0.016806723549962044,"(7, 31)"
13,0.016806723549962044,"(20, 2)"
13,0.016806723549962044,"(11, 12)"
13,0.016806723549962044,"(28, 10)"
14,0.021008403971791267,"(5, 6)"
14,0.016806723549962044,"(7, 0)"
14,0.016806723549962044,"(0, 25)"
14,0.016806723549962044,"(11, 2)"
14,0.016806723549962044,"(1, 26)"
15,0.021008403971791267,"(19, 7)"
15,0.016806723549962044,"(25, 8)"
15,0.016806723549962044,"(11, 15)"
15,0.016806723549962044,"(25, 20)"
15,0.016806723549962044,"(1, 3)"
16,0.021008403971791267,"(4, 14)"
16,0.016806723549962044,"(12, 3)"
16,0.016806723549962044,"(7, 11)"
16,0.016806723549962044,"(20, 0)"
16,0.016806723549962044,"(26, 5)"
17,0.021008403971791267,"(7, 10)"
17,0.016806723549962044,"(27, 18)"
17,0.016806723549962044,"(24, 2)"
17,0.021008403971791267,"(29, 23)"
17,0.016806723549962044,"(8, 20)"
18,0.02521008625626564,"(13, 14)"
18,0.016806723549962044,"(22, 13)"
18,0.016806723549962044,"(16, 11)"
18,0.021008403971791267,"(31, 6)"
18,0.016806723549962044,"(15, 23)"
19,0.02521008625626564,"(31, 29)"
19,0.01260504312813282,"(12, 11)"
19,0.016806723549962044,"(22, 29)"
19,0.021008403971791267,"(10, 23)"
19,0.021008403971791267,"(9, 26)"
20,0.02521008625626564,"(18, 11)"
20,0.016806723549962044,"(6, 15)"
20,0.01260504312813282,"(14, 8)"
20,0.021008403971791267,"(7, 2)"
20,0.01260504312813282,"(19, 3)"
21,0.02521008625626564,"(3, 18)"
21,0.016806723549962044,"(6, 16)"
21,0.008403361774981022,"(12, 25)"
21,0.021008403971791267,"(29, 24)"
21,0.01260504312813282,"(15, 18)"
22,0.02521008625626564,"(22, 28)"
22,0.016806723549962044,"(17, 0)"
22,0.008403361774981022,"(8, 30)"
22,0.021008403971791267,"(5, 21)"
22,0.021008403971791267,"(29, 23)"
23,0.02521008625626564,"(13, 30)"
23,0.016806723549962044,"(1, 31)"
23,0.008403361774981022,"(6, 17)"
23,0.021008403971791267,"(6, 29)"
23,0.021008403971791267,"(12, 15)"
24,0.02521008625626564,"(12, 9)"
24,0.016806723549962044,"(2, 4)"
24,0.01260504312813282,"(24, 16)"
24,0.021008403971791267,"(2, 9)"
24,0.021008403971791267,"(0, 14)"
25,0.02521008625626564,"(1, 26)"
25,0.016806723549962044,"(8, 13)"
25,0.01260504312813282,"(18, 9)"
25,0.016806723549962044,"(1, 23)"
25,0.021008403971791267,"(4, 1)"
26,0.02521008625626564,"(14, 14)"
26,0.016806723549962044,"(5, 30)"
26,0.008403361774981022,"(16, 15)"
26,0.01260504312813282,"(16, 22)"
26,0.021008403971791267,"(10, 31)"
27,0.02521008625626564,"(1, 22)"
27,0.016806723549962044,"(6, 13)"
27,0.008403361774981022,"(8, 1)"
27,0.016806723549962044,"(26, 14)"
27,0.021008403971791267,"(21, 22)"
28,0.02521008625626564,"(10, 10)"
28,0.016806723549962044,"(9, 15)"
28,0.008403361774981022,"(22, 6)"
28,0.016806723549962044,"(8, 8)"
28,0.021008403971791267,"(14, 3)"
29,0.02521008625626564,"(26, 20)"
29,0.016806723549962044,"(2, 3)"
29,0.008403361774981022,"(19, 4)"
29,0.016806723549962044,"(21, 9)"
29,0.021008403971791267,"(24, 9)"
30,0.02521008625626564,"(20, 20)"
30,0.016806723549962044,"(21, 11)"
30,0.008403361774981022,"(8, 28)"
30,0.016806723549962044,"(17, 12)"
30,0.021008403971791267,"(20, 8)"
31,0.02521008625626564,"(11, 29)"
31,0.016806723549962044,"(17, 29)"
31,0.008403361774981022,"(25, 17)"
31,0.016806723549962044,"(23, 4)"
31,0.021008403971791267,"(23, 20)"
32,0.021008403971791267,"(18, 29)"
32,0.016806723549962044,"(2, 8)"
32,0.008403361774981022,"(25, 1)"
32,0.016806723549962044,"(27, 29)"
32,0.021008403971791267,"(25, 30)"
33,0.021008403971791267,"(21, 16)"
33,0.016806723549962044,"(22, 11)"
33,0.008403361774981022,"(21, 9)"
33,0.016806723549962044,"(26, 30)"
33,0.021008403971791267,"(8, 29)"
34,0.021008403971791267,"(2, 16)"
34,0.016806723549962044,"(22, 26)"
34,0.008403361774981022,"(11, 6)"
34,0.016806723549962044,"(31, 22)"
34,0.021008403971791267,"(5, 17)"
35,0.02521008625626564,"(14, 16)"
35,0.016806723549962044,"(10, 31)"
35,0.008403361774981022,"(8, 24)"
35,0.016806723549962044,"(1, 15)"
35,0.021008403971791267,"(19, 26)"
36,0.02521008625626564,"(22, 6)"
36,0.016806723549962044,"(7, 24)"
36,0.008403361774981022,"(18, 24)"
36,0.016806723549962044,"(26, 27)"
36,0.021008403971791267,"(10, 24)"
37,0.021008403971791267,"(12, 27)"
37,0.016806723549962044,"(7, 18)"
