,\makecell{Relation name},\makecell{\#\\Heads\\removed},\makecell{Base},\makecell{-TR},\makecell{-RND},\makecell{\# tasks},\makecell{Base (CTR)},\makecell{-TR (CTR)}
4,Adj to comparative,69,0.98,\tcbox{$\downarrow$7\%}0.91,\tcbox{$\downarrow$0\%}0.98 $\pm$ 0.00,4,0.96 $\pm$ 0.04,\tcbox{$\uparrow$0\%}0.96 $\pm$ 0.04
7,Copying,150,1.00,\tcbox{$\downarrow$96\%}0.04,\tcbox{$\uparrow$0\%}1.00 $\pm$ 0.00,3,0.95 $\pm$ 0.04,\tcbox{$\downarrow$5\%}0.90 $\pm$ 0.06
0,Country to capital,19,0.89,\tcbox{$\downarrow$75\%}0.22,\tcbox{$\uparrow$2\%}0.91 $\pm$ 0.05,5,0.92 $\pm$ 0.11,\tcbox{$\downarrow$0\%}0.92 $\pm$ 0.11
1,Country to language,30,0.98,\tcbox{$\downarrow$50\%}0.49,\tcbox{$\uparrow$0\%}0.98 $\pm$ 0.01,5,0.98 $\pm$ 0.02,\tcbox{$\downarrow$0\%}0.98 $\pm$ 0.02
10,English to Spanish,54,0.94,\tcbox{$\uparrow$3\%}0.97,\tcbox{$\downarrow$0\%}0.94 $\pm$ 0.00,3,0.95 $\pm$ 0.04,\tcbox{$\uparrow$1\%}0.96 $\pm$ 0.03
8,Name copying,70,1.00,\tcbox{$\downarrow$87\%}0.13,\tcbox{$\downarrow$0\%}1.00 $\pm$ 0.01,2,0.94 $\pm$ 0.05,\tcbox{$\downarrow$4\%}0.90 $\pm$ 0.08
9,Noun to pronoun,35,0.98,\tcbox{$\downarrow$0\%}0.98,\tcbox{$\uparrow$0\%}0.99 $\pm$ 0.00,5,0.97 $\pm$ 0.04,\tcbox{$\uparrow$1\%}0.98 $\pm$ 0.02
3,Object to superclass,34,0.74,\tcbox{$\downarrow$11\%}0.66,\tcbox{$\uparrow$2\%}0.75 $\pm$ 0.02,1,0.89 $\pm$ 0.00,\tcbox{$\downarrow$5\%}0.84 $\pm$ 0.00
2,Product by company,12,0.54,\tcbox{$\downarrow$5\%}0.51,\tcbox{$\downarrow$0\%}0.54 $\pm$ 0.00,1,0.70 $\pm$ 0.00,\tcbox{$\downarrow$1\%}0.69 $\pm$ 0.00
5,Verb to past tense,113,0.70,\tcbox{$\downarrow$62\%}0.26,\tcbox{$\downarrow$22\%}0.55 $\pm$ 0.20,2,0.71 $\pm$ 0.18,\tcbox{$\downarrow$1\%}0.70 $\pm$ 0.14
6,Word to first letter,150,1.00,\tcbox{$\downarrow$98\%}0.02,\tcbox{$\downarrow$0\%}1.00 $\pm$ 0.00,5,0.98 $\pm$ 0.02,\tcbox{$\downarrow$30\%}0.69 $\pm$ 0.35
